=== REQUEST (gemini gemini-3.7-flash) ===
--- sampling ---
{"temperature":0}
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Кібератака групи UAC-0010 (Armageddon) на державні організації України (CERT-UA#4434)" — evidence: S1. "UAC-0010 (Armageddon).</p><p>З метою забезпечення відмовостійкості своєї інфраструктури, члени групи, серед іншого, використовують Dynamic DNS сервіс NO-IP. Звертаємо увагу на доцільність моніторингу з'єднань з доменними іменами, що використовуються згаданим сервісом. Перелік безкоштовних доменних імен н"
Entities:
E1. HostIQ
E2. 360Netlab
E3. NirSoft
E4. Usoris
E5. AS37148 (нігерійський оператор телекомунікацій)
E6. Habr
E7. Mozilla
E8. Adobe
E9. Linux Team
E10. Fortinet
E11. dyndns.com
E12. gmail.com
E13. nowpropitup.com
E14. airmauritiusticket.com
E15. ns.ns3-dns.com
E16. gobits3.com
E17. cdn.discordapp.com
E18. ansaigon.com
E19. ns.ns2-dns.com
E20. badpdf.com
E21. zuh3vcyskd4gipkm.onion
E22. fernandoherrera.me
E23. nirsoft.me
E24. mx-out-14.default-host.net
E25. product-reviews.website
E26. me.gov.ua
E27. wpc-v0cdn.org
E28. gordon6.hopto.org
E29. eo9p1d2bfmioiot.m.pipedream.net
E30. cs1.wpc-v0cdn.org
E31. acteran.ru [aka tortunas.ru]
E32. rmssrv2.ru
E33. apoxipodes.ru
E34. nx0.ru
E35. api.dev-com.sc
E36. candidar.ru
E37. omyce.ru
E38. rmssrv4.ru
E39. circulas.ru
E40. rmssrv3.ru
E41. 1000020.xyz
E42. webknives.com
E43. netbin.host
E44. frge.io
E45. winscp.net
E46. ipv6-wpnc.net
E47. parodadoca.ru
E48. milotrad.ru
E49. portal.nazk.gov.ua [aka portal.nazk.org.ua]
E50. cuckoo.cert.ee
E51. expeditionabroad.com
E52. drive.google.com
E53. single-office.ddns.net
E54. alt-2cdn.net
E55. fex.net
E56. smm2021.net
E57. ns2-dns.com
E58. edisk.ukr.net
E59. ukr.net
E60. optica-rd.myftp.biz
E61. telsec.org
E62. cve.mitre.org
E63. nais-gov.org
E64. potrakit.ru
E65. eumr.site
E66. mail.nais-gov.org
E67. tiloraso.ru
E68. tridiuma.ru
E69. raidforums.com
E70. jokotras.ru
E71. giraffe-tour.ru
E72. portal.msrc.microsoft.com
E73. president.gov.ua.administration.vakansiyi.administration.president.gov-ua.info
E74. phymateus.online
E75. s8.h.mchost.ru
E76. chinagrill.co
E77. photobucket.com
E78. ns3-dns.com
E79. ereservices.com
E80. melitaes.online
E81. ftp.thefoodplace.net
E82. getmod.host
E83. gov.ua
E84. nais-gov.com [aka nais-gov.org]
E85. aviatorssm.bit
E86. melitaeas.online [aka melitaes.online]
E87. myelectrive.com
E88. www.symantec.com
E89. vuonorganic.com
E90. www.msftncsi.com
E91. thestoreroomnsw.com.au
E92. gangbang6.monster
E93. evil.server.com
E94. toknowall.com
E95. thaibbqculver.com
E96. www.dstruct.net
E97. stormpredictor.host
E98. sm.ukrtel.net [aka zp.ukrtel.net]
E99. m-vz.webhop.me
E100. a0656203.xsph.ru
E101. a0322810.xsph.ru
E102. webhop.me
E103. xsph.ru
E104. lnk-upload.dodortar.ru
E105. dod-upload.dodortar.ru
E106. ln-upl.ddns.net
E107. d-upl.ddns.net
E108. up-dot.myftp.org
E109. up-lnk.myftp.org
E110. nitikora.ru
E111. dodortar.ru
E112. kopratiso.ru
E113. billyhot.ru
E114. bilitora.ru
E115. ddns.net
E116. ddnsking.com
E117. 3utilities.com
E118. bounceme.net
E119. freedynamicdns.net
E120. freedynamicdns.org
E121. gotdns.ch
E122. hopto.org
E123. myddns.me
E124. myftp.biz
E125. myftp.org
E126. myvnc.com
E127. onthewifi.com
E128. redirectme.net
E129. servebeer.com
E130. serveblog.net
E131. servecounterstrike.com
E132. serveftp.com
E133. servegame.com
E134. servehalflife.com
E135. servehttp.com
E136. serveirc.com
E137. serveminecraft.net
E138. servemp3.com
E139. servepics.com
E140. servequake.com
E141. sytes.net
E142. viewdns.net
E143. zapto.org
E144. noip.com
Mentions:
M1. "NO-IP" (Organization) — options: E1, E2, E3, E4 — ctx: S1
M2. "noip.com" (Domain) — options: E11, E12, E13, E14
M3. "m-vz.webhop.me" (Domain) — options: E21, E22, E23, E11
M4. "a0656203.xsph.ru" (Domain) — options: E30, E31, E32, E33
M5. "a0322810.xsph.ru" (Domain) — options: E40, E31, E41, E38
M6. "webhop.me" (Domain) — options: E23, E22, E11, E42
M7. "xsph.ru" (Domain) — options: E38, E31, E32, E33
M8. "lnk-upload.dodortar.ru" (Domain) — options: E47, E36, E31, E11
M9. "dod-upload.dodortar.ru" (Domain) — options: E52, E47, E36, E31
M10. "ln-upl.ddns.net" (Domain) — options: E11, E53, E19, E54
M11. "d-upl.ddns.net" (Domain) — options: E11, E53, E19, E54
M12. "up-dot.myftp.org" (Domain) — options: E11, E28, E60, E52
M13. "up-lnk.myftp.org" (Domain) — options: E11, E60, E45, E28
M14. "nitikora.ru" (Domain) — options: E38, E67, E31, E32
M15. "dodortar.ru" (Domain) — options: E69, E70, E36, E31
M16. "kopratiso.ru" (Domain) — options: E38, E64, E67, E31
M17. "billyhot.ru" (Domain) — options: E38, E31, E64, E40
M18. "bilitora.ru" (Domain) — options: E40, E48, E67, E31
M19. "ddns.net" (Domain) — options: E11, E53, E15, E45
M20. "ddnsking.com" (Domain) — options: E11, E53, E14, E76
M21. "3utilities.com" (Domain) — options: E16, E14, E42, E78
M22. "bounceme.net" (Domain) — options: E23, E55, E59, E45
M23. "freedynamicdns.net" (Domain) — options: E11, E55, E15, E56
M24. "freedynamicdns.org" (Domain) — options: E11, E61, E15, E30
M25. "gotdns.ch" (Domain) — options: E15, E11, E19, E31
M26. "hopto.org" (Domain) — options: E28, E44, E61, E50
M27. "myddns.me" (Domain) — options: E11, E23, E22, E19
M28. "myftp.biz" (Domain) — options: E45, E60, E11, E85
M29. "myftp.org" (Domain) — options: E11, E61, E60, E45
M30. "myvnc.com" (Domain) — options: E11, E87, E14, E45
M31. "onthewifi.com" (Domain) — options: E11, E14, E90, E77
M32. "redirectme.net" (Domain) — options: E92, E58, E55, E23
M33. "servebeer.com" (Domain) — options: E76, E79, E93, E14
M34. "serveblog.net" (Domain) — options: E45, E55, E93, E43
M35. "servecounterstrike.com" (Domain) — options: E69, E14, E93, E11
M36. "serveftp.com" (Domain) — options: E11, E79, E93, E14
M37. "servegame.com" (Domain) — options: E11, E14, E93, E38
M38. "servehalflife.com" (Domain) — options: E11, E14, E93, E23
M39. "servehttp.com" (Domain) — options: E11, E14, E93, E78
M40. "serveirc.com" (Domain) — options: E11, E79, E93, E14
M41. "serveminecraft.net" (Domain) — options: E43, E55, E93, E11
M42. "servemp3.com" (Domain) — options: E52, E79, E93, E14
M43. "servepics.com" (Domain) — options: E77, E79, E93, E14
M44. "servequake.com" (Domain) — options: E11, E14, E93, E97
M45. "sytes.net" (Domain) — options: E45, E55, E59, E11
M46. "viewdns.net" (Domain) — options: E19, E46, E55, E15
M47. "zapto.org" (Domain) — options: E44, E84, E28, E61

=== RESPONSE (4.3s, in 4039 / out 744 tok, STOP) ===
{"m":"M1","id":"NEW","g":"Dynamic DNS service"}
{"m":"M2","id":"NEW","g":null}
{"m":"M3","id":"NEW","g":null}
{"m":"M4","id":"NEW","g":null}
{"m":"M5","id":"NEW","g":null}
{"m":"M6","id":"NEW","g":null}
{"m":"M7","id":"NEW","g":null}
{"m":"M8","id":"NEW","g":null}
{"m":"M9","id":"NEW","g":null}
{"m":"M10","id":"NEW","g":null}
{"m":"M11","id":"NEW","g":null}
{"m":"M12","id":"NEW","g":null}
{"m":"M13","id":"NEW","g":null}
{"m":"M14","id":"NEW","g":null}
{"m":"M15","id":"NEW","g":null}
{"m":"M16","id":"NEW","g":null}
{"m":"M17","id":"NEW","g":null}
{"m":"M18","id":"NEW","g":null}
{"m":"M19","id":"NEW","g":null}
{"m":"M20","id":"NEW","g":null}
{"m":"M21","id":"NEW","g":null}
{"m":"M22","id":"NEW","g":null}
{"m":"M23","id":"NEW","g":null}
{"m":"M24","id":"NEW","g":null}
{"m":"M25","id":"NEW","g":null}
{"m":"M26","id":"NEW","g":null}
{"m":"M27","id":"NEW","g":null}
{"m":"M28","id":"NEW","g":null}
{"m":"M29","id":"NEW","g":null}
{"m":"M30","id":"NEW","g":null}
{"m":"M31","id":"NEW","g":null}
{"m":"M32","id":"NEW","g":null}
{"m":"M33","id":"NEW","g":null}
{"m":"M34","id":"NEW","g":null}
{"m":"M35","id":"NEW","g":null}
{"m":"M36","id":"NEW","g":null}
{"m":"M37","id":"NEW","g":null}
{"m":"M38","id":"NEW","g":null}
{"m":"M39","id":"NEW","g":null}
{"m":"M40","id":"NEW","g":null}
{"m":"M41","id":"NEW","g":null}
{"m":"M42","id":"NEW","g":null}
{"m":"M43","id":"NEW","g":null}
{"m":"M44","id":"NEW","g":null}
{"m":"M45","id":"NEW","g":null}
{"m":"M46","id":"NEW","g":null}
{"m":"M47","id":"NEW","g":null}
