=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 1471 canonicals"
Entities:
E1. fast-mail.site
E2. mail-box.site
E3. telegram-auth.website [aka www.telegram-auth.website]
E4. yotsubasociety.website
E5. your-mail.press
E6. advanced-ip-scanner.website
E7. infomailforyoumak.ru
E8. teneta.site
E9. korrespondentnet.webflow.io
E10. a0698262.xsph.ru
E11. a0667987.xsph.ru
E12. a0695487.xsph.ru
E13. a0698649.xsph.ru
E14. vdsina.ru
E15. abracodabugalimpopo.ru
E16. civh.ru
E17. ardeas.ru
E18. againandagaingmorder.ru
E19. a0671524.xsph.ru
E20. unayt.ru
E21. sephoraofficetz.ru
E22. coudzoom.ru
E23. hilr.ru
E24. leonardis.ru
E25. picwalldoor.ru
E26. awards-ua.life
E27. fishitor.ru
E28. nikotod.ru
E29. kilitro.ru
E30. ganara.ru
E31. xcqef.ru
E32. maxteroper.ru
E33. mirotrent.com [aka plntr.mirotrent.com]
E34. zaikaopentra.com.ru
E35. nxkad.ru
E36. nitikora.ru
E37. zaikadoctor.ru
E38. motoristo.ru
E39. iplogger.com
E40. ipapi.co
E41. ip-api.com
E42. odwebp.com [aka svc.odwebp.com]
E43. derzhposluhy.com [aka uspp.derzhposluhy.com]
E44. aneria.net
E45. sansaispa.com
E46. ocspdep.com
E47. authssl.site
E48. mail-gov.com
E49. drive-share.site [aka share-drive.site]
E50. com.authssl.site
E51. mail-gov.net
E52. advanced-ip-scanner.site
E53. milgov.site
E54. mail-ukr.net
E55. inbox-ukr.net
E56. courtbox.online
E57. doc.gmail.com.gyehddhrggdii323sdhnshiswh2udhqjwdhhfjcjeuejcj.zhblz.com
E58. mail.outloolc.com [aka outloolc.com]
E59. mail.gov.ua
E60. get.mail-gov.com
E61. my.mail-gov.net
E62. mail-gov-ua.frge.io
E63. outlook.outlook.live.com.exmo.day
E64. outlook.live.com.exmo.day
E65. live.outloolc.com
E66. outlook.certifiedauth.in
E67. outlook.live.com.getssl.click
E68. ua-mil.cloud
E69. portugalmail.pt
E70. konkur-mrii-ua.eu [aka konkur-mrii-uah.eu]
E71. geroiukr.site
E72. web.telegramm-account.site
E73. qsrgh.site [aka www.qsrgh.site]
E74. qweasdzx.site
E75. premiumjeck.site
E76. ssl4.site [aka www.ssl4.site]
E77. githubusercontent.com
E78. kismamabeforyougo.ru
E79. infomalilopera.ru
E80. kissmafiabeforyoudied.ru
E81. agentsuperpupervinil.ru
E82. info-cip.org
E83. kismamabeforyougo.com
E84. protonmail.com
E85. documents-reader.com
E86. mail.zhblz.com
E87. client-ukr.net
E88. winupmirror.support
E89. support-ukr.net
E90. mail.kzp.bg
E91. vertusupportjk.org
E92. protectraid.com
E93. prot-ukr.net
E94. tronogram.com
E95. petitionukraine.com
E96. mail.certifiedauth.in
E97. signal-confirm.site [aka www.confirm-signal.site, www.signal-confirm.site]
E98. confirm-ukr.net
E99. confirm-agent.online
E100. telegram-confirm.site
E101. policie-gov.cloud
E102. netman.servehttp.com
E103. rms-server.tektonit.ru
E104. moolin.ru
E105. net.ssl4.site
E106. net.ssl1.site [aka ssl1.site]
E107. trust-certificate.net
E108. net.ssl2.site [aka ssl2.site]
E109. ukr.net.ssl4.site
E110. ssl3.site
E111. docs.ukr.net.ssl4.site
E112. mails.support
E113. mail.aet.in.ua
E114. telegramm-account.site [aka www.telegramm-account.site]
E115. cancel-auth.site
E116. sendmail.website
E117. telegram-account.host [aka web.telegram-account.host]
E118. telegram.check-active.site
E119. webk-telegram.icu
E120. bookgames.pw
E121. mil-pt.cloud [aka s3-pt.cloud]
E122. portret-ua.eu
E123. i-ua.account-guard.site
E124. account-ukr.net
E125. accounts-ukr.net
E126. accounts--ukr.net
E127. krasavchikoleg.net
E128. foundpomoshi.com
E129. confirmphone.site
E130. zarabovannyok.eu
E131. courtgova.site
E132. net.ssl3.site
E133. com.ssl3.site
E134. com.ssl3.online [aka ssl3.online, net.ssl3.online]
E135. ukr.net.ssl3.site
E136. google.com.ssl3.site
E137. drive.google.com
E138. google.drive-share.site
E139. onedrive.live.com
E140. google.share-drive.site
E141. www.google-drive.site
E142. share.ukr.net.ssl1.site
E143. ukraine-charu.life
E144. shared.drive.googie.com.ssl4.site
E145. zero-trust.solutions
E146. 4qzm.com
E147. eu-southeast-1-aws.zero-trust.solutions
E148. uadop.webflow.io
E149. aspx.io
E150. net.frge.io
E151. censys.io
E152. ukr.net.frge.io
E153. file.io
E154. funedunet.com
E155. notfiled.com
E156. uaccsnet.com
E157. ukrsets.com
E158. beget.com
E159. ukrstnet.com
E160. check-active.site
E161. adobeprotectcheck.com
E162. www.portcheckers.com
E163. check.sign-cert.com [aka sign-cert.com]
E164. dnspod.com
E165. authcheck.in [aka www.authcheck.in]
E166. v-ukr.net
E167. teiegram.host [aka www.teiegram.host]
E168. chary-telegram.eu [aka vote-telegram.eu]
E169. 8161.uk
E170. settingsukr.net
E171. teiegram1.me
E172. apitelegram.org
E173. settusfree.org.uk
E174. k-ukr.net
E175. mivocloud.com
E176. cloudflare-dns.com
E177. smartcloudflare.com [aka sync.smartcloudflare.com]
E178. cdnauthsoft.com
E179. god-le.com
E180. aws-secure.cloud
E181. bom02.gotdns.ch [aka gotdns.ch]
E182. balerina.info
E183. ukraine-chares.info
E184. whoer.net
E185. ceriossl.info
E186. barvy-ukraines.info
E187. datagroup.ddns.net
E188. emtserviceca.info
E189. golos-ukr.info
E190. webhook.site
E191. goodlenuxilam.site
E192. whatsapp.protect-password.site
E193. accept-action.site [aka group-invitation.site, www.accept-action.site]
E194. password-ukr.net
E195. protectconnections.com
E196. web.web.telegram-account.host
E197. web.teiegram.host
E198. spam.web-telegram.host
E199. 212nj0b42w.web.telegram-account.host
E200. 658pvbhj2k7veemmv4.web.telegram-account.host
E201. us-west-1-amazon.ua-energy.cloud
E202. edopomogaonline.yolasite.com
E203. ns2.authssl.site
E204. ns1.authssl.site
E205. authssl.in
E206. gdocs.com.authssl.site
E207. authssl.link
E208. googie.com.authssl.site
E209. balet-me.us
E210. mail.numina.md
E211. balet-ua.us
E212. telegram.qweasdzx.site
E213. whatsapp-confirm.site
E214. telegram-click.ru
E215. anotepad.com
E216. filedn.eu
E217. baidenfree.com
E218. gofile.io
E219. unetset.com
E220. cdn.certifiedauth.in
E221. softloadup.com
E222. www.catalog.update.microsoft.com
E223. detipoertry.com
E224. benokij.com
E225. defender-bot.site
E226. vuxuancuong.com
E227. filebin.net
E228. ruvds.com
E229. account-saver.com
E230. jorgava.com
E231. vesna-konkurs.life
E232. propertyiran.ir
E233. frge.io
E234. dwservice.net [aka www.dwservice.net]
E235. jslopasitmon.com
E236. sav.com
E237. sinergil.com
E238. icanhazip.com
