=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 964 canonicals"
Entities:
E1. scorpiones.online
E2. prozorro-ua.net
E3. truffa.online
E4. coagula.online
E5. xbeta.online
E6. chimeramarket24.online [aka chimeramarketplace24.online]
E7. phymateus.online
E8. courtbox.online
E9. swinj.online
E10. bourns.space [aka topibuzz.space]
E11. 8003659902.space
E12. arentuk.com
E13. telegram.uk.net
E14. ukraine-barvy.life
E15. ukr.net
E16. tg.cyou
E17. ukraine-charu.life
E18. ukraine-malvy.life
E19. baidencult.com
E20. unetset.com
E21. ukrstnet.com
E22. ansaigon.com [aka sansaispa.com]
E23. apeduze.com
E24. britxec.com
E25. apokil.com [aka shikjil.com]
E26. lingrevelat.com
E27. ukrsets.com
E28. dipteran.online
E29. melitaes.online
E30. prozorro.online
E31. courtgova.online
E32. telecomds.online
E33. davincigroup.online [aka groupdavinci.online]
E34. sardanal.online
E35. graphiuma.online
E36. barbatus.online
E37. melitaeas.online
E38. elyslink.online
E39. wasabiwallet.online
E40. military-ukraine.online
E41. acteran.ru
E42. online.ua
E43. co3ra.de
E44. xeontime.com
E45. sackmeister.de
E46. zakolibal.online
E47. mail-box.site
E48. catbox.moe [aka files.catbox.moe]
E49. telegraom.me
E50. chimeramarketplace.online
E51. courtgova.site
E52. confirm-agent.online
E53. webknives.com
E54. pbank.co.ua
E55. t-online.de
E56. gondurasonline.ug
E57. i-like-hokku.co.ua
E58. aten.ua
E59. autodoka.com.ua
E60. tg-me.pro
E61. amo-opros.top
E62. prot-ukr.net
E63. gbshost.net
E64. aleimportadora.net
E65. afi-opros.top
E66. dcshost.net
E67. as49447.net
E68. aff-opros.top
E69. golosdruga.ru
E70. golosua-hudojniku.eu
E71. golos-ua-hudojniku.eu
E72. golosa-hudojniku-ua.eu [aka golosa-hudojniku-uah.eu]
E73. vljsport.eu.com
E74. golos-hudojniku.eu [aka hudojniku.eu]
E75. golosa-uahhudojniku.eu [aka golosa-uahudojniku.eu]
E76. cloue.link
E77. filebin.net
E78. plexbd.net
E79. emterox.ru
E80. v-ukr.net
E81. domthr.xyz
E82. whoer.net
E83. euro24dopomoga0.yolasite.com
E84. pomoshnikrbx.site
E85. oon24opros.yolasite.com
E86. ukrainecenter.yolasite.com
E87. adobeprotectcheck.com
E88. aid.edopomoga.gov.ua
E89. blopik.com
E90. ualogaccs.com
E91. diplombar.by
E92. ip-api.com
E93. alegoomaster.com
E94. fluoxi.com
E95. baletki.eu
E96. hudojnik.eu
E97. erwini.ru
E98. baletme.eu
E99. ukr-golosovane.site [aka ukr-golosovanie.site]
E100. baletnet.eu
E101. ukr-golosovan.site
E102. t-me.io
E103. 7tt.me
E104. t.me
E105. i1t.me
E106. fernandoherrera.me
E107. 0-t.me
E108. cdnauthsoft.com
E109. 4-t.me
E110. t--t.me
E111. datagroup.ddns.net
E112. metallergroup.ru
E113. golosa-hudojniku.eu
E114. golos-hudojniku-ua.eu
E115. golos-uah-hudojniku.eu
E116. golos-hudojniku-uah.eu
E117. steycools.pw
E118. africathrillthes.pw
E119. keewoolas.pw
E120. bloockflad.pw
E121. bookgames.pw
E122. killredls.pw
E123. carpetmarker.pw
E124. moskhoods.pw
E125. revivalsecularas.pw
E126. rivierafamily.com
E127. iplogger.com
E128. selectchary.eu
E129. ryomy.ru
E130. file.io
E131. center-gos.top
E132. cs1.wpc-v0cdn.org [aka wpc-v0cdn.org]
E133. frge.io
E134. mocky.io
E135. nirsoft.me
E136. shodan.io
E137. shormanz.com
E138. censys.io
E139. propertyiran.ir
E140. tgeo.link
E141. mulleti.ru
E142. sc-hudojnik.eu
E143. hudojnik-malunki.eu [aka malunki-hudojnik.eu]
E144. hudojnik-diti-ua.eu [aka hudojnik-ua.eu]
E145. malunki-ua-hudojnik.eu
E146. hudojnik-diti.eu
E147. anidoz.com
E148. dezword.com
E149. funedunet.com
E150. beget.com
E151. uasetukr.com
E152. eurotelle.com
E153. mouseoiet.fun
E154. minef.eu
E155. deti.eu
E156. filedn.eu
E157. dayzilons.pw
E158. teiergam.com
E159. agreminj.com
E160. compensation-ukr.com
E161. duhodown.fun
E162. protectconnections.com
