=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Кібератака групи UAC-0010 (Armageddon) на державні організації України (CERT-UA#4434)" — evidence: S1. "UAC-0010 (Armageddon).</p><p>З метою забезпечення відмовостійкості своєї інфраструктури, члени групи, серед іншого, використовують Dynamic DNS сервіс NO-IP. Звертаємо увагу на доцільність моніторингу з'єднань з доменними іменами, що використовуються згаданим сервісом. Перелік безкоштовних доменних імен н"
Entities:
E1. WordFence
E2. HostIQ
E3. 360Netlab
E4. Inq-Digital-Nigeria-AS (AS16284)
E5. Usoris
E6. AS37148 (нігерійський оператор телекомунікацій)
E7. Cloudflare Inc. [aka Cloudflare]
E8. Mozilla
E9. Adobe
E10. Vimpelcom
E11. dyndns.com
E12. gmail.com
E13. nowpropitup.com
E14. airmauritiusticket.com
E15. ns2-dns.com
E16. gobits3.com
E17. cdn.discordapp.com
E18. ansaigon.com
E19. ns3-dns.com
E20. badpdf.com
E21. s8.h.mchost.ru
E22. fernandoherrera.me
E23. nirsoft.me
E24. wpc-v0cdn.org
E25. cs1.wpc-v0cdn.org
E26. mx-out-14.default-host.net
E27. product-reviews.website
E28. me.gov.ua
E29. ipv6-wpnc.net
E30. gordon6.hopto.org
E31. co87972.tmweb.ru
E32. acteran.ru
E33. nx0.ru
E34. apoxipodes.ru
E35. omyce.ru
E36. varanasiclick.ru
E37. candidar.ru
E38. ryomy.ru
E39. circulas.ru
E40. 1000020.xyz
E41. webknives.com
E42. ftp.thefoodplace.net
E43. cryptsen7fo43rr6.onion.to
E44. winscp.net
E45. tinyurl.com
E46. erwini.ru
E47. parodadoca.ru
E48. milotrad.ru
E49. expeditionabroad.com
E50. drive.google.com
E51. emterox.ru
E52. single-office.ddns.net
E53. alt-2cdn.net
E54. ns.ns2-dns.com
E55. fex.net
E56. ns.ns3-dns.com
E57. smm2021.net
E58. edisk.ukr.net
E59. optica-rd.myftp.biz
E60. telsec.org
E61. cve.mitre.org
E62. nais-gov.org
E63. potrakit.ru
E64. mail.nais-gov.org
E65. tiloraso.ru
E66. tridiuma.ru
E67. giraffe-tour.ru
E68. jokotras.ru
E69. tortunas.ru
E70. portal.nazk.gov.ua
E71. portal.nazk.org.ua
E72. president.gov.ua.administration.vakansiyi.administration.president.gov-ua.info
E73. photobucket.com
E74. ukr.net
E75. biengrandir37.com
E76. 8003659902.site
E77. 8003659902.space
E78. ereservices.com
E79. melitaes.online
E80. nais-gov.com
E81. hmgo.pw
E82. 67.199.248.10
E83. aviatorssm.bit
E84. myelectrive.com
E85. melitaeas.online
E86. www.symantec.com
E87. vuonorganic.com
E88. www.msftncsi.com
E89. thestoreroomnsw.com.au
E90. eumr.site
E91. rmssrv3.ru
E92. evil.server.com
E93. product2020.mrbasic.com
E94. thaibbqculver.com
E95. rmssrv2.ru
E96. rmssrv4.ru
E97. widget.forum-pokemon.com
E98. lthhc-zm.com
E99. dev-com.sc
E100. www.dstruct.net
E101. docs.microsoft.com
E102. districoperav.icu
E103. site-1.work
E104. sm.ukrtel.net
E105. zp.ukrtel.net
E106. m-vz.webhop.me
E107. a0656203.xsph.ru
E108. a0322810.xsph.ru
E109. webhop.me
E110. xsph.ru
E111. lnk-upload.dodortar.ru
E112. dod-upload.dodortar.ru
E113. ln-upl.ddns.net
E114. d-upl.ddns.net
E115. up-dot.myftp.org
E116. up-lnk.myftp.org
E117. nitikora.ru
E118. dodortar.ru
E119. kopratiso.ru
E120. billyhot.ru
E121. bilitora.ru
E122. ddns.net
E123. ddnsking.com
E124. 3utilities.com
E125. bounceme.net
E126. freedynamicdns.net
E127. freedynamicdns.org
E128. gotdns.ch
E129. hopto.org
E130. myddns.me
E131. myftp.biz
E132. myftp.org
E133. myvnc.com
E134. onthewifi.com
E135. redirectme.net
E136. servebeer.com
E137. serveblog.net
E138. servecounterstrike.com
E139. serveftp.com
E140. servegame.com
E141. servehalflife.com
E142. servehttp.com
E143. serveirc.com
E144. serveminecraft.net
E145. servemp3.com
E146. servepics.com
E147. servequake.com
E148. sytes.net
E149. viewdns.net
E150. zapto.org
E151. noip.com
Mentions:
M1. "NO-IP" (Organization) — options: E1, E2, E3, E4 — ctx: S1
M2. "noip.com" (Domain) — options: E11, E12, E13, E14
M3. "m-vz.webhop.me" (Domain) — options: E21, E22, E23, E24
M4. "a0656203.xsph.ru" (Domain) — options: E31, E32, E33, E21
M5. "a0322810.xsph.ru" (Domain) — options: E31, E32, E40, E21
M6. "webhop.me" (Domain) — options: E29, E22, E23, E41
M7. "xsph.ru" (Domain) — options: E33, E32, E21, E34
M8. "lnk-upload.dodortar.ru" (Domain) — options: E31, E47, E37, E32
M9. "dod-upload.dodortar.ru" (Domain) — options: E31, E47, E37, E32
M10. "ln-upl.ddns.net" (Domain) — options: E29, E52, E53, E54
M11. "d-upl.ddns.net" (Domain) — options: E29, E52, E42, E53
M12. "up-dot.myftp.org" (Domain) — options: E42, E30, E59, E29
M13. "up-lnk.myftp.org" (Domain) — options: E42, E59, E29, E30
M14. "nitikora.ru" (Domain) — options: E36, E65, E32, E31
M15. "dodortar.ru" (Domain) — options: E36, E68, E37, E32
M16. "kopratiso.ru" (Domain) — options: E31, E63, E65, E32
M17. "billyhot.ru" (Domain) — options: E21, E32, E63, E36
M18. "bilitora.ru" (Domain) — options: E36, E48, E65, E32
M19. "ddns.net" (Domain) — options: E11, E52, E54, E44
M20. "ddnsking.com" (Domain) — options: E15, E11, E52, E14
M21. "3utilities.com" (Domain) — options: E76, E14, E41, E77
M22. "bounceme.net" (Domain) — options: E53, E55, E74, E29
M23. "freedynamicdns.net" (Domain) — options: E11, E55, E54, E57
M24. "freedynamicdns.org" (Domain) — options: E11, E60, E54, E61
M25. "gotdns.ch" (Domain) — options: E54, E11, E15, E16
M26. "hopto.org" (Domain) — options: E30, E29, E60, E42
M27. "myddns.me" (Domain) — options: E11, E23, E22, E54
M28. "myftp.biz" (Domain) — options: E42, E59, E83, E40
M29. "myftp.org" (Domain) — options: E42, E60, E59, E61
M30. "myvnc.com" (Domain) — options: E24, E11, E84, E14
M31. "onthewifi.com" (Domain) — options: E57, E14, E88, E80
M32. "redirectme.net" (Domain) — options: E53, E58, E55, E79
M33. "servebeer.com" (Domain) — options: E31, E78, E92, E14
M34. "serveblog.net" (Domain) — options: E29, E55, E92, E91
M35. "servecounterstrike.com" (Domain) — options: E25, E14, E92, E21
M36. "serveftp.com" (Domain) — options: E42, E78, E92, E14
M37. "servegame.com" (Domain) — options: E52, E14, E92, E54
M38. "servehalflife.com" (Domain) — options: E31, E14, E92, E80
M39. "servehttp.com" (Domain) — options: E50, E14, E92, E21
M40. "serveirc.com" (Domain) — options: E21, E78, E92, E14
M41. "serveminecraft.net" (Domain) — options: E52, E55, E92, E29
M42. "servemp3.com" (Domain) — options: E50, E78, E92, E14
M43. "servepics.com" (Domain) — options: E73, E78, E92, E14
M44. "servequake.com" (Domain) — options: E21, E14, E92, E15
M45. "sytes.net" (Domain) — options: E21, E55, E74, E103
M46. "viewdns.net" (Domain) — options: E15, E29, E54, E55
M47. "zapto.org" (Domain) — options: E30, E62, E60, E59

=== RESPONSE (41.1s, in 4142 / out 6347 tok, stop) ===
{"m":"NO-IP","id":"NEW","g":"Dynamic DNS service"}
{"m":"noip.com","id":"NEW","g":"domain of the Dynamic DNS service NO-IP"}
{"m":"m-vz.webhop.me","id":"NEW","g":null}
{"m":"a0656203.xsph.ru","id":"NEW","g":null}
{"m":"a0322810.xsph.ru","id":"NEW","g":null}
{"m":"webhop.me","id":"NEW","g":null}
{"m":"xsph.ru","id":"NEW","g":null}
{"m":"lnk-upload.dodortar.ru","id":"NEW","g":null}
{"m":"dod-upload.dodortar.ru","id":"NEW","g":null}
{"m":"ln-upl.ddns.net","id":"NEW","g":null}
{"m":"d-upl.ddns.net","id":"NEW","g":null}
{"m":"up-dot.myftp.org","id":"NEW","g":null}
{"m":"up-lnk.myftp.org","id":"NEW","g":null}
{"m":"nitikora.ru","id":"NEW","g":null}
{"m":"dodortar.ru","id":"NEW","g":null}
{"m":"kopratiso.ru","id":"NEW","g":null}
{"m":"billyhot.ru","id":"NEW","g":null}
{"m":"bilitora.ru","id":"NEW","g":null}
{"m":"ddns.net","id":"NEW","g":null}
