=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 386 canonicals"
Entities:
E1. panelunregistertle-348.frge.io
E2. frge.io
E3. eoiw8lhjwuc3sh2.m.pipedream.net
E4. baidenfree.com
E5. tense-gos.top
E6. eo9p1d2bfmioiot.m.pipedream.net
E7. inter-webservices.com
E8. potrakit.ru
E9. eoy7zvsvn6xfcmy.m.pipedream.net
E10. podologaneri.it
E11. surname192.temp.swtest.ru
E12. dodortar.ru
E13. kopratiso.ru
E14. smartideabusiness.com
E15. dod-upload.dodortar.ru
E16. parodadoca.ru
E17. co-opros.top
E18. kitten-268.frge.io
E19. coinerpay.top
E20. for-gos.top
E21. freedynamicdns.net
E22. aspe.ro
E23. freedynamicdns.org
E24. badge-gos.top
E25. alt-2cdn.net
E26. cs1.wpc-v0cdn.org
E27. dezword.com
E28. cdn.jsdelivr.net
E29. shormanz.com
E30. app.any.run
E31. 3utilities.com
E32. eo2mxtqmeqzafqi.m.pipedream.net
E33. 8003659902.space
E34. bounceme.net
E35. ddns.net
E36. m-vz.webhop.me
E37. project2.top
E38. brunoboys.net
E39. domthr.xyz
E40. a0656203.xsph.ru
E41. product2020.mrbasic.com
E42. 8003659902.site
E43. smm2021.net
E44. a0322810.xsph.ru
E45. docs.microsoft.com
E46. dishsouq.com
E47. easternexecutiveclub.com
E48. blog.gocon.in
E49. britxec.com
E50. ginaengg.com
E51. agreminj.com
E52. brand-gos.top
E53. ais-gos.top
E54. ye-gos.top
E55. cerv-gos.top
E56. alf-gos.top
E57. center-gos.top
E58. alfa-gos.top
E59. an-gos.top
E60. programasparapc.net
E61. 1000020.xyz
E62. www.facebook.com
E63. 1833.site
E64. ftp.thefoodplace.net
E65. gmail.com
E66. rivertimad.com
E67. myelectrive.com
E68. edisk.ukr.net
E69. servegame.com
E70. drimzis.com
E71. project3.top
E72. oceriesfornot.top
E73. admru.top
E74. arentuk.com
E75. admukr.top
E76. jevejosader.top
E77. admus.top
E78. arelyevennot.top
E79. cels-opros.top
E80. pre-opros.top
E81. top-opros.top
E82. raidforums.com
E83. winchconstruction.com
E84. domtern.com
E85. cryptsen7fo43rr6.onion.to
E86. cryptsen7fo43rr6.onion
E87. cryptsen7fo43rr6.onion.cab
E88. lightnogu5owjjllyo4tj2sfos6fchnmcidlgo6c7e6fz2hgryhfhoyd.onion
E89. successilin.top
E90. scorpiones.online
E91. economiquity.org
E92. myftp.org
E93. ipv6-wpnc.net
E94. hopto.org
E95. 67.199.248.10
E96. 192.198.87.130
E97. 67.199.248.11
E98. s8.h.mchost.ru
E99. central-gos.top
E100. jar-gos.top
E101. eumr.site
E102. naffalno.site
E103. military-ukraine.site
E104. yi-gos.top
E105. jel-gos.top
E106. ev-gos.top
E107. fikasterwer.top
E108. tas-gos.top
E109. azimurs.com
E110. github.com
E111. apokil.com
E112. zuh3vcyskd4gipkm.onion
E113. single-office.ddns.net
E114. timeandbright.com
E115. portal.msrc.microsoft.com
E116. anniversarygiftsforcouples.com
E117. badpdf.com
E118. airmauritiusticket.com
E119. bow-gos.top
E120. analyze.intezer.com
E121. www.virustotal.com [aka virustotal.com]
E122. www.michiganmastereltiempo.com
E123. www.symantec.com
E124. www.msftncsi.com
E125. fex.net
E126. fori-opros.top
E127. 185.193.38.78
E128. a0671524.xsph.ru
E129. ns.ns2-dns.com
E130. rea-gos.top
E131. meteolink.host
E132. redirectme.net
E133. www.hybrid-analysis.com
E134. acteran.ru
E135. apps-opros.top
E136. apoxipodes.ru
E137. syncapp.host
E138. ryomy.ru
E139. wers-gos.top
E140. ew-gos.top
E141. an-ukr.top
E142. ws-gos.top
E143. ln-upl.ddns.net
E144. wpc-v0cdn.org
E145. star-cz.ddns.net
E146. dipteran.online
E147. wasabiwallet.online
E148. wm-gos.top
E149. blopik.com
E150. akaluij.com
E151. sendmail.website
E152. dcshost.net
E153. barbatus.online
E154. xbeta.online
E155. melitaeas.online [aka melitaes.online]
E156. sardanal.online
E157. coagula.online
E158. accept-pay.top
E159. ritionalvalueon.top
E160. baidencult.com
E161. topadm.top
E162. rbadm.top
E163. trueadm.top
E164. ceronamtinclube.icu
E165. chubanomania.icu
E166. nitikora.ru
