=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 1253 canonicals"
Entities:
E1. wpc-v0cdn.org
E2. kew.1qw.us
E3. nk.1qw.us
E4. cs1.wpc-v0cdn.org
E5. ret.6bc.us
E6. kew.8df.us
E7. mail.arlingtonhousing.us
E8. 1000020.xyz
E9. rncsq.ru
E10. alt-2cdn.net
E11. a0695487.xsph.ru
E12. xcqef.ru
E13. rpc.1qw.us
E14. a0698262.xsph.ru
E15. keewoolas.pw
E16. 4qzm.com
E17. qkcew.ru
E18. me.gov.ua
E19. bank.gov.ua
E20. ns1.lonejade.com
E21. ndibk.gov.ua
E22. mockbin.org
E23. apitelegram.org
E24. ipv6-wpnc.net
E25. ua-cip.org
E26. authssl.org
E27. store3.gofile.io
E28. myftp.org
E29. brand-gos.top
E30. peer-gos.top
E31. wm-gos.top
E32. ais-gos.top
E33. alf-gos.top [aka alfa-gos.top]
E34. center-gos.top [aka central-gos.top]
E35. wers-gos.top
E36. tas-gos.top
E37. an-gos.top
E38. 8003659902.space
E39. domthr.xyz
E40. project2.top
E41. uacompensation.xyz
E42. uatax-compens.xyz
E43. 8003659902.site
E44. ec-compensation.xyz
E45. eoiw8lhjwuc3sh2.m.pipedream.net
E46. myua-compensations.xyz
E47. topadm.top
E48. trueadm.top
E49. admru.top
E50. admus.top
E51. arelyevennot.top
E52. badge-gos.top
E53. coinerpay.top
E54. admukr.club [aka admukr.top]
E55. rea-gos.top
E56. 67.199.248.10
E57. 192.198.87.130
E58. 1833.site
E59. 109x194x3x7.static-customer.bryansk.ertelecom.ru
E60. 67.199.248.11
E61. store8.gofile.io
E62. a0656203.xsph.ru
E63. 0-t.me
E64. africathrillthes.pw
E65. steycools.pw
E66. dayzilons.pw
E67. bloockflad.pw
E68. bookgames.pw
E69. carpetmarker.pw
E70. moskhoods.pw
E71. helpzzfound.site
E72. eo9p1d2bfmioiot.m.pipedream.net
E73. 185.193.38.78
E74. a0671524.xsph.ru
E75. panelunregistertle-348.frge.io
E76. ns.ns2-dns.com
E77. czyrqdnvpujmmjkfhhvsclx05sfi23bfr.oast.fun
E78. czyrqdnvpujmmjkfhhvs4knf1av02demj.oast.fun
E79. czyrqdnvpujmmjkfhhvsvlaax17vd5r6v.oast.fun
E80. bluepablo.fun
E81. mouseoiet.fun
E82. boddyshow.fun
E83. comperssw.fun
E84. czyrqdnvpujmmjkfhhvsgapqr3hclnhhj.oast.fun
E85. bow-gos.top
E86. ev-gos.top
E87. cerv-gos.top
E88. jel-gos.top
E89. ws-gos.top
E90. 3utilities.com
E91. lthhc-zm.com
E92. agreminj.com [aka agrikoz.com]
E93. teiergam.com
E94. airmauritiusticket.com
E95. tronogram.com
E96. revivalsecularas.pw
E97. killredls.pw
E98. ssl1.site
E99. ssl2.online
E100. net.ssl1.online
E101. ssl3.online
E102. ukr.net.ssl1.online
E103. com.ssl2.online
E104. ssl4.online
E105. edisk.ukr.net.ssl1.online
E106. ceriossl.info
E107. ssl2.site
E108. net.ssl1.site
E109. ssl3.site
E110. ukr.net.ssl1.site
E111. ssl4.site [aka www.ssl4.site]
E112. share.ukr.net.ssl1.site
E113. ssl1.online
E114. com.ssl2.site
E115. net.ssl2.site
E116. ukr.net.ssl2.site
E117. gdrive.com.ssl2.site
E118. tense-gos.top
E119. for-gos.top
E120. files.catbox.moe
E121. cdn.live.com.getssl.click
E122. cdn.exmo.day
E123. dnspod.com
E124. cdn.certifiedauth.in
E125. gofile.io [aka store1.gofile.io]
E126. e-nas.firstcloudit.com
E127. jar-gos.top
E128. a0698649.xsph.ru
E129. abracodabugalimpopo.ru
E130. rmssrv4.ru
E131. acteran.ru
E132. kjhgdj99fuller.ru
E133. againandagaingmorder.ru
E134. goodlenuxilam.site
E135. downloadrezerves.ru
E136. ftp.thefoodplace.net
E137. star-cz.ddns.net
E138. optica-rd.myftp.biz
E139. up-dot.myftp.org
E140. up-lnk.myftp.org
E141. ftp.ssttekstil.com [aka ssttekstil.com]
E142. mega.nz
E143. serveftp.com
E144. authssl.site
E145. ns1.fountainrate.com
E146. courtgova.site
E147. s8.h.mchost.ru
E148. thestoreroomnsw.com.au
E149. static-ukr.net
