=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 1544 canonicals"
Entities:
E1. oon24opros.yolasite.com
E2. edopomogaonline.yolasite.com
E3. ukrainecenter.yolasite.com
E4. oon24oprosy.yolasite.com
E5. eurotelle.com
E6. domthr.xyz
E7. 4qzm.com
E8. aid.edopomoga.gov.ua
E9. derzhposluhy.com [aka uspp.derzhposluhy.com]
E10. domtern.com
E11. blakejones.xyz
E12. devtools.bond
E13. uacompensation.xyz
E14. tools.nexcess.net
E15. uatax-compens.xyz
E16. ec-compensation.xyz
E17. duhodown.fun
E18. diplombar.by
E19. admukr.club
E20. admus.top
E21. ua-mil.cloud
E22. admin.certifiedauth.in
E23. admru.top
E24. admukr.top
E25. aws-il.cloud
E26. topadm.top
E27. aws-s3.cloud [aka s3-aws.cloud]
E28. big-uah.top
E29. co-opros.top
E30. chis-gos.top
E31. an-ukr.top
E32. ditinstvo-uah.pics [aka moe-ditinstvo-uah.pics]
E33. balletmasters.co
E34. central-gos.top
E35. bow-gos.top
E36. co-uah.top
E37. ao-opros.top
E38. jo-opros.top
E39. top-opros.top
E40. amo-opros.top
E41. coinerpay.top
E42. aff-opros.top
E43. pro-gos.top
E44. job-opros.top
E45. ev-gos.top
E46. ais-gos.top
E47. an-gos.top
E48. wers-gos.top
E49. center-gos.top
E50. alf-gos.top
E51. cerv-gos.top
E52. jel-gos.top
E53. alfa-gos.top
E54. peer-gos.top
E55. tense-gos.top
E56. for-gos.top
E57. bul-opros.top
E58. apps-opros.top
E59. afi-opros.top
E60. eu-opros.top
E61. wi-opros.top
E62. ui-opros.top
E63. cels-opros.top
E64. ws-gos.top
E65. badge-gos.top
E66. rea-gos.top
E67. ew-gos.top
E68. konkursi-uah.eu
E69. ye-gos.top
E70. brand-gos.top
E71. jar-gos.top
E72. tas-gos.top
E73. awa-opros.top
E74. eti-opros.top
E75. k-ukr.net
E76. out-ukr.net
E77. in-ukr.net
E78. a3-ukr.net
E79. vn-ukr.net
E80. trueadm.top
E81. project2.top
E82. rbadm.top
E83. tio-gos.top
E84. vote-me.top
E85. protectraid.com
E86. pre-opros.top
E87. project3.top
E88. truffa.online
E89. coinbase.exmo.day
E90. ua-compenses.top
E91. admis.club
E92. aws-ukraine.cloud [aka us-west-1.aws-ukraine.cloud]
E93. mxukr.net
E94. euro24dopomoga0.yolasite.com
E95. finformservice.com
E96. zaikaopentra.com.ru
E97. onedrive.live.com
E98. t-online.de
E99. jimloamfilling.online
E100. wasabiwallet.online
E101. crmeds.com
E102. internet.bs
E103. mirotrent.com [aka plntr.mirotrent.com]
E104. aneria.net
E105. moskeet.com
E106. easternexecutiveclub.com
E107. keewoolas.pw
E108. unayt.ru
E109. getssl.click
E110. misp.cert.gov.ua
E111. hilr.ru
E112. s3-esa.cloud
E113. csp.certifiedauth.in
E114. dnspod.com
E115. ardeas.ru
E116. vdsina.ru
E117. golos2023q.ru
E118. flayga.ru
E119. infomailforyoumak.ru [aka kismamabeforyougo.ru]
E120. gondurasonline.ru
E121. deti-malunki-uah.eu [aka malunki-ditini-uah.eu, golos-ditin-ua.eu, malunki-ditin-ua.eu, malunki-ditini-ua.eu, malunki-ditin-uah.eu, golos-ditin-uah.eu]
E122. golos-ua.life [aka golos-ukr.life]
E123. abracodabugalimpopo.ru
E124. ceriossl.info
E125. aspx.io
E126. file.io
E127. githubusercontent.com
E128. frge.io
E129. gofile.io
E130. shapurt.ru
E131. metanat.ru
E132. paparat.ru
E133. againandagaingmorder.ru
E134. boddyshow.fun
E135. bluepablo.fun
E136. comperssw.fun
E137. kowersize.fun
E138. plengreg.fun
E139. mouseoiet.fun
E140. funedunet.com
E141. howlcars.fun
E142. zamesblack.fun
E143. groupdavinci.online
E144. mafirti.ru
E145. censys.io
E146. propertyiran.ir
E147. dwservice.net [aka www.dwservice.net]
E148. civh.ru
E149. kilitro.ru
E150. hillespostelnm.eu
E151. fishitor.ru
E152. maxteroper.ru
E153. nikotod.ru
E154. tme-id.ru
E155. zaikadoctor.ru
E156. grabify.link
E157. me-cloud.link
E158. telegram.org-a0dm91dk31i.cloue.link
E159. claud.in
E160. ssl2.link
E161. authssl.link
