=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 332 canonicals"
Entities:
E1. m-vz.webhop.me
E2. eo9p1d2bfmioiot.m.pipedream.net
E3. eoiw8lhjwuc3sh2.m.pipedream.net
E4. eoy7zvsvn6xfcmy.m.pipedream.net
E5. e-wwg.com
E6. bounceme.net
E7. ddns.net
E8. emterox.ru
E9. brunoboys.net
E10. naffalno.site
E11. dogiraftig.com
E12. github.com
E13. 3utilities.com
E14. agreminj.com
E15. blinkij.com
E16. ddnsking.com
E17. airmauritiusticket.com
E18. eo2mxtqmeqzafqi.m.pipedream.net
E19. ryomy.ru
E20. amo-opros.top
E21. myftp.org
E22. zuh3vcyskd4gipkm.onion
E23. sytes.net
E24. winchconstruction.com
E25. dezword.com
E26. servegame.com
E27. ginaengg.com
E28. myddns.me
E29. apeduze.com
E30. akaluij.com
E31. arentuk.com
E32. gmail.com
E33. anidoz.com
E34. vuonorganic.com
E35. fluoxi.com
E36. fan-guy.com
E37. dishsouq.com
E38. easternexecutiveclub.com
E39. britxec.com
E40. dev-com.sc
E41. 1833.site
E42. noip.com
E43. 8003659902.site
E44. eumr.site
E45. onthewifi.com
E46. webhop.me
E47. military-ukraine.site
E48. dodortar.ru
E49. rresteraftin.com
E50. giraffe-tour.ru
E51. domthr.xyz
E52. serveminecraft.net
E53. blopik.com
E54. apokil.com
E55. serveirc.com
E56. axikok.com
E57. dyndns.com
E58. d-upl.ddns.net
E59. single-office.ddns.net
E60. proxylogon.com
E61. baidencult.com
E62. answers.microsoft.com
E63. nais-gov.com
E64. an-gos.top
E65. ohsxy.com
E66. xsph.ru
E67. ukr.net
E68. viewdns.net
E69. freedynamicdns.net
E70. freedynamicdns.org
E71. panelunregistertle-348.frge.io
E72. aspe.ro
E73. admus.top
E74. alf-gos.top
E75. acteran.ru
E76. apoxipodes.ru
E77. omyce.ru
E78. kopratiso.ru
E79. bilitora.ru
E80. erwini.ru
E81. www.dstruct.net
E82. granitecsinks.ca
E83. antination.kherson.ua
E84. drimzis.com
E85. ansaigon.com
E86. arelyevennot.top
E87. shikjil.com
E88. toknowall.com
E89. cautionphenomenon.co.kr
E90. tinyurl.com
E91. co-opros.top
E92. servebeer.com
E93. ns2-dns.com
E94. ns.ns2-dns.com
E95. ns3-dns.com
E96. ns.ns3-dns.com
E97. www.msftncsi.com
E98. floorfix.com.au
E99. microsoft.com
E100. photobucket.com
E101. social.technet.microsoft.com
E102. mulleti.ru
E103. enterwords.ru
E104. olei.ro
E105. billyhot.ru
E106. winscp.net
E107. www.michiganmastereltiempo.com
E108. www.symantec.com
E109. cs1.wpc-v0cdn.org
E110. economiquity.org
E111. ipv6-wpnc.net
E112. hopto.org
E113. ritionalvalueon.top
E114. azimurs.com
E115. pastebin.com
E116. servepics.com
E117. ticket.cyberpolice.gov.ua
E118. moskeet.com
E119. drive.google.com
E120. shormanz.com
E121. ertimadifa.com
E122. admis.club
E123. borizhog.com
E124. ln-upl.ddns.net
E125. yandex.ru
E126. email.cz
E127. arcor.de
E128. misp.cert.gov.ua
E129. cert.gov.ua
E130. co-uah.top
E131. cmtheodor.be
E132. badpdf.com
E133. raidforums.com
E134. thaibbqculver.com
E135. verofes.com
E136. nowpropitup.com
E137. ereservices.com
E138. anniversarygiftsforcouples.com
E139. inter-webservices.com
E140. gordon6.hopto.org
E141. telsec.org
E142. karunadana.org
E143. blog.gocon.in
E144. 1000020.xyz
E145. admukr.top
E146. center-gos.top
E147. tortunas.ru
E148. servequake.com
E149. servehalflife.com
E150. serveftp.com
E151. myftp.biz
E152. up-dot.myftp.org
E153. up-lnk.myftp.org
E154. optica-rd.myftp.biz
E155. zapto.org
E156. jokotras.ru
E157. milotrad.ru
E158. prefer.jokotras.ru
E159. rivertimad.com
E160. cuts-international.org
E161. fernandoherrera.me
E162. docs.microsoft.com
E163. myvnc.com
E164. nirsoft.me
E165. me.gov.ua
E166. security-check.telegram.org.ohsxy.com
E167. chernilis.win
E168. ao3.hmgo.pw
E169. bow-gos.top
E170. netbin.host
E171. fikasterwer.top
E172. servehttp.com
E173. servemp3.com
Mentions:
M1. "eo2mxtqmeqzafqi.m.pipedream.net" (Domain) — options: E1, E2, E3, E4
M2. "ginaengg.com" (Domain) — options: E5, E10, E11, E12
