=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Тріада UAC-0050: кібершпигунство, фінансові злочини, інформаційно-психологічні операції" — evidence: S1. "лючає:</p><ul><li>викрадення інформації (кібершпигунство)</li><li>викрадення грошових коштів</li><li>інформаційно-психологічні операції під "брендом" Fire Cells Group.</li></ul><p>Так, протягом вересня-жовтня 2024 року UAC-0050 в результаті отримання несанкціонованого доступу до комп'ютерів бухгалтерів з використанням програмного забезпечення REMCOS / TEKTONITRMS здійснено не менше 30 спроб викрадення грошових коштів з рахунків українських підприємств та фізичних осіб-підприємців шляхом формування/підробки фін" S2. "рограмні засоби реалізації кіберзагроз, що пояснює використання широкого спектру програм, таких як: REMCOS, TEKTONITRMS, MEDUZASTEALER, LUMMASTEALER, XENORAT, SECTOPRAT, MARSSTEALER, DARKTRACKRAT та ін.</p><p>Крім того, встановлено, що інформаційно-психологічні операції, які здійснюються від імені Fire Cells Group під виглядом розповсюдження п" S3. "//172.86.68.37:7363 tcp://213.109.202.97:15647 tcp://45.143.166.100:52336 tcp://77.105.161.194:80 http://77.105.161.194/file/6706e721f2c06.exe http://avoufshire.icu/cee6b323faaaf788.php http://qwdfewf.com/dwn_legit_file http://qwdfewf.com/dwn_payload_file http://qwdfewf.com/reg_auth_machine https://bitbucket.org/filedataup/up/downloads/Документи.zip ht" S4. "ps://bitbucket.org/sharedua/ua/downloads/scan_documet_027839.rar https://bitbucket.org/shieldadas/gsdghjj/downloads/img_test.jpg?11811735 https://raw.githubusercontent.com/santomalo/audit/main/img_test.jpg?14441723 101.99.93.108 101.99.93.144 101.99.94.69 111.90.147.146 111.90.147.147 "
Entities:
E1. FRwL [aka @frwl_team]
E2. DaVinci Group
E3. Tropical Scorpius
E4. @informZarya
E5. UAC-0180
E6. Armageddon/Gamaredon [aka Armageddon, UAC-0010 (Armageddon), UAC-0010]
E7. @solntsepekZ
E8. TontoTeam
E9. @xaknet_team
E10. Encrpt3d
E11. LAKEFLASH
E12. Remote Utilities [aka Remote Utilities - Host, RemoteUtilities]
E13. RMS
E14. NSSM
E15. AutoIt
E16. MSDriverMonitor.exe
E17. takeown
E18. AutoIt3
E19. Citrio Browser
E20. DOWNEX
E21. VENOM RAT
E22. Cisco IOS XE
E23. Snort
E24. njRAT
E25. Mimikatz
E26. Zenmap
E27. Remcos [aka Remcos RAT, RemcosRAT]
E28. AsyncRAT
E29. Protector.bat
E30. nginx
E31. SIGTOP
E32. OpenSSL
E33. SPECTR
E34. DarkCrystal RAT [aka MSCommonDriver.DCRat.exe]
E35. ChakraCore
E36. ROTTENPOTATONG
E37. ATERA
E38. Vidar
E39. XENORAT
E40. SECTOPRAT
E41. DARKTRACKRAT
E42. TEKTONITRMS
E43. tg.cyou
E44. ceronamtinclube.icu
E45. uahvibir-hudojniku.eu [aka uavibir-hudojniku.eu]
E46. chubanomania.icu
E47. webk-telegram.icu
E48. districoperav.icu
E49. vibirua-hudojnika.eu
E50. gofile.io
E51. apeduze.com
E52. aviatorssm.bit
E53. e-wwg.com
E54. badpdf.com
E55. detipoertry.com [aka poeuatryditieu.com]
E56. onthewifi.com
E57. zbignef.com
E58. 3utilities.com
E59. fluoxi.com
E60. sav.com
E61. 4qzm.com
E62. gbshost.org
E63. raw.githubusercontent.com
E64. gbshost.net
E65. github.com
E66. t-me.io
E67. content.certifiedauth.in
E68. agreminj.com
E69. shopersport.ru
E70. backstagemerch.shop
E71. rafraystore.ru
E72. empoweringparents.shop
E73. president-petitions.shop
E74. amo-opros.top
E75. lauramcinerney.shop
E76. badge-gos.top
E77. tacticalv.com
E78. coinbase.exmo.day
E79. chari-konkursua.eu
E80. ua-deti-chary.eu
E81. chari-konkursua.life
E82. chimeramarketplace.online
E83. uacompensation.xyz
E84. hmgo.pw
E85. pay.uacompensation.xyz
E86. noip.com
E87. compensation-ukr.com
E88. gopoppers.com
E89. pay.ukr-compens.xyz
E90. compensationukr.com
E91. arentuk.com
E92. i-like-hokku.co.ua
E93. ukrainebayra.com
E94. familyvote.co
E95. igshop.net
E96. granitecsinks.ca
E97. naffalno.site
E98. brand-gos.top
E99. baidencult.com
E100. nlightusa.com
E101. great-surveys.top
E102. chis-gos.top
E103. sansaispa.com
E104. qwdfewf.com
E105. githubusercontent.com
E106. basedsymsotp.shop
E107. charistmatwio.shop
E108. commisionipwn.shop
E109. complainnykso.shop
E110. faillymoodkywko.shop
E111. grassemenwji.shop
E112. ignoracndwko.shop
E113. preachstrwnwjw.shop
E114. stitchmiscpaew.shop
E115. avoufshire.icu
E116. підприємства [aka Ukrainian enterprises]
E117. Government bodies and enterprises of Ukraine [aka державні установи та підприємства]
E118. Українські підприємства та організації
E119. Ukrainian defense enterprises [aka українські оборонні підприємства]
E120. Government sector of Ukraine [aka Державний сектор, Ukrainian government sector]
E121. Information systems of Ukrainian enterprises
E122. Ukrainian energy sector
E123. Ukrainian telecommunications providers
E124. Ukrainian providers
E125. Russian scientific and technical sector
Mentions:
M1. "Fire Cells Group" (HackerGroup) — options: E1, E2, E3, E4 — ctx: S1
M2. "TEKTONITRMS" (Software) — options: E11, E12, E13, E14 — ctx: S1
M3. "XENORAT" (Software) — options: E20, E21, E22, E23 — ctx: S2
M4. "SECTOPRAT" (Software) — options: E20, E27, E29, E11 — ctx: S2
M5. "DARKTRACKRAT" (Software) — options: E34, E20, E28, E35 — ctx: S2
M6. "avoufshire.icu" (Domain) — options: E43, E44, E45, E46 — ctx: S3
M7. "qwdfewf.com" (Domain) — options: E53, E54, E55, E51 — ctx: S3
M8. "githubusercontent.com" (Domain) — options: E62, E63, E64, E58 — ctx: S4
M9. "basedsymsotp.shop" (Domain) — options: E69, E70, E71, E72 — ctx: S4
M10. "charistmatwio.shop" (Domain) — options: E69, E70, E79, E80 — ctx: S4
M11. "commisionipwn.shop" (Domain) — options: E83, E70, E73, E84 — ctx: S4
M12. "complainnykso.shop" (Domain) — options: E69, E70, E73, E71 — ctx: S4
M13. "faillymoodkywko.shop" (Domain) — options: E71, E70, E73, E69 — ctx: S4
M14. "grassemenwji.shop" (Domain) — options: E69, E70, E71, E72 — ctx: S4
M15. "ignoracndwko.shop" (Domain) — options: E71, E70, E95, E69 — ctx: S4
M16. "preachstrwnwjw.shop" (Domain) — options: E71, E70, E73, E99 — ctx: S4
M17. "stitchmiscpaew.shop" (Domain) — options: E71, E70, E73, E69 — ctx: S4
M18. "Ukrainian enterprises and sole proprietors" (Sector) — options: E116, E117, E118, E119

=== RESPONSE (24.4s, in 3453 / out 5683 tok, stop) ===
{"m":"Fire Cells Group","id":"NEW","g":"brand used for information-psychological operations"}
{"m":"TEKTONITRMS","id":"NEW","g":"software used to steal money from accounts"}
{"m":"XENORAT","id":"NEW","g":"software used for implementing cyber threats"}
{"m":"SECTOPRAT","id":"NEW","g":"software used for implementing cyber threats"}
{"m":"DARKTRACKRAT","id":"NEW","g":"software used for implementing cyber threats"}
{"m":"avoufshire.icu","id":"NEW","g":"domain used in cyber operations"}
{"m":"qwdfewf.com","id":"NEW","g":"domain used for downloading files"}
{"m":"githubusercontent.com","id":"NEW","g":"domain used for hosting images"}
{"m":"basedsymsotp.shop","id":"NEW","g":"domain used in cyber operations"}
{"m":"charistmatwio.shop","id":"NEW","g":"domain used in cyber operations"}
{"m":"commisionipwn.shop","id":"NEW","g":"domain used in cyber operations"}
{"m":"complainnykso.shop","id":"NEW","g":"domain used in cyber operations"}
{"m":"faillymoodkywko.shop","id":"NEW","g":"domain used in cyber operations"}
{"m":"grassemenwji.shop","id":"NEW","g":"domain used in cyber operations"}
{"m":"ignoracndwko.shop","id":"NEW","g":"domain used in cyber operations"}
{"m":"preachstrwnwjw.shop","id":"NEW","g":"domain used in cyber operations"}
{"m":"stitchmiscpaew.shop","id":"NEW","g":"domain used in cyber operations"}
{"m":"Ukrainian enterprises and sole proprietors","id":"NEW","g":"targets of attempts to steal money from accounts"}
