=== REQUEST (gemini gemini-3.7-flash) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 291 canonicals"
Entities:
E1. product2020.mrbasic.com
E2. 3utilities.com
E3. agreminj.com
E4. airmauritiusticket.com
E5. akaluij.com
E6. anidoz.com
E7. ansaigon.com
E8. apeduze.com
E9. apokil.com
E10. 1000020.xyz
E11. dodortar.ru
E12. admukr.top
E13. email.cz
E14. emterox.ru
E15. hopto.org
E16. myftp.biz
E17. omyce.ru
E18. dogiraftig.com
E19. admukr.club
E20. posish.club
E21. admus.top
E22. winuvinnosluk.club
E23. admru.top
E24. azimurs.com
E25. drimzis.com
E26. big-uah.top
E27. co-opros.top
E28. an-ukr.top
E29. bow-gos.top
E30. coinerpay.top
E31. accept-pay.top
E32. an-gos.top
E33. amo-opros.top
E34. cels-opros.top
E35. aff-opros.top
E36. afi-opros.top
E37. bul-opros.top
E38. apps-opros.top
E39. co-uah.top
E40. central-gos.top
E41. center-gos.top
E42. alf-gos.top
E43. alfa-gos.top
E44. badge-gos.top
E45. brand-gos.top
E46. cerv-gos.top
E47. trueadm.top
E48. topadm.top
E49. arelyevennot.top
E50. fikasterwer.top
E51. jevejosader.top
E52. rbadm.top
E53. project2.top
E54. ndlestomak.top
E55. project3.top
E56. admis.club
E57. ukr.net
E58. acteran.ru
E59. apoxipodes.ru
E60. bilitora.ru
E61. billyhot.ru
E62. candidar.ru
E63. circulas.ru
E64. enterwords.ru
E65. sytes.net
E66. bounceme.net
E67. ddns.net
E68. freedynamicdns.net
E69. redirectme.net
E70. serveblog.net
E71. serveminecraft.net
E72. smm2021.net
E73. d-upl.ddns.net
E74. ln-upl.ddns.net
E75. single-office.ddns.net
E76. viewdns.net
E77. winscp.net
E78. myddns.me
E79. dyndns.com
E80. a0322810.xsph.ru
E81. a0656203.xsph.ru
E82. dod-upload.dodortar.ru
E83. lnk-upload.dodortar.ru
E84. jokotras.ru
E85. rresteraftin.com
E86. fernandoherrera.me
E87. nirsoft.me
E88. webhop.me
E89. gotdns.ch
E90. telegram.org.security.ohsxy.com
E91. ghaniyu.com
E92. ns2-dns.com
E93. ns3-dns.com
E94. myvnc.com
E95. ddnsking.com
E96. ns.ns2-dns.com
E97. ns.ns3-dns.com
E98. myftp.org
E99. telsec.org
E100. zapto.org
E101. cve.mitre.org
E102. gordon6.hopto.org
E103. nais-gov.org
E104. wpc-v0cdn.org
E105. freedynamicdns.org
E106. fex.net
E107. ao3.hmgo.pw
E108. me.gov.ua
E109. frge.io
E110. gov.ua
E111. iol.pt
E112. s8.h.mchost.ru
E113. dishsouq.com
E114. britxec.com
E115. gobits3.com
E116. tinyurl.com
E117. panelunregistertle-348.frge.io
E118. servegame.com
E119. verofes.com
E120. nais-gov.com
E121. erwini.ru
E122. sm.ukrtel.net
E123. servepics.com
E124. serveftp.com
E125. servemp3.com
E126. servebeer.com
E127. servehttp.com
E128. servequake.com
E129. servehalflife.com
E130. ereservices.com
E131. onthewifi.com
E132. github.com
E133. kmtacn.com
E134. ohsxy.com
E135. tortunas.ru
E136. hotmail.com
E137. kopratiso.ru
E138. www.msftncsi.com
E139. edisk.ukr.net
E140. prefer.jokotras.ru
E141. milotrad.ru
E142. tiloraso.ru
E143. blopik.com
E144. blinkij.com
E145. potrakit.ru
E146. mail.nais-gov.org
E147. m-vz.webhop.me
E148. arcor.de
E149. ertimadifa.com
E150. gmail.com
E151. shikjil.com
E152. serveirc.com
E153. thaibbqculver.com
E154. myelectrive.com
E155. ipv6-wpnc.net
E156. arentuk.com
E157. getmod.host
E158. meteolink.host
E159. netbin.host
E160. syncapp.host
E161. nowpropitup.com
E162. borizhog.com
E163. vuonorganic.com
E164. i.ua
E165. axikok.com
E166. aviatorssm.bit
E167. up-dot.myftp.org
E168. up-lnk.myftp.org
E169. barbatus.online
E170. dipteran.online
E171. melitaes.online
E172. coagula.online
E173. melitaeas.online
E174. sardanal.online
E175. graphiuma.online
E176. phymateus.online
E177. scorpiones.online
E178. fluoxi.com
E179. noip.com
E180. cert.gov.ua
E181. eumr.site
E182. ticket.cyberpolice.gov.ua
E183. shormanz.com
E184. 1833.site
E185. 8003659902.site
E186. military-ukraine.site
E187. site-1.work
E188. xsph.ru
