=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Кібератака групи UAC-0010 (Armageddon) на державні організації України (CERT-UA#4434)" — evidence: S1. "UAC-0010 (Armageddon).</p><p>З метою забезпечення відмовостійкості своєї інфраструктури, члени групи, серед іншого, використовують Dynamic DNS сервіс NO-IP. Звертаємо увагу на доцільність моніторингу з'єднань з доменними іменами, що використовуються згаданим сервісом. Перелік безкоштовних доменних імен н"
Entities:
E1. NATO
E2. HostIQ
E3. 360Netlab
E4. Fortinet
E5. Usoris
E6. AS37148 (нігерійський оператор телекомунікацій)
E7. Mozilla
E8. Adobe
E9. Habr
E10. Apple
E11. dyndns.com
E12. gmail.com
E13. nowpropitup.com
E14. airmauritiusticket.com
E15. ns.ns3-dns.com
E16. gobits3.com
E17. cdn.discordapp.com
E18. ansaigon.com
E19. ns.ns2-dns.com
E20. badpdf.com
E21. zuh3vcyskd4gipkm.onion [aka cryptsen7fo43rr6.onion]
E22. fernandoherrera.me
E23. nirsoft.me
E24. ryomy.ru
E25. mx-out-14.default-host.net
E26. product-reviews.website
E27. me.gov.ua
E28. melitaes.online
E29. gordon6.hopto.org
E30. eo9p1d2bfmioiot.m.pipedream.net
E31. apoxipodes.ru
E32. acteran.ru
E33. nx0.ru
E34. omyce.ru
E35. emterox.ru
E36. candidar.ru
E37. cs1.wpc-v0cdn.org
E38. circulas.ru
E39. erwini.ru
E40. 1000020.xyz
E41. webknives.com
E42. netbin.host
E43. ipv6-wpnc.net
E44. winscp.net
E45. enterwords.ru
E46. tortunas.ru
E47. parodadoca.ru
E48. milotrad.ru
E49. expeditionabroad.com
E50. single-office.ddns.net
E51. alt-2cdn.net
E52. fex.net
E53. smm2021.net
E54. ns2-dns.com
E55. edisk.ukr.net
E56. ukr.net
E57. optica-rd.myftp.biz
E58. drive.google.com
E59. telsec.org
E60. wpc-v0cdn.org
E61. cve.mitre.org
E62. nais-gov.org
E63. potrakit.ru
E64. eumr.site
E65. mail.nais-gov.org
E66. tiloraso.ru
E67. tridiuma.ru
E68. jokotras.ru
E69. portal.nazk.gov.ua
E70. portal.nazk.org.ua
E71. president.gov.ua.administration.vakansiyi.administration.president.gov-ua.info
E72. s8.h.mchost.ru
E73. photobucket.com
E74. ns3-dns.com
E75. chinagrill.co
E76. cuckoo.cert.ee
E77. ereservices.com
E78. www.hybrid-analysis.com
E79. ftp.thefoodplace.net
E80. xbeta.online
E81. gov.ua
E82. myelectrive.com
E83. aviatorssm.bit
E84. melitaeas.online
E85. www.symantec.com
E86. vuonorganic.com
E87. www.msftncsi.com
E88. thestoreroomnsw.com.au
E89. evil.server.com
E90. thaibbqculver.com
E91. phymateus.online
E92. www.dstruct.net
E93. docs.microsoft.com
E94. stormpredictor.host
E95. sm.ukrtel.net
E96. m-vz.webhop.me
E97. a0656203.xsph.ru
E98. a0322810.xsph.ru
E99. webhop.me
E100. xsph.ru
E101. lnk-upload.dodortar.ru
E102. dod-upload.dodortar.ru
E103. ln-upl.ddns.net
E104. d-upl.ddns.net
E105. up-dot.myftp.org
E106. up-lnk.myftp.org
E107. nitikora.ru
E108. dodortar.ru
E109. kopratiso.ru
E110. billyhot.ru
E111. bilitora.ru
E112. ddns.net
E113. ddnsking.com
E114. 3utilities.com
E115. bounceme.net
E116. freedynamicdns.net
E117. freedynamicdns.org
E118. gotdns.ch
E119. hopto.org
E120. myddns.me
E121. myftp.biz
E122. myftp.org
E123. myvnc.com
E124. onthewifi.com
E125. redirectme.net
E126. servebeer.com
E127. serveblog.net
E128. servecounterstrike.com
E129. serveftp.com
E130. servegame.com
E131. servehalflife.com
E132. servehttp.com
E133. serveirc.com
E134. serveminecraft.net
E135. servemp3.com
E136. servepics.com
E137. servequake.com
E138. sytes.net
E139. viewdns.net
E140. zapto.org
E141. noip.com
Mentions:
M1. "NO-IP" (Organization) — options: E1, E2, E3, E4 — ctx: S1
M2. "noip.com" (Domain) — options: E11, E12, E13, E14
M3. "m-vz.webhop.me" (Domain) — options: E21, E22, E23, E24
M4. "a0656203.xsph.ru" (Domain) — options: E31, E32, E33, E34
M5. "a0322810.xsph.ru" (Domain) — options: E35, E32, E40, E31
M6. "webhop.me" (Domain) — options: E23, E22, E11, E41
M7. "xsph.ru" (Domain) — options: E35, E32, E33, E39
M8. "lnk-upload.dodortar.ru" (Domain) — options: E46, E47, E36, E32
M9. "dod-upload.dodortar.ru" (Domain) — options: E46, E47, E36, E32
M10. "ln-upl.ddns.net" (Domain) — options: E11, E50, E19, E51
M11. "d-upl.ddns.net" (Domain) — options: E11, E50, E19, E51
M12. "up-dot.myftp.org" (Domain) — options: E11, E29, E57, E58
M13. "up-lnk.myftp.org" (Domain) — options: E11, E57, E44, E29
M14. "nitikora.ru" (Domain) — options: E32, E66, E24, E67
M15. "dodortar.ru" (Domain) — options: E46, E68, E36, E32
M16. "kopratiso.ru" (Domain) — options: E24, E63, E66, E32
M17. "billyhot.ru" (Domain) — options: E46, E32, E63, E39
M18. "bilitora.ru" (Domain) — options: E32, E48, E66, E24
M19. "ddns.net" (Domain) — options: E11, E50, E15, E44
M20. "ddnsking.com" (Domain) — options: E11, E50, E14, E75
M21. "3utilities.com" (Domain) — options: E16, E14, E41, E74
M22. "bounceme.net" (Domain) — options: E23, E52, E56, E44
M23. "freedynamicdns.net" (Domain) — options: E11, E52, E15, E53
M24. "freedynamicdns.org" (Domain) — options: E11, E59, E15, E61
M25. "gotdns.ch" (Domain) — options: E15, E11, E19, E16
M26. "hopto.org" (Domain) — options: E39, E29, E31, E59
M27. "myddns.me" (Domain) — options: E11, E23, E22, E19
M28. "myftp.biz" (Domain) — options: E57, E44, E83, E79
M29. "myftp.org" (Domain) — options: E11, E59, E57, E79
M30. "myvnc.com" (Domain) — options: E11, E82, E14, E44
M31. "onthewifi.com" (Domain) — options: E11, E14, E87, E19
M32. "redirectme.net" (Domain) — options: E23, E55, E52, E11
M33. "servebeer.com" (Domain) — options: E75, E77, E89, E14
M34. "serveblog.net" (Domain) — options: E44, E52, E89, E42
M35. "servecounterstrike.com" (Domain) — options: E11, E14, E89, E75
M36. "serveftp.com" (Domain) — options: E11, E77, E89, E14
M37. "servegame.com" (Domain) — options: E11, E14, E89, E23
M38. "servehalflife.com" (Domain) — options: E11, E14, E89, E23
M39. "servehttp.com" (Domain) — options: E11, E14, E89, E74
M40. "serveirc.com" (Domain) — options: E11, E77, E89, E14
M41. "serveminecraft.net" (Domain) — options: E42, E52, E89, E11
M42. "servemp3.com" (Domain) — options: E58, E77, E89, E14
M43. "servepics.com" (Domain) — options: E11, E77, E89, E14
M44. "servequake.com" (Domain) — options: E11, E14, E89, E94
M45. "sytes.net" (Domain) — options: E44, E52, E56, E11
M46. "viewdns.net" (Domain) — options: E19, E43, E52, E15
M47. "zapto.org" (Domain) — options: E31, E62, E29, E59

=== RESPONSE (34.8s, in 3981 / out 6496 tok, stop) ===
{"m":"NO-IP","id":"NEW","g":"Dynamic DNS service"}
{"m":"noip.com","id":"NEW","g":"domain of the NO-IP service"}
{"m":"m-vz.webhop.me","id":"NEW","g":"subdomain of webhop.me"}
{"m":"a0656203.xsph.ru","id":"NEW","g":"subdomain of xsph.ru"}
{"m":"a0322810.xsph.ru","id":"NEW","g":"subdomain of xsph.ru"}
{"m":"webhop.me","id":"NEW","g":"Dynamic DNS service domain"}
{"m":"xsph.ru","id":"NEW","g":"Dynamic DNS service domain"}
{"m":"lnk-upload.dodortar.ru","id":"NEW","g":"subdomain of dodortar.ru"}
{"m":"dod-upload.dodortar.ru","id":"NEW","g":"subdomain of dodortar.ru"}
{"m":"ln-upl.ddns.net","id":"NEW","g":"subdomain of ddns.net"}
{"m":"d-upl.ddns.net","id":"NEW","g":"subdomain of ddns.net"}
{"m":"up-dot.myftp.org","id":"NEW","g":"subdomain of myftp.org"}
{"m":"up-lnk.myftp.org","id":"NEW","g":"subdomain of myftp.org"}
{"m":"nitikora.ru","id":"NEW","g":"a domain"}
{"m":"dodortar.ru","id":"NEW","g":"Dynamic DNS service domain"}
{"m":"kopratiso.ru","id":"NEW","g":"a domain"}
{"m":"billyhot.ru","id":"NEW","g":"a domain"}
{"m":"bilitora.ru","id":"NEW","g":"a domain"}
