=== REQUEST (gemini gemini-3.7-flash) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 173 canonicals"
Entities:
E1. telegram.org.security.ohsxy.com
E2. ohsxy.com
E3. social.technet.microsoft.com
E4. drive.google.com
E5. analyze.intezer.com
E6. biengrandir37.com
E7. cryptsen7fo43rr6.onion.cab
E8. cryptsen7fo43rr6.onion.to
E9. ereservices.com
E10. security-check.telegram.org.ohsxy.com
E11. portal.msrc.microsoft.com
E12. airmauritiusticket.com
E13. answers.microsoft.com
E14. docs.microsoft.com
E15. evil.server.com
E16. gobits3.com
E17. ghaniyu.com
E18. ansaigon.com
E19. badpdf.com
E20. dishsouq.com
E21. dyndns.com
E22. nais-gov.org
E23. cve.mitre.org
E24. gordon6.hopto.org
E25. wpc-v0cdn.org
E26. tiloraso.ru
E27. meteolink.host
E28. mail.nais-gov.org
E29. melitaes.online
E30. portal.nazk.org.ua
E31. cryptsen7fo43rr6.onion
E32. chernilis.win
E33. coagula.online
E34. edisk.ukr.net
E35. lthhc-zm.com
E36. motocheck.in
E37. phymateus.online
E38. www.michiganmastereltiempo.com
E39. www.msftncsi.com
E40. www.symantec.com
E41. www.hybrid-analysis.com
E42. acteran.ru
E43. apoxipodes.ru
E44. candidar.ru
E45. circulas.ru
E46. emterox.ru
E47. enterwords.ru
E48. erwini.ru
E49. jokotras.ru
E50. milotrad.ru
E51. ukr.net
E52. smm2021.net
E53. winscp.net
E54. alt-2cdn.net
E55. ftp.thefoodplace.net
E56. ipv6-wpnc.net
E57. sm.ukrtel.net
E58. www.dstruct.net
E59. thaibbqculver.com
E60. myelectrive.com
E61. www.virustotal.com [aka virustotal.com]
E62. omyce.ru
E63. photobucket.com
E64. melitaeas.online
E65. districoperav.icu
E66. ceronamtinclube.icu
E67. cautionphenomenon.co.kr
E68. military-ukraine.online
E69. telsec.org
E70. cs1.wpc-v0cdn.org
E71. ns2-dns.com
E72. ns3-dns.com
E73. ns.ns2-dns.com
E74. ns.ns3-dns.com
E75. expeditionabroad.com
E76. zuh3vcyskd4gipkm.onion
E77. dipteran.online
E78. cert.gov.ua
E79. chinagrill.co
E80. toknowall.com
E81. chubanomania.icu
E82. barbatus.online
E83. sardanal.online
E84. graphiuma.online
E85. scorpiones.online
E86. arcor.de
E87. eumr.site
E88. nirsoft.me
E89. ticket.cyberpolice.gov.ua
E90. fernandoherrera.me
E91. proxylogon.com
E92. vuonorganic.com
E93. widget.forum-pokemon.com
E94. xbeta.online
E95. nais-gov.com
E96. pastebin.com
E97. zp.ukrtel.net
E98. fex.net
E99. email.cz
E100. gmail.com
E101. gov.ua
E102. i.ua
E103. panelunregistertle-348.frge.io
E104. forkscenter.fr
E105. hmgo.pw
E106. raidforums.com
E107. gov-ua.info
E108. site-1.work
E109. mulleti.ru
E110. getmod.host
E111. ao3.hmgo.pw
E112. giraffe-tour.ru
E113. netbin.host
E114. military-ukraine.site
E115. tinyurl.com
E116. pbank.co.ua
E117. webknives.com
E118. prefer.jokotras.ru
E119. tortunas.ru
E120. me.gov.ua
E121. frge.io
E122. iol.pt
E123. s8.h.mchost.ru
E124. bank.gov.ua
E125. microsoft.com
E126. aviatorssm.bit
E127. api.dev-com.sc
E128. 1833.site
E129. 8003659902.site
E130. product-reviews.website
E131. ua30.gov.ua
E132. cuckoo.cert.ee
E133. parodadoca.ru
E134. dev-com.sc
E135. rmssrv2.ru
E136. rmssrv3.ru
E137. stormpredictor.host
E138. tridiuma.ru
E139. rmssrv4.ru
E140. antination.kherson.ua
E141. dsszzi.gov.ua
E142. varanasiclick.ru
Mentions:
M1. "security-check.telegram.org.ohsxy.com" (Domain) — options: E1, E2, E3, E4
M2. "telegram.org.security.ohsxy.com" (Domain) — options: E10, E2, E9, E11
M3. "ohsxy.com" (Domain) — options: E1, E17, E12, E18
M4. "telsec.org" (Domain) — options: E22, E23, E24, E25
M5. "zuh3vcyskd4gipkm.onion" (Domain) — options: E31, E7, E8, E32
M6. "www.virustotal.com" (Domain) — options: E38, E39, E40, E41
M7. "nx0.ru" (Domain) — options: E42, E43, E44, E45
M8. "fex.net" (Domain) — options: E51, E52, E53, E54
M9. "evil.server.com" (Domain) — options: E9, E59, E60, E61
M10. "motocheck.in" (Domain) — options: E62, E63, E64, E65
M11. "cve.mitre.org" (Domain) — options: E69, E70, E28, E60
M12. "dyndns.com" (Domain) — options: E71, E72, E73, E74
M13. "webknives.com" (Domain) — options: E9, E12, E18, E19
M14. "cryptsen7fo43rr6.onion.to" (Domain) — options: E7, E31, E76, E77
M15. "tinyurl.com" (Domain) — options: E80, E12, E18, E19
M16. "cryptsen7fo43rr6.onion" (Domain) — options: E8, E7, E76, E77
M17. "xbeta.online" (Domain) — options: E82, E77, E29, E33
M18. "cuckoo.cert.ee" (Domain) — options: E86, E51, E78, E87
M19. "pastebin.com" (Domain) — options: E12, E18, E19, E6
M20. "cryptsen7fo43rr6.onion.cab" (Domain) — options: E8, E31, E76, E77
M21. "phymateus.online" (Domain) — options: E82, E64, E29, E33
M22. "ns2-dns.com" (Domain) — options: E72, E73, E74, E21
M23. "sm.ukrtel.net" (Domain) — options: E97, E51, E34, E52
M24. "photobucket.com" (Domain) — options: E12, E18, E19, E6
M25. "posish.club" (Domain) — options: E16, E14, E99, E48
M26. "proxylogon.com" (Domain) — options: E12, E18, E19, E6
M27. "frge.io" (Domain) — options: E103, E4, E104, E105
M28. "ns3-dns.com" (Domain) — options: E71, E74, E73, E21
M29. "milotrad.ru" (Domain) — options: E49, E26, E42, E43
M30. "gmail.com" (Domain) — options: E99, E17, E16, E12
M31. "erwini.ru" (Domain) — options: E42, E43, E44, E45
M32. "www.symantec.com" (Domain) — options: E38, E39, E61, E41
M33. "winscp.net" (Domain) — options: E98, E52, E51, E58
M34. "emterox.ru" (Domain) — options: E47, E42, E43, E44
M35. "apoxipodes.ru" (Domain) — options: E42, E44, E45, E46
M36. "ryomy.ru" (Domain) — options: E42, E43, E44, E45
M37. "gordon6.hopto.org" (Domain) — options: E69, E110, E23, E22
M38. "acteran.ru" (Domain) — options: E46, E43, E44, E45
M39. "military-ukraine.online" (Domain) — options: E114, E64, E77, E29
M40. "single-office.ddns.net" (Domain) — options: E54, E98, E52, E51
M41. "ghaniyu.com" (Domain) — options: E100, E2, E12, E18
M42. "mulleti.ru" (Domain) — options: E42, E43, E44, E45
M43. "omyce.ru" (Domain) — options: E42, E43, E44, E45
M44. "tortunas.ru" (Domain) — options: E45, E49, E42, E43
M45. "chinagrill.co" (Domain) — options: E115, E67, E116, E99
M46. "ereservices.com" (Domain) — options: E15, E117, E12, E18
M47. "ansaigon.com" (Domain) — options: E95, E12, E19, E6
M48. "nowpropitup.com" (Domain) — options: E12, E18, E19, E6
M49. "jokotras.ru" (Domain) — options: E118, E50, E26, E119
M50. "tiloraso.ru" (Domain) — options: E50, E49, E42, E43
M51. "expeditionabroad.com" (Domain) — options: E12, E18, E19, E6
M52. "potrakit.ru" (Domain) — options: E42, E43, E44, E45
M53. "sardanal.online" (Domain) — options: E82, E85, E64, E33
M54. "hmgo.pw" (Domain) — options: E111, E120, E46, E121
M55. "melitaes.online" (Domain) — options: E64, E94, E85, E37
M56. "raidforums.com" (Domain) — options: E12, E18, E19, E6
M57. "varanasiclick.ru" (Domain) — options: E42, E43, E44, E45
M58. "dishsouq.com" (Domain) — options: E125, E12, E18, E19
M59. "melitaeas.online" (Domain) — options: E29, E68, E82, E77
M60. "toknowall.com" (Domain) — options: E115, E12, E18, E19
M61. "circulas.ru" (Domain) — options: E119, E42, E43, E44
M62. "scorpiones.online" (Domain) — options: E29, E83, E82, E33
M63. "nirsoft.me" (Domain) — options: E125, E90, E86, E120
M64. "wpc-v0cdn.org" (Domain) — options: E70, E69, E54, E23
M65. "www.dstruct.net" (Domain) — options: E53, E39, E34, E98
M66. "microsoft.com" (Domain) — options: E13, E14, E11, E3
M67. "iol.pt" (Domain) — options: E101, E102, E88, E53
M68. "thaibbqculver.com" (Domain) — options: E12, E18, E19, E6
M69. "tridiuma.ru" (Domain) — options: E42, E43, E44, E45
M70. "dev-com.sc" (Domain) — options: E127, E12, E18, E19
M71. "eumr.site" (Domain) — options: E128, E129, E51, E114
M72. "www.msftncsi.com" (Domain) — options: E38, E40, E61, E41
M73. "nais-gov.org" (Domain) — options: E28, E95, E124, E69
M74. "arcor.de" (Domain) — options: E88, E132, E54, E47
M75. "myelectrive.com" (Domain) — options: E12, E18, E19, E6
M76. "rmssrv4.ru" (Domain) — options: E135, E136, E42, E43
M77. "nais-gov.com" (Domain) — options: E22, E18, E28, E20
M78. "forkscenter.fr" (Domain) — options: E90, E112, E5, E137
M79. "districoperav.icu" (Domain) — options: E66, E81, E42, E45
M80. "rmssrv2.ru" (Domain) — options: E136, E139, E42, E43
M81. "rmssrv3.ru" (Domain) — options: E135, E139, E42, E43
M82. "chernilis.win" (Domain) — options: E45, E48, E85, E9
M83. "dipteran.online" (Domain) — options: E94, E64, E33, E83
M84. "i.ua" (Domain) — options: E101, E140, E124, E78
M85. "ceronamtinclube.icu" (Domain) — options: E81, E65, E142, E79

=== RESPONSE (3.6s, in 5860 / out 2035 tok, STOP) ===
{"v":[{"m":"M1","id":"NEW","g":null,"p":"E2","r":"n"},{"m":"M2","id":"E1","g":null,"p":null,"r":null},{"m":"M3","id":"E2","g":null,"p":null,"r":null},{"m":"M4","id":"E69","g":null,"p":null,"r":null},{"m":"M5","id":"E76","g":null,"p":null,"r":null},{"m":"M6","id":"E61","g":null,"p":null,"r":null},{"m":"M7","id":"NEW","g":null,"p":null,"r":null},{"m":"M8","id":"E98","g":null,"p":null,"r":null},{"m":"M9","id":"E15","g":null,"p":null,"r":null},{"m":"M10","id":"E36","g":null,"p":null,"r":null},{"m":"M11","id":"E23","g":null,"p":null,"r":null},{"m":"M12","id":"E21","g":null,"p":null,"r":null},{"m":"M13","id":"E117","g":null,"p":null,"r":null},{"m":"M14","id":"E8","g":null,"p":null,"r":null},{"m":"M15","id":"E115","g":null,"p":null,"r":null},{"m":"M16","id":"E31","g":null,"p":null,"r":null},{"m":"M17","id":"E94","g":null,"p":null,"r":null},{"m":"M18","id":"E132","g":null,"p":null,"r":null},{"m":"M19","id":"E96","g":null,"p":null,"r":null},{"m":"M20","id":"E7","g":null,"p":null,"r":null},{"m":"M21","id":"E37","g":null,"p":null,"r":null},{"m":"M22","id":"E71","g":null,"p":null,"r":null},{"m":"M23","id":"E57","g":null,"p":null,"r":null},{"m":"M24","id":"E63","g":null,"p":null,"r":null},{"m":"M25","id":"NEW","g":null,"p":null,"r":null},{"m":"M26","id":"E91","g":null,"p":null,"r":null},{"m":"M27","id":"E121","g":null,"p":null,"r":null},{"m":"M28","id":"E72","g":null,"p":null,"r":null},{"m":"M29","id":"E50","g":null,"p":null,"r":null},{"m":"M30","id":"E100","g":null,"p":null,"r":null},{"m":"M31","id":"E48","g":null,"p":null,"r":null},{"m":"M32","id":"E40","g":null,"p":null,"r":null},{"m":"M33","id":"E53","g":null,"p":null,"r":null},{"m":"M34","id":"E46","g":null,"p":null,"r":null},{"m":"M35","id":"E43","g":null,"p":null,"r":null},{"m":"M36","id":"NEW","g":null,"p":null,"r":null},{"m":"M37","id":"E24","g":null,"p":null,"r":null},{"m":"M38","id":"E42","g":null,"p":null,"r":null},{"m":"M39","id":"E68","g":null,"p":null,"r":null},{"m":"M40","id":"NEW","g":null,"p":null,"r":null},{"m":"M41","id":"E17","g":null,"p":null,"r":null},{"m":"M42","id":"E109","g":null,"p":null,"r":null},{"m":"M43","id":"E62","g":null,"p":null,"r":null},{"m":"M44","id":"E119","g":null,"p":null,"r":null},{"m":"M45","id":"E79","g":null,"p":null,"r":null},{"m":"M46","id":"E9","g":null,"p":null,"r":null},{"m":"M47","id":"E18","g":null,"p":null,"r":null},{"m":"M48","id":"NEW","g":null,"p":null,"r":null},{"m":"M49","id":"E49","g":null,"p":null,"r":null},{"m":"M50","id":"E26","g":null,"p":null,"r":null},{"m":"M51","id":"E75","g":null,"p":null,"r":null},{"m":"M52","id":"NEW","g":null,"p":null,"r":null},{"m":"M53","id":"E83","g":null,"p":null,"r":null},{"m":"M54","id":"E105","g":null,"p":null,"r":null},{"m":"M55","id":"E29","g":null,"p":null,"r":null},{"m":"M56","id":"E106","g":null,"p":null,"r":null},{"m":"M57","id":"E142","g":null,"p":null,"r":null},{"m":"M58","id":"E20","g":null,"p":null,"r":null},{"m":"M59","id":"E64","g":null,"p":null,"r":null},{"m":"M60","id":"E80","g":null,"p":null,"r":null},{"m":"M61","id":"E45","g":null,"p":null,"r":null},{"m":"M62","id":"E85","g":null,"p":null,"r":null},{"m":"M63","id":"E88","g":null,"p":null,"r":null},{"m":"M64","id":"E25","g":null,"p":null,"r":null},{"m":"M65","id":"E58","g":null,"p":null,"r":null},{"m":"M66","id":"E125","g":null,"p":null,"r":null},{"m":"M67","id":"E122","g":null,"p":null,"r":null},{"m":"M68","id":"E59","g":null,"p":null,"r":null},{"m":"M69","id":"E138","g":null,"p":null,"r":null},{"m":"M70","id":"E134","g":null,"p":null,"r":null},{"m":"M71","id":"E87","g":null,"p":null,"r":null},{"m":"M72","id":"E39","g":null,"p":null,"r":null},{"m":"M73","id":"E22","g":null,"p":null,"r":null},{"m":"M74","id":"E86","g":null,"p":null,"r":null},{"m":"M75","id":"E60","g":null,"p":null,"r":null},{"m":"M76","id":"E139","g":null,"p":null,"r":null},{"m":"M77","id":"E95","g":null,"p":null,"r":null},{"m":"M78","id":"E104","g":null,"p":null,"r":null},{"m":"M79","id":"E65","g":null,"p":null,"r":null},{"m":"M80","id":"E135","g":null,"p":null,"r":null},{"m":"M81","id":"E136","g":null,"p":null,"r":null},{"m":"M82","id":"E32","g":null,"p":null,"r":null},{"m":"M83","id":"E77","g":null,"p":null,"r":null},{"m":"M84","id":"E102","g":null,"p":null,"r":null},{"m":"M85","id":"E66","g":null,"p":null,"r":null}]}
