=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 1574 canonicals"
Entities:
E1. upgrades.syncthing.net
E2. syncthing.net
E3. data.syncthing.net
E4. melitaeas.online [aka melitaes.online]
E5. dcshost.net
E6. crv-ukr.net
E7. aleimportadora.net
E8. aviatorssm.bit
E9. krasavchikoleg.net
E10. crash.syncthing.net
E11. filebin.net
E12. datagroup.ddns.net
E13. data.exmo.day
E14. data.certifiedauth.in
E15. syncapp.host
E16. modeselling.com
E17. up-dot.myftp.org
E18. aneria.net
E19. ns1.modeselling.com
E20. sytes.net
E21. winscp.net
E22. netbin.host
E23. getmod.host
E24. meteolink.host
E25. stormpredictor.host
E26. sansaispa.com
E27. mx-out-14.default-host.net
E28. s8.h.mchost.ru
E29. www.hybrid-analysis.com
E30. www.dropbox.com
E31. prostotaknet.net
E32. analyze.intezer.com
E33. www.facebook.com
E34. vtxhospital.com
E35. app.any.run
E36. www.michiganmastereltiempo.com
E37. ns1.vtxhospital.com
E38. enlamentedeunasesor.com
E39. analytics.certifiedauth.in
E40. agreminj.com [aka agrikoz.com]
E41. analytics.google.com.getssl.click
E42. 3utilities.com
E43. www.virustotal.com [aka virustotal.com]
E44. akaluij.com
E45. files-ukr.net
E46. file.io
E47. gofile.io [aka store1.gofile.io]
E48. fex.net
E49. pastebin.com
E50. armpress.net
E51. www.msftncsi.com
E52. filetransrediremin.com
E53. webknives.com
E54. redirectme.net
E55. portal.msrc.microsoft.com
E56. ua-calendar.firstcloudit.com
E57. minijusfil.com
E58. cloudflare.com
E59. dnslookup.seowebchecker.com
E60. ns2-dns.com
E61. ns3-dns.com
E62. ns.ns2-dns.com
E63. ns.ns3-dns.com
E64. aluaadin.com
E65. cloudlnk.org
E66. docs.microsoft.com
E67. dishsouq.com
E68. raw.githubusercontent.com
E69. britxec.com
E70. easternexecutiveclub.com
E71. store3.gofile.io
E72. geroiua.com
E73. acteran.ru
E74. liverpulapp.ru
E75. run.mocky.io
E76. ardeas.ru
E77. paparat.ru
E78. czyrqdnvpujmmjkfhhvs4knf1av02demj.oast.fun
E79. czyrqdnvpujmmjkfhhvsgapqr3hclnhhj.oast.fun
E80. czyrqdnvpujmmjkfhhvsvlaax17vd5r6v.oast.fun
E81. eoiw8lhjwuc3sh2.m.pipedream.net
E82. bluepablo.fun
E83. mouseoiet.fun
E84. eoy7zvsvn6xfcmy.m.pipedream.net
E85. boddyshow.fun
E86. comperssw.fun
E87. arminext.com
E88. gopoppers.com
E89. ns2.exmo.day
E90. advanced-ip-scanners.com
E91. crmeds.com
E92. mail-box.site
E93. fast-mail.site
E94. advanced-ip-scanner.website
E95. yotsubasociety.website
E96. your-mail.press
E97. product-reviews.website
E98. eumr.site
E99. mail.lebsack.de
E100. lamazone.site
E101. czyrqdnvpujmmjkfhhvsclx05sfi23bfr.oast.fun
E102. cryptsen7fo43rr6.onion.to
E103. cryptsen7fo43rr6.onion.cab
E104. zuh3vcyskd4gipkm.onion
E105. lightnogu5owjjllyo4tj2sfos6fchnmcidlgo6c7e6fz2hgryhfhoyd.onion
E106. coinerpay.top
E107. dipteran.online
E108. coinmakopenarea.su
E109. frontend-m.personlog.in
E110. files.catbox.moe
E111. cdn.live.com.getssl.click
E112. cdn.exmo.day
E113. store8.gofile.io
E114. dnspod.com
E115. cdn.certifiedauth.in
E116. e-nas.firstcloudit.com
E117. worker-misty-mouse-6ac7.aky15825.workers.dev
E118. president-petition6884.best
E119. site-1.work
E120. api.dev-com.sc [aka dev-com.sc]
E121. kitten-268.frge.io
E122. gir.network
E123. dyndns.com
E124. ddns.net
E125. 7tt.me
E126. star-cz.ddns.net
E127. t.me
E128. fernandoherrera.me
E129. d-upl.ddns.net
E130. i1t.me
E131. eo9p1d2bfmioiot.m.pipedream.net [aka eo2mxtqmeqzafqi.m.pipedream.net]
E132. eopkne8kapj01xi.m.pipedream.net
E133. kids-dreams.eu
E134. m.personlog.in
E135. ipv6-wpnc.net
E136. ukr.net
E137. aspx.io
E138. aspe.ro
E139. cryptsen7fo43rr6.onion
E140. nlightusa.com
E141. ligaspace.ru
E142. accounts.binance.com.personlog.in
E143. timeandbright.com
E144. elyslink.online
