=== REQUEST (gemini gemini-3.7-flash) ===
--- sampling ---
{"temperature":0}
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Викрадення акаунту WhatsApp під виглядом голосування за електронні петиції (CERT-UA#9565)" — evidence: S1. "блікового запису;</li><li>вміти розрізняти підробні доменні імена; зокрема, офіційна сторінка "Електронних петицій" знаходиться за посиланням https://petition.president.gov.ua/;</li><li>налаштувати двохфакторну автентифікацію (<a href="https://cert.gov.ua/article/6278274" rel="noopener noreferrer" target="_blank">https://ce" S2. "ентифікатором UAC-0195.</p><p><br></p><p><strong>Індикатори кіберзагроз</strong></p><p><em>Мережеві</em></p><pre class="ql-syntax" spellcheck="false">petition-presidentu.com 2024-03-27 @cloudflare.com president-petition.best 2024-04-05 @sav.com president-petition6504.best 2024-04-05 @sav.com president-petition6884.best 2024-04-05 @sav.com president-petition9034.best 2024-04-05 @sav.com president-petitions.click 2024-04-05 @sav.com president-petitions.shop 2024-04-05 @sav.com petition-president.com 2024-04-07 @cloudflare.com petitian-president.com 2024-04-10 @cloudflare.com petition-presidenty.com 2024-04-10 @cloudflare.com petition-president.org.ua 2024-04-11 @hostpro.ua petition-presidenta.com 2024-04-14 @cloudflare.com petition-president.com.ua 2024-04-15 @hostpro.ua petition-presidente.com 2024-04-15 @cloudflare.com petition-ukraine.com 2024-04-17 @cloudflare.com petitionukraine.com 2024-04-18 @cloudflare.com petition-ukraina.com 2024-04-19 @cloudflare.com petition--ukraine.com 2024-04-20 @cloudflare.com petition-ukraina.com.ua 2024-04-23 @hostpro.ua petition-ukrainiane.com 2024-04-22 @cloudflare.com petitian-ukraine.com 2024-04-22 @cloudflare.com petiti"
Entities:
E1. Ukrainian organizations
E2. Heat supply sector
E3. Ukrainian grain handling equipment manufacturers
E4. Insurance institutions
E5. Water supply sector
E6. Industrial control systems integrators (АСУТП developers)
E7. підприємств оборонно-промислового комплексу [aka Підприємства оборонно-промислового комплексу, українські оборонні підприємства, Ukrainian defense enterprises]
E8. Бухгалтери підприємств
E9. Ukrainian enterprises and sole proprietors
E10. Energy sector
E11. ukr-golosovane.site
E12. gov-ua.cloud
E13. get.god-le.com
E14. ukr-golosovan.site
E15. ua-gov.cloud
E16. accept-action.site
E17. ukr-golosovanie.site
E18. dpsu-gov-ua.com
E19. cancel-action.site
E20. golos-konkurs-uah.eu
E21. konkurs-deti-uah.eu
E22. get.sign-cert.com
E23. poeuatryditieu.com
E24. adobeprotectcheck.com
E25. vote-malvy.life
E26. device.redirecl.com
E27. hiddenvnc.com
E28. annualgieconferenceinmunich2024.com
E29. ua-konkurs-chari.eu
E30. mirotrent.com
E31. vote-chary-telegram.info
E32. balet-deti.eu
E33. familyvote.info
E34. group-invitation.site
E35. ukraine-final.life
E36. trust-certificate.net
E37. www.accept-action.site
E38. protectconnections.com
E39. protect-password.site
E40. preachstrwnwjw.shop
E41. zero-trust.solutions
E42. aws-meetings.cloud
E43. object-storage-service.com
E44. charistmatwio.shop
E45. backstagemerch.shop
E46. grassemenwji.shop
E47. basedsymsotp.shop
E48. empoweringparents.shop
E49. s3-proofpoint.cloud
E50. plntr.mirotrent.com
E51. furqaanenergy.com
E52. detipoertry.com
E53. konkurs-vibir-ua.eu
E54. bitbucket.org
E55. gbshost.org
E56. konkurs-deti-ua.eu
E57. afi-ukraine.org
E58. detikievakonkurs.co
E59. 01mirror.com.ua
E60. aws-data.cloud
E61. konkurs-balerin-ua.eu
E62. agro-sk.com.ua
E63. calendar.stib.com.ua
E64. ukrnet.01mirror.com.ua
E65. griselda-edu.com.ua
E66. githubusercontent.com
E67. ukraine-chares.info
E68. aws-ukraine.cloud
E69. malvy-ukraine.life
E70. protonmail.com
E71. malvy-ukraine.info
E72. chares-ukraine.life
E73. anonvnc.com
E74. ukraina-diti-ua.pics
E75. us-west-1.aws-ukraine.cloud
E76. vishivankiukrainedeti.com
E77. ditina-konkurs-ua.eu
E78. ukraine-charyy.life
E79. edisk.in.ua
E80. group-teneta.online
E81. golos-ukr.info
E82. yemmyusa.com
E83. ukainua.com
E84. golos-hudojniku-uah.eu
E85. ler-u.co
E86. superops.com
E87. golos-hudojniku-ua.eu
E88. tax-gov-ua.com
E89. golos-ukr.life
E90. milgov.site
E91. confirmphone.site
E92. kropyva.site
E93. teneta.site
E94. gimnasikaua.site
E95. account-saver.com
E96. golosa-hudojniku-uah.eu
E97. get.mail-gov.com
E98. golosa-hudojniku-ua.eu
E99. portret-ua.eu
E100. protectraid.com
E101. golos-mistechtva-ua.eu
E102. edisk.ukrnet.01mirror.com.ua
E103. golos-konkursu-uah.eu
E104. golos-charu-ua.info
E105. ua-deti-chary.eu
E106. ukraine-barvy.info
E107. ukraine-malvy.life
E108. ukraine-barvy.life
E109. ukraine-malvy.info
E110. dytitvorchist.pics
E111. awards-ua.life
E112. gurt.duna.ua
E113. awards-ua.pics
E114. smartcloudflare.com
E115. sync.smartcloudflare.com
E116. cdnauthsoft.com
E117. god-le.com
E118. townoflakelure.com
E119. bitter-hall-1c0c.ochiplus.workers.dev
E120. smart-vnc.com
E121. mail-gov.com
E122. linedrv.com
E123. griselda.co.ua
E124. prozorro.online
E125. milgov.host
E126. beget.com
E127. agentsuperpupervinil.ru
E128. redirecl.com
E129. rafraystore.ru
E130. ccbaminumpot.ru
E131. konkurs-vesna24.ru
E132. qaz.su
E133. monopoliafromyou.ru
E134. vikompalion.ru
E135. qaz.is
E136. petition-presidentu.com
E137. president-petition.best
E138. president-petition6504.best
E139. president-petition6884.best
E140. president-petition9034.best
E141. president-petitions.click
E142. president-petitions.shop
E143. petition-president.com
E144. petitian-president.com
E145. petition-presidenty.com
E146. petition-president.org.ua
E147. petition-presidenta.com
E148. petition-president.com.ua
E149. petition-presidente.com
E150. petition-ukraine.com
E151. petitionukraine.com
E152. petition-ukraina.com
E153. petition--ukraine.com
E154. petition-ukraina.com.ua
E155. petition-ukrainiane.com
E156. petitian-ukraine.com
E157. petitian--ukraine.com
E158. petition-presidenty.org.ua
E159. petition-presidenta.org.ua
E160. geroiua.com
E161. geroiukr.site
E162. geroisavenko.com
E163. geroiukrainu.com
E164. geroi-ukraine.com
E165. geroiukr.com.ua
E166. geroiua.com.ua
E167. ua-geroi.com.ua
E168. ukraine-geroi.org.ua
E169. petition-president.kyiv.ua
E170. geroi.kyiv.ua
E171. cloudflare.com
E172. sav.com
E173. hostpro.ua
E174. reg.ru
E175. petition.president.gov.ua
Mentions:
M1. "WhatsApp users" (Sector) — options: E1, E2, E3, E4
M2. "petition.president.gov.ua" (Domain) — options: E11, E12, E13, E14 — ctx: S1
M3. "petition-presidentu.com" (Domain) — options: E21, E22, E23, E24 — ctx: S2
M4. "president-petition.best" (Domain) — options: E31, E16, E25, E32 — ctx: S2
M5. "president-petition6504.best" (Domain) — options: E31, E36, E38, E25 — ctx: S2
M6. "president-petition6884.best" (Domain) — options: E31, E36, E38, E25 — ctx: S2
M7. "president-petition9034.best" (Domain) — options: E31, E36, E38, E25 — ctx: S2
M8. "president-petitions.click" (Domain) — options: E31, E38, E25, E16 — ctx: S2
M9. "president-petitions.shop" (Domain) — options: E25, E44, E38, E45 — ctx: S2
M10. "petition-president.com" (Domain) — options: E25, E22, E30, E24 — ctx: S2
M11. "petitian-president.com" (Domain) — options: E25, E22, E30, E24 — ctx: S2
M12. "petition-presidenty.com" (Domain) — options: E21, E22, E52, E24 — ctx: S2
M13. "petition-president.org.ua" (Domain) — options: E53, E54, E55, E56 — ctx: S2
M14. "petition-presidenta.com" (Domain) — options: E21, E22, E27, E24 — ctx: S2
M15. "petition-president.com.ua" (Domain) — options: E53, E59, E62, E56 — ctx: S2
M16. "petition-presidente.com" (Domain) — options: E25, E22, E66, E24 — ctx: S2
M17. "petition-ukraine.com" (Domain) — options: E67, E57, E68, E22 — ctx: S2
M18. "petitionukraine.com" (Domain) — options: E67, E70, E68, E24 — ctx: S2
M19. "petition-ukraina.com" (Domain) — options: E17, E22, E74, E14 — ctx: S2
M20. "petition--ukraine.com" (Domain) — options: E67, E75, E68, E57 — ctx: S2
M21. "petition-ukraina.com.ua" (Domain) — options: E56, E59, E74, E53 — ctx: S2
M22. "petition-ukrainiane.com" (Domain) — options: E11, E76, E68, E24 — ctx: S2
M23. "petitian-ukraine.com" (Domain) — options: E67, E76, E68, E57 — ctx: S2
M24. "petitian--ukraine.com" (Domain) — options: E67, E76, E68, E57 — ctx: S2
M25. "petition-presidenty.org.ua" (Domain) — options: E56, E54, E55, E53 — ctx: S2
M26. "petition-presidenta.org.ua" (Domain) — options: E53, E54, E55, E56 — ctx: S2
M27. "geroiua.com" (Domain) — options: E81, E82, E83, E24 — ctx: S2
M28. "geroiukr.site" (Domain) — options: E14, E89, E90, E91 — ctx: S2
M29. "geroisavenko.com" (Domain) — options: E84, E24, E95, E87 — ctx: S2
M30. "geroiukrainu.com" (Domain) — options: E84, E83, E76, E24 — ctx: S2
M31. "geroi-ukraine.com" (Domain) — options: E20, E57, E68, E14 — ctx: S2
M32. "geroiukr.com.ua" (Domain) — options: E101, E62, E59, E84 — ctx: S2
M33. "geroiua.com.ua" (Domain) — options: E87, E59, E62, E84 — ctx: S2
M34. "ua-geroi.com.ua" (Domain) — options: E105, E59, E62, E99 — ctx: S2
M35. "ukraine-geroi.org.ua" (Domain) — options: E67, E57, E56, E106 — ctx: S2
M36. "petition-president.kyiv.ua" (Domain) — options: E56, E110, E49, E59 — ctx: S2
M37. "geroi.kyiv.ua" (Domain) — options: E81, E79, E59, E14 — ctx: S2
M38. "cloudflare.com" (Domain) — options: E114, E24, E115, E28 — ctx: S2
M39. "sav.com" (Domain) — options: E116, E120, E95, E24 — ctx: S2
M40. "hostpro.ua" (Domain) — options: E14, E62, E123, E59 — ctx: S2
M41. "reg.ru" (Domain) — options: E126, E127, E128, E129 — ctx: S2

=== RESPONSE (5.6s, in 5091 / out 884 tok, STOP) ===
{"m":"M1","id":"NEW","g":"target demographic of the phishing campaign"}
{"m":"M2","id":"NEW","g":"official Ukrainian electronic petition website"}
{"m":"M3","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M4","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M5","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M6","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M7","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M8","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M9","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M10","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M11","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M12","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M13","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M14","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M15","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M16","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M17","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M18","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M19","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M20","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M21","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M22","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M23","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M24","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M25","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M26","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M27","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M28","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M29","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M30","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M31","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M32","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M33","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M34","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M35","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M36","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M37","id":"NEW","g":"phishing domain mimicking Ukrainian petition site"}
{"m":"M38","id":"NEW","g":"cloud services provider associated with phishing infrastructure"}
{"m":"M39","id":"NEW","g":"domain registrar associated with malicious domains"}
{"m":"M40","id":"NEW","g":"Ukrainian hosting provider associated with phishing domains"}
{"m":"M41","id":"NEW","g":"domain registrar service"}
