=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Нові поширення шифрувальника Troldesh/Shade" — evidence: S1. "<p>Впродовж 14-15.01.2019 спостерігалася масова розсилка електронних листів з шифрувальником Troldesh/Shade. Наведемо приклади таких листів:</p><p>“<em>Добрый день! Отправляю подробности заказа. Документ во вложении</em></p><p><em>Тарасов Валерий</em></p><p><em>Менеджер.</em></p><p><em>Публичное Акционерное Общество «БИНБАНК»</em></p><p><em>(495) 755-50-75, 8 800 200-50-75</em>”</p><p>або</p><p>“<em>Добрый день! Отправляю подробности заказа. Документ во вложении</em></p><p" S2. "em></p><p><em>(495) 755-50-75, 8 800 200-50-75</em>”</p><p>Листи аналогічні за змістом, але з різними прізвищами, містять прикріплений архівний файл “info.zip”, з архівом з такою ж назвою, тобто подвійний. У подвійному архіві знаходиться джава скрипт “Информация.js”, який при виконанні завантажує файл “ssj.jpg” у тимчасову директорію.</p><p>Також помічено, що прикріплений архів “info.zip” може бути потрійним, тобто “info.zip”-&gt;“info.zip”-&gt;"inf.zip"-&gt;“Информация.js”.</p><p>Результати виконання інших варіантів однаковий, різниця полягає у використанні різних алгоритмів шифрування, які використ" S3. "інформації, яка передається контрольному серверу.</p><p>Шкідлива програма також може розповсюджуватися в мережі інфікованого пристрою, використовуючи SMB протокол.</p><p>В результаті шифрування шифровані файли мають розширення “.{ідентифікатор користувача}.crypted000007”,</p><p></p><p>а в кожній директорії з ко" S4. "<p></p><p><strong>Ідентифікатори компрометації</strong></p><p><strong>Декодовані адреси:</strong></p><pr"
Entities:
E1. PEAKLIGHT
E2. Troldesh
E3. DolphinCape
E4. SHADOWLADDER
E5. Telegram
E6. TALESHOT
E7. WMIC
E8. Browsers
E9. LightRope
E10. SolarWinds Orion
E11. Акт_звiрки_вiд_18_липня_2023p.pdf.js
E12. Газпромбанк заказ.js
E13. Інформація щодо наявності вакансій та їх укомплектування.xls
E14. ISPManager
E15. Алгоритм_LegalAid.xlsm
E16. Видаткова_накладная_№121_вiд_18_липня_2023p.pdf.js
E17. Webmin
E18. Електронний запит.exe
E19. Social
E20. NSSM
E21. sserv.jpg
E22. wsuscr.exe
E23. Pax_ipn_18.07.2023p.jpg
E24. SIGTOP
E25. SSH
E26. SRP
E27. BZIP
E28. довідка.zip
E29. GZIP
E30. InnoSetup
E31. 501_25_103.zip
E32. FileGrabber
E33. Gazprombank.zakaz.docx.zip
E34. Видаткова_накладная_№121_вiд_18_липня_2023p.zip
E35. WINWORD.EXE
E36. Usb
E37. rfusclient.exe
E38. SMBEXEC
E39. Mikrotik
E40. S/MIME
E41. CMS Drupal
E42. Лица, которые переместились из АР Крым и районов проведения антитерротистической операции.com
E43. OpenPGP [aka PGP]
E44. MS Excel
E45. Proxmox
E46. SmokeLoader
E47. curl.exe [aka curl]
E48. cscript.exe
E49. AdvancedRun.exe
E50. rutserv.exe
E51. one.exe
E52. BitdefenderWindowsUpdatePackage.exe
E53. alt.exe
E54. Информация.js
E55. ssj.jpg
E56. info.zip
E57. inf.zip
E58. SMB протокол
E59. csrss.exe
E60. Troldesh/Shade
E61. xeontime.com
E62. www.dropbox.com
E63. www.msftncsi.com
E64. tme-id.com
E65. sismasterhome.ru
E66. tme-id.ru
E67. www.symantec.com
E68. agreminj.com
E69. www.virustotal.com
E70. teiergam.com
E71. verofes.com
E72. protonmail.com
E73. adobeprotectcheck.com
E74. fluoxi.com
E75. shormanz.com
E76. anidoz.com
E77. baidencult.com
E78. tronogram.com
E79. akaluij.com
E80. iplogger.com
E81. documents-reader.com
E82. arentuk.com
E83. compensationukr.com
E84. airmauritiusticket.com
E85. ertel-audit.com
E86. telegraom.me
E87. mx-out-14.default-host.net
E88. griselda-edu.com.ua
E89. int-ukr.net
E90. pomoshnikrbx.site
E91. internet.bs
E92. claud.in
E93. mocky.io
E94. security-check.telegram.org.ohsxy.com
E95. in-ukr.net
E96. ginaengg.com
E97. mail.aet.in.ua
E98. telegram-click.ru
E99. object-storage-service.com
E100. erinekenney.com
E101. servicedesk.atera.com
E102. rozsenich.com
E103. nabufixservice.su
E104. t-me.io
E105. protectraid.com
E106. linedrv.com
E107. protectconnections.com
E108. yemmyusa.com
E109. telecomds.online
E110. teiegram1.me
E111. filetransrediremin.com
E112. blinkij.com
E113. plengreg.fun
E114. grabify.link
E115. billiopa.com
E116. mail.arlingtonhousing.us
E117. apeduze.com
E118. session-ukr.net
E119. dezword.com
E120. i1t.me
E121. site-ukr.net
E122. 1-ukr.net
E123. cs1.wpc-v0cdn.org
E124. 1833.site
E125. ochiplus.workers.dev
E126. eumr.site
E127. courtgova.site
E128. bitter-hall-1c0c.ochiplus.workers.dev
E129. webk-telegram.sbs
E130. webk-telegram.icu
E131. web-ukr.net
E132. anotepad.com
E133. yotsubasociety.website
E134. webhook.site
E135. goodlenuxilam.site
E136. groupdavinci.online
E137. t--t.me
E138. 7tt.me
E139. 0-t.me
E140. 4-t.me
E141. nirsoft.me
E142. blopik.com
E143. academiadutygroup.com.br
E144. superops.com
E145. ohsxy.com
E146. vljsport.eu.com
E147. vuonorganic.com
E148. thaibbqculver.com
E149. integramultimedia.com.mx
E150. motocheck.in
E151. ereservices.com
E152. myelectrive.com
E153. biengrandir37.com
E154. smartideabusiness.com
E155. site-1.work
E156. webknives.com
E157. expeditionabroad.com
E158. product-reviews.website
E159. fernandoherrera.me
E160. nowpropitup.com
E161. ghaniyu.com
E162. www.michiganmastereltiempo.com
E163. Internet Domain Service BS Corp.
E164. Товариство Червоного Хреста
E165. ГО «Міжнародний університет цифрової безпеки»
E166. Adobe
E167. Університет Джона Хопкінса
E168. Естонський центр Східного партнерства (ECEAP)
E169. ДП "НАІС"
E170. Нотаріальна палата України
E171. Національний університет оборони України імені Івана Черняхівського
E172. АТ "Укрзалізниця"
Mentions:
M1. "Troldesh/Shade" (Software) — options: E1, E2, E3, E4 — ctx: S1
M2. "Информация.js" (Software) — options: E11, E12, E13, E14 — ctx: S2
M3. "ssj.jpg" (Software) — options: E20, E21, E5, E22 — ctx: S2
M4. "info.zip" (Software) — options: E27, E28, E29, E30 — ctx: S2
M5. "inf.zip" (Software) — options: E27, E28, E29, E31 — ctx: S2
M6. "SMB протокол" (Software) — options: E38, E39, E40, E41 — ctx: S3
M7. "csrss.exe" (Software) — options: E37, E47, E48, E49 — ctx: S5
M8. "www.michiganmastereltiempo.com" (Domain) — options: E61, E62, E63, E64 — ctx: S4
M9. "vuonorganic.com" (Domain) — options: E71, E72, E70, E73 — ctx: S4
M10. "thaibbqculver.com" (Domain) — options: E79, E77, E80, E73 — ctx: S4
M11. "integramultimedia.com.mx" (Domain) — options: E78, E85, E86, E87 — ctx: S4
M12. "motocheck.in" (Domain) — options: E73, E92, E82, E93 — ctx: S4
M13. "ereservices.com" (Domain) — options: E99, E100, E101, E73 — ctx: S4
M14. "myelectrive.com" (Domain) — options: E104, E105, E73, E106 — ctx: S4
M15. "biengrandir37.com" (Domain) — options: E110, E73, E111, E112 — ctx: S4
M16. "smartideabusiness.com" (Domain) — options: E64, E73, E77, E104 — ctx: S4
M17. "site-1.work" (Domain) — options: E120, E121, E122, E123 — ctx: S4
M18. "webknives.com" (Domain) — options: E82, E71, E129, E73 — ctx: S4
M19. "expeditionabroad.com" (Domain) — options: E82, E73, E132, E77 — ctx: S4
M20. "product-reviews.website" (Domain) — options: E90, E133, E82, E127 — ctx: S4
M21. "fernandoherrera.me" (Domain) — options: E137, E138, E139, E104 — ctx: S4
M22. "nowpropitup.com" (Domain) — options: E117, E73, E142, E82 — ctx: S4
M23. "ghaniyu.com" (Domain) — options: E79, E76, E73, E96 — ctx: S4
M24. "Публичное Акционерное Общество «БИНБАНК»" (Organization) — options: E163, E164, E165, E166 — ctx: S1

=== RESPONSE (62.4s, in 4247 / out 6547 tok, stop) ===
{"m":"Troldesh/Shade","id":"NEW","g":"ransomware"}
{"m":"Информация.js","id":"NEW","g":"javascript file"}
{"m":"ssj.jpg","id":"NEW","g":"file downloaded by the javascript"}
{"m":"info.zip","id":"NEW","g":"attached archive file"}
{"m":"inf.zip","id":"NEW","g":"archive file in a triple archive"}
{"m":"SMB протокол","id":"NEW","g":"network protocol used for propagation"}
{"m":"csrss.exe","id":"NEW","g":null}
{"m":"www.michiganmastereltiempo.com","id":"NEW","g":null}
{"m":"vuonorganic.com","id":"NEW","g":null}
{"m":"thaibbqculver.com","id":"NEW","g":null}
{"m":"integramultimedia.com.mx","id":"NEW","g":null}
{"m":"motocheck.in","id":"NEW","g":null}
{"m":"ereservices.com","id":"NEW","g":null}
{"m":"myelectrive.com","id":"NEW","g":null}
{"m":"biengrandir37.com","id":"NEW","g":null}
{"m":"smartideabusiness.com","id":"NEW","g":null}
{"m":"site-1.work","id":"NEW","g":null}
{"m":"webknives.com","id":"NEW","g":null}
{"m":"expeditionabroad.com","id":"NEW","g":null}
{"m":"product-reviews.website","id":"NEW","g":null}
{"m":"fernandoherrera.me","id":"NEW","g":null}
{"m":"nowpropitup.com","id":"NEW","g":null}
{"m":"ghaniyu.com","id":"NEW","g":null}
{"m":"Публичное Акционерное Общество «БИНБАНК»","id":"NEW","g":"organization mentioned in phishing emails"}
