=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Кібератака групи UAC-0010 (Armageddon) на державні організації України (CERT-UA#4434)" — evidence: S1. "UAC-0010 (Armageddon).</p><p>З метою забезпечення відмовостійкості своєї інфраструктури, члени групи, серед іншого, використовують Dynamic DNS сервіс NO-IP. Звертаємо увагу на доцільність моніторингу з'єднань з доменними іменами, що використовуються згаданим сервісом. Перелік безкоштовних доменних імен н"
Entities:
E1. NATO
E2. HostIQ
E3. 360Netlab
E4. Fortinet
E5. Usoris
E6. AS37148 (нігерійський оператор телекомунікацій)
E7. Mozilla
E8. Adobe
E9. NirSoft
E10. Apple
E11. ns.ns3-dns.com
E12. gmail.com
E13. nowpropitup.com
E14. airmauritiusticket.com
E15. ns.ns2-dns.com
E16. gobits3.com
E17. cdn.discordapp.com
E18. ansaigon.com
E19. ns3-dns.com
E20. badpdf.com
E21. zuh3vcyskd4gipkm.onion
E22. fernandoherrera.me
E23. nirsoft.me
E24. ryomy.ru
E25. mx-out-14.default-host.net
E26. product-reviews.website
E27. me.gov.ua
E28. melitaes.online
E29. gordon6.hopto.org
E30. eo9p1d2bfmioiot.m.pipedream.net
E31. apoxipodes.ru
E32. acteran.ru
E33. nx0.ru
E34. omyce.ru
E35. emterox.ru
E36. candidar.ru
E37. cs1.wpc-v0cdn.org
E38. circulas.ru
E39. erwini.ru
E40. 1000020.xyz
E41. ao3.hmgo.pw
E42. netbin.host
E43. webknives.com
E44. ipv6-wpnc.net
E45. winscp.net
E46. meteolink.host
E47. enterwords.ru
E48. tortunas.ru
E49. parodadoca.ru
E50. milotrad.ru
E51. expeditionabroad.com
E52. single-office.ddns.net
E53. alt-2cdn.net
E54. fex.net
E55. ns2-dns.com
E56. smm2021.net
E57. edisk.ukr.net
E58. dyndns.com
E59. drive.google.com
E60. optica-rd.myftp.biz
E61. wpc-v0cdn.org
E62. telsec.org
E63. cve.mitre.org
E64. nais-gov.org
E65. ftp.thefoodplace.net
E66. potrakit.ru
E67. mail.nais-gov.org
E68. tiloraso.ru
E69. tridiuma.ru
E70. jokotras.ru
E71. portal.nazk.gov.ua
E72. portal.nazk.org.ua
E73. president.gov.ua.administration.vakansiyi.administration.president.gov-ua.info
E74. s8.h.mchost.ru
E75. photobucket.com
E76. ukr.net
E77. biengrandir37.com
E78. ereservices.com
E79. www.hybrid-analysis.com
E80. gov.ua
E81. myelectrive.com
E82. aviatorssm.bit
E83. melitaeas.online
E84. www.symantec.com
E85. vuonorganic.com
E86. www.msftncsi.com
E87. thestoreroomnsw.com.au
E88. evil.server.com
E89. toknowall.com
E90. thaibbqculver.com
E91. proxylogon.com
E92. scorpiones.online
E93. hmgo.pw
E94. phymateus.online
E95. www.dstruct.net
E96. docs.microsoft.com
E97. stormpredictor.host
E98. sm.ukrtel.net
E99. m-vz.webhop.me
E100. a0656203.xsph.ru
E101. a0322810.xsph.ru
E102. webhop.me
E103. xsph.ru
E104. lnk-upload.dodortar.ru
E105. dod-upload.dodortar.ru
E106. ln-upl.ddns.net
E107. d-upl.ddns.net
E108. up-dot.myftp.org
E109. up-lnk.myftp.org
E110. nitikora.ru
E111. dodortar.ru
E112. kopratiso.ru
E113. billyhot.ru
E114. bilitora.ru
E115. ddns.net
E116. ddnsking.com
E117. 3utilities.com
E118. bounceme.net
E119. freedynamicdns.net
E120. freedynamicdns.org
E121. gotdns.ch
E122. hopto.org
E123. myddns.me
E124. myftp.biz
E125. myftp.org
E126. myvnc.com
E127. onthewifi.com
E128. redirectme.net
E129. servebeer.com
E130. serveblog.net
E131. servecounterstrike.com
E132. serveftp.com
E133. servegame.com
E134. servehalflife.com
E135. servehttp.com
E136. serveirc.com
E137. serveminecraft.net
E138. servemp3.com
E139. servepics.com
E140. servequake.com
E141. sytes.net
E142. viewdns.net
E143. zapto.org
E144. noip.com
Mentions:
M1. "NO-IP" (Organization) — options: E1, E2, E3, E4 — ctx: S1
M2. "noip.com" (Domain) — options: E11, E12, E13, E14
M3. "m-vz.webhop.me" (Domain) — options: E21, E22, E23, E24
M4. "a0656203.xsph.ru" (Domain) — options: E31, E32, E33, E34
M5. "a0322810.xsph.ru" (Domain) — options: E35, E32, E40, E31
M6. "webhop.me" (Domain) — options: E23, E22, E42, E43
M7. "xsph.ru" (Domain) — options: E35, E32, E33, E39
M8. "lnk-upload.dodortar.ru" (Domain) — options: E48, E49, E36, E32
M9. "dod-upload.dodortar.ru" (Domain) — options: E48, E49, E36, E32
M10. "ln-upl.ddns.net" (Domain) — options: E15, E52, E11, E53
M11. "d-upl.ddns.net" (Domain) — options: E15, E52, E11, E53
M12. "up-dot.myftp.org" (Domain) — options: E59, E29, E60, E61
M13. "up-lnk.myftp.org" (Domain) — options: E59, E60, E29, E62
M14. "nitikora.ru" (Domain) — options: E32, E68, E24, E69
M15. "dodortar.ru" (Domain) — options: E48, E70, E36, E32
M16. "kopratiso.ru" (Domain) — options: E24, E66, E68, E32
M17. "billyhot.ru" (Domain) — options: E48, E32, E66, E39
M18. "bilitora.ru" (Domain) — options: E32, E50, E68, E24
M19. "ddns.net" (Domain) — options: E11, E52, E15, E45
M20. "ddnsking.com" (Domain) — options: E11, E58, E52, E14
M21. "3utilities.com" (Domain) — options: E19, E14, E43, E11
M22. "bounceme.net" (Domain) — options: E23, E54, E76, E42
M23. "freedynamicdns.net" (Domain) — options: E11, E54, E58, E15
M24. "freedynamicdns.org" (Domain) — options: E11, E62, E58, E19
M25. "gotdns.ch" (Domain) — options: E11, E58, E15, E16
M26. "hopto.org" (Domain) — options: E39, E29, E31, E62
M27. "myddns.me" (Domain) — options: E15, E58, E23, E22
M28. "myftp.biz" (Domain) — options: E60, E65, E82, E23
M29. "myftp.org" (Domain) — options: E65, E62, E60, E63
M30. "myvnc.com" (Domain) — options: E44, E58, E81, E14
M31. "onthewifi.com" (Domain) — options: E15, E14, E86, E11
M32. "redirectme.net" (Domain) — options: E23, E57, E54, E11
M33. "servebeer.com" (Domain) — options: E39, E78, E88, E14
M34. "serveblog.net" (Domain) — options: E42, E54, E88, E56
M35. "servecounterstrike.com" (Domain) — options: E91, E14, E88, E23
M36. "serveftp.com" (Domain) — options: E54, E78, E88, E14
M37. "servegame.com" (Domain) — options: E23, E14, E88, E91
M38. "servehalflife.com" (Domain) — options: E23, E14, E88, E94
M39. "servehttp.com" (Domain) — options: E54, E14, E88, E19
M40. "serveirc.com" (Domain) — options: E23, E78, E88, E14
M41. "serveminecraft.net" (Domain) — options: E42, E54, E88, E11
M42. "servemp3.com" (Domain) — options: E54, E78, E88, E14
M43. "servepics.com" (Domain) — options: E39, E78, E88, E14
M44. "servequake.com" (Domain) — options: E54, E14, E88, E97
M45. "sytes.net" (Domain) — options: E44, E54, E76, E42
M46. "viewdns.net" (Domain) — options: E15, E44, E54, E11
M47. "zapto.org" (Domain) — options: E31, E64, E29, E62

=== RESPONSE (52.6s, in 4006 / out 12065 tok, stop) ===
{"m":"NO-IP","id":"NEW","g":"Dynamic DNS service"}
{"m":"noip.com","id":"NEW","g":null}
{"m":"m-vz.webhop.me","id":"NEW","g":null}
{"m":"a0656203.xsph.ru","id":"NEW","g":null}
{"m":"a0322810.xsph.ru","id":"NEW","g":null}
{"m":"webhop.me","id":"NEW","g":null}
{"m":"xsph.ru","id":"NEW","g":null}
{"m":"lnk-upload.dodortar.ru","id":"NEW","g":null}
{"m":"dod-upload.dodortar.ru","id":"NEW","g":null}
{"m":"ln-upl.ddns.net","id":"NEW","g":null}
{"m":"d-upl.ddns.net","id":"NEW","g":null}
{"m":"up-dot.myftp.org","id":"NEW","g":null}
{"m":"up-lnk.myftp.org","id":"NEW","g":null}
{"m":"nitikora.ru","id":"NEW","g":null}
{"m":"dodortar.ru","id":"NEW","g":null}
{"m":"kopratiso.ru","id":"NEW","g":null}
{"m":"billyhot.ru","id":"NEW","g":null}
{"m":"bilitora.ru","id":"NEW","g":null}
{"m":"ddns.net","id":"NEW","g":null}
{"m":"ddnsking.com","id":"NEW","g":null}
{"m":"3utilities.com","id":"NEW","g":null}
{"m":"bounceme.net","id":"NEW","g":null}
{"m":"freedynamicdns.net","id":"NEW","g":null}
{"m":"freedynamicdns.org","id":"NEW","g":null}
