=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Плани UAC-0133 (Sandworm) щодо кібердиверсії на майже 20 об'єктах критичної інфраструктури України" — evidence: S1. "лопостачання (ОКІ) у десяти регіонах України.</p><p>Під час вжиття невідкладних заходів з реагування на інциденти, окрім відомого з 2022 року бекдору QUEUESEED (KNUCKLETOUCH, ICYWELL, WRONGSENS, KAPEKA), виявлено новий інструментарій зловмисників, а саме, шкідливі програми LOADGRIP та BIASBOAT (Linux-варіант QUEUESEED), які було встановлено на ЕОМ (ОС Linux), що призначені для автоматизації процесів управління технологічними процесами (АСУТ" S2. "нні корпоративних мереж підприємств. Для прикладу, на таких ЕОМ в каталогах з СПЗ було виявлено заздалегідь створений PHP-вебшелл WEEVELY, PHP-тунель REGEORG.NEO або PIVOTNACCI.</p><p>У період з 07.03.2024 по 15.03.2024 фахівцями CERT-UA вжито заходів з інформування всіх ідентифікованих підприємств та дослідження і протидії" S3. "2023 році).</p><p>Слід підкреслити, що на ЕОМ під управлінням ОС Windows зловмисниками використовувалося шкідливе програмне забезпечення QUEUESEED та GOSSIPFLOW, яке відстежується з 2022 року в контексті деструктивних кібератак угрупування UAC-0133 на об'єкти водопостачання, зокрема, з використанням SDELETE. Таким чином, з високим рівнем впевненості UAC-0133 є субкластером UAC-0002 (Sandworm/APT44).</p><p>Зауважимо, що реалізації кібератак сприяли такі фактори:</p><ul><li>не коректна сегментація (відсутність ізоляції) серверів з СПЗ постачальни" S4. "KS5 проксі.</p><p><br></p><p>Окрім згаданих програмних засобів реалізації кіберзагроз угрупуванням також застосовувалися, але не виключно:</p><ul><li>CHISEL</li><li>LIBPROCESSHIDER<"
Entities:
E1. APT41
E2. APT28 [aka UAC-0028, APT28 (UAC-0028), TontoTeam, UAC-0028 (APT28)]
E3. UAC-0177
E4. Encrpt3d
E5. @informZarya
E6. UAC-0018
E7. UAC-0041
E8. @solntsepekZ
E9. Armageddon/Gamaredon [aka Armageddon, UAC-0010 (Armageddon), UAC-0010]
E10. UAC-0094
E11. UAC-0140
E12. UAC-0006
E13. UAC-0102
E14. UAC-0026
E15. UAC-0007
E16. UAC-0082
E17. UAC-0104
E18. UAC-0002
E19. APT44
E20. SHADOWLADDER
E21. AWFULSHRED
E22. python-requests
E23. MASEPIE
E24. LUMMASTEALER
E25. Invoke-WebRequest
E26. QuasarRAT [aka QUASAR RAT]
E27. OUTSTEEL
E28. Heartbleed (CVE-2014-0160)
E29. HANGTHREAD
E30. BACKSTAB
E31. rfusclient.exe
E32. SDelete
E33. ARGUEPATCH
E34. HijackLoader
E35. CLOGFLAG
E36. AutoIt
E37. STILLARCH
E38. GraphSteel
E39. Windows_Security_Update_HxW
E40. MAGICSPELL
E41. Log4Shell
E42. WHITECAT
E43. P0wnyShell
E44. ProxyShell
E45. IDAT
E46. SPECTR.Shell
E47. Icloud.exe
E48. core.dll
E49. Encrpt3d Ransomware
E50. pfSense
E51. GHOSTPULSE
E52. MerlinAgent
E53. write.exe
E54. WhisperKill
E55. DWAgent
E56. OpenSSH
E57. DOWNEX
E58. CAPIBAR
E59. KAZUAR
E60. Заявка.js
E61. GAMEDAY
E62. HoaxApe
E63. Mikrotik
E64. FateGrab
E65. APERETIF
E66. OCEANMAP
E67. LOADNEST
E68. LOADERX3
E69. loader.exe
E70. LOADSHORT
E71. LOADJUMP
E72. LoadEdge
E73. HeaderTip
E74. GammaLoad [aka GammaLoad.PS1]
E75. LOGPIE
E76. GoDownloader
E77. BankBot
E78. Bisonal
E79. BinDiff
E80. SYSTEMBC
E81. Hashcat
E82. PIEJET
E83. RoarBat
E84. sgegkseg23mjl.exe
E85. regsvr32.exe
E86. RegAsm.exe
E87. REVERSESSH
E88. EdgeOS
E89. Rclone
E90. REDLINESTEALER
E91. GammaSteel.NET
E92. hostname
E93. ViottoKeylogger
E94. BootPatch
E95. SourSnack
E96. PicassoLoader
E97. Mirai
E98. SEAGLOW
E99. WhisperGate
E100. POSEIDON
E101. GOST (Go Simple Tunnel)
E102. BrownFlood
E103. wscript.exe [aka Windows Script Host (wscript.exe), Windows Script Host]
E104. Gozi
E105. HarvesterX
E106. Chipset Device Software
E107. MS Excel [aka Microsoft Excel]
E108. THUMBCHOP
E109. killself.bat
E110. SPECTR.PluginLoader
E111. AppLocker
E112. Processor Graphics
E113. Burp Suite
E114. Indy Library
E115. SPECTR.Installer
E116. FTP Commander
E117. SPECTR.Usb
E118. IceDragon
E119. QUOTATION N0AB.doc
E120. Windows_Security_Update_gMj
E121. SPECTR.Spectator2
E122. SMB протокол
E123. junit.js
E124. GrimPlant
E125. ssj.jpg
E126. OpenPGP
E127. Microsoft Authenticator
E128. Компания.png
E129. KNUCKLETOUCH
E130. ICYWELL
E131. WRONGSENS
E132. KAPEKA
E133. LOADGRIP
E134. BIASBOAT
E135. REGEORG.NEO
E136. PIVOTNACCI
E137. GOSSIPFLOW
E138. CHISEL
E139. LIBPROCESSHIDER
E140. JUICYPOTATONG
E141. ROTTENPOTATONG
E142. QUEUESEED
E143. українські органи державної влади [aka Органи державної влади, Ukrainian government bodies, Government sector of Ukraine, державні органи України, органи державної влади України, Ukrainian government organizations, Government bodies of Ukraine, Ukrainian government sector]
E144. Ukrainian energy sector
E145. Ukrainian enterprises
E146. Сектор оборони [aka Ukrainian defense sector]
E147. Commercial sector of Ukraine
E148. Financial sector
E149. Ukrainian citizens
E150. Healthcare sector
E151. Information systems of Ukrainian enterprises
E152. Russian aviation sector
E153. Ukrainian heat supply sector
E154. Ukrainian water supply sector
E155. об'єкт критичної енергетичної інфраструктури України
E156. DNS-сервери для зони gov.ua
E157. Єдина судова інформаційно-телекомунікаційна система (ЄСІТС)
E158. AS215939
E159. Система виявлення вразливостей і реагування на кіберінциденти та кібератаки
E160. TOR [aka TOR network]
E161. Єдиний державний реєстр декларацій осіб, уповноважених на виконання функцій держави або місцевого самоврядування
E162. AS44477
E163. Електронний суд
E164. високовольтні електричні підстанції
Mentions:
M1. "APT44" (HackerGroup) — options: E1, E2, E3, E4 — ctx: S3
M2. "UAC-0002" (HackerGroup) — options: E11, E12, E13, E14 — ctx: S3
M3. "QUEUESEED" (Software) — options: E20, E21, E22, E23 — ctx: S1
M4. "KNUCKLETOUCH" (Software) — options: E30, E31, E32, E29 — ctx: S1
M5. "ICYWELL" (Software) — options: E39, E40, E41, E42 — ctx: S1
M6. "WRONGSENS" (Software) — options: E49, E44, E50, E51 — ctx: S1
M7. "KAPEKA" (Software) — options: E57, E58, E59, E60 — ctx: S1
M8. "LOADGRIP" (Software) — options: E67, E68, E69, E70 — ctx: S1
M9. "BIASBOAT" (Software) — options: E66, E77, E78, E42 — ctx: S1
M10. "REGEORG.NEO" (Software) — options: E84, E85, E86, E35 — ctx: S2
M11. "PIVOTNACCI" (Software) — options: E82, E78, E92, E93 — ctx: S2
M12. "GOSSIPFLOW" (Software) — options: E54, E51, E98, E99 — ctx: S3
M13. "CHISEL" (Software) — options: E105, E54, E106, E29 — ctx: S4
M14. "LIBPROCESSHIDER" (Software) — options: E110, E111, E112, E46 — ctx: S4
M15. "JUICYPOTATONG" (Software) — options: E95, E118, E119, E120 — ctx: S4
M16. "ROTTENPOTATONG" (Software) — options: E83, E94, E122, E119 — ctx: S4
M17. "Ukrainian water supply sector" (Sector) — options: E143, E144, E145, E146
M18. "Ukrainian heat supply sector" (Sector) — options: E144, E143, E146, E150
M19. "Information and communication systems of Ukrainian critical infrastructure" (Infrastructure) — options: E155, E156, E157, E158

=== RESPONSE (29.2s, in 3754 / out 6522 tok, stop) ===
{"m":"APT44","id":"NEW","g":"hacker group also known as Sandworm or UAC-0002"}
{"m":"UAC-0002","id":"NEW","g":"hacker group also known as Sandworm or APT44"}
{"m":"QUEUESEED","id":"NEW","g":"backdoor used by UAC-0133"}
{"m":"KNUCKLETOUCH","id":"NEW","g":"backdoor associated with QUEUESEED"}
{"m":"ICYWELL","id":"NEW","g":"backdoor associated with QUEUESEED"}
{"m":"WRONGSENS","id":"NEW","g":"backdoor associated with QUEUESEED"}
{"m":"KAPEKA","id":"NEW","g":"backdoor associated with QUEUESEED"}
{"m":"LOADGRIP","id":"NEW","g":"malicious software used by UAC-0133"}
{"m":"BIASBOAT","id":"NEW","g":"Linux-variant of QUEUESEED"}
{"m":"REGEORG.NEO","id":"NEW","g":"a PHP-tunnel"}
{"m":"PIVOTNACCI","id":"NEW","g":"a PHP-tunnel"}
{"m":"GOSSIPFLOW","id":"NEW","g":"malicious software used by UAC-0133 on Windows"}
{"m":"CHISEL","id":"NEW","g":"a tool used by UAC-0133"}
{"m":"LIBPROCESSHIDER","id":"NEW","g":"a tool used by UAC-0133"}
{"m":"JUICYPOTATONG","id":"NEW","g":null}
{"m":"ROTTENPOTATONG","id":"NEW","g":null}
{"m":"Ukrainian water supply sector","id":"NEW","g":"targets of UAC-0133 cyber attacks"}
{"m":"Ukrainian heat supply sector","id":"NEW","g":"targets of UAC-0133 cyber attacks"}
