=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Кібератака на державні організації України з використанням теми "Азовсталі" та шкідливої програми Cobalt Strike Beacon (CERT-UA#4490)" — evidence: <p><strong>Загальна інформація:</strong></p><p>Урядовою командою реагування на комп’ютерні надзвичайні події України CERT-UA виявлено факт розповсюдження електронних листів з темою "Срочно! Деблокация Азовстали Терміново! Розблокування «Азовсталі»" та додатком у вигляді XLS-документу "Військові на Азовсталі.xls", що містить макрос. У випадку відкриття документу та активації макросу, останній здійснить завантаження, створення на диску та запуск файлу "pe.dll". Зазначене призведе до ураження комп'ютера шкідливою програмою Cobalt Strike Beacon.</p><p>З високим рівнем впевненості можемо зауважити,
Entities:
E1. zambeziz.com
E2. dnspod.com
E3. protect-password.site [aka www.protect-password.site]
E4. derzhposluhy.com [aka uspp.derzhposluhy.com]
E5. dayzilons.pw
E6. domtern.com
E7. whatsapp.protect-password.site
E8. mirotrent.com [aka plntr.mirotrent.com]
E9. dwservice.net [aka www.dwservice.net]
E10. e-wwg.com
E11. agrikoz.com
E12. swinj.online
E13. jorgava.com
E14. arminext.com
E15. olminx.com
E16. filetransrediremin.com
E17. odwebp.com [aka svc.odwebp.com]
E18. vinergil.com
E19. aluaadin.com
E20. benokij.com
E21. uabayrakua.com
E22. ukainua.com
E23. hudojnik-malunki-uah.eu [aka hudojnik-malunki.eu, malunki-hudojnik.eu, malunki-ua.eu, malunki-uah.eu]
E24. vuxuancuong.com
E25. 4qzm.com
E26. aneria.net
E27. anonvnc.com
E28. anotepad.com
E29. an-gos.top
E30. survefuz.com
E31. funedunet.com
E32. beget.com
E33. uasetukr.com
E34. apis.google.com.getssl.click
E35. god-le.com
E36. kowersize.fun
E37. sinergil.com
E38. kilomunara.com
E39. golgba.com
E40. out-ukr.net
E41. zarabovannyok.eu
E42. k-ukr.net
E43. petition-presidentu.com
E44. outlook.com
E45. mxukr.net
E46. www.facebook.com
E47. zaliphone.com
E48. mygraphbook.com
E49. admus.top
E50. icanhazip.com
E51. crmeds.com
E52. gopoppers.com
E53. baidenfree.com
E54. gov-lt.cloud
E55. adobeprotectcheck.com
E56. petition-president.com
E57. texlidia.com
E58. sansaispa.com
E59. superboler.com
E60. nafillimonilini.net
E61. shopersport.ru
E62. modeselling.com
E63. githubusercontent.com
E64. linedrv.com
E65. ssl2.link
E66. filebin.net
E67. jasminkiev.eu
E68. bloockflad.pw
E69. blog.gocon.in
E70. iplogger.com
E71. lo7h.com
E72. blogger.google.com.getssl.click
E73. blogger.certifiedauth.in
E74. ukenlog.com
E75. s3-monitoring.cloud
E76. bt.hurtom.com
E77. ukrstnet.com
E78. ua-sec.cloud
E79. bugiplaysec.com
E80. github.com
E81. timeandbright.com
E82. drive.google.com
E83. drv2ms.com
E84. ruvds.com
E85. drive.gdocs.com.ssl2.online
E86. ip-api.com
E87. flayga.ru
E88. ssttekstil.com
E89. protonmail.com
E90. shorturl.at
E91. iforma.es
E92. zallesman.ru
E93. shodan.io
E94. geroiua.com
E95. verify-ukr.net
E96. superops.com
E97. verycheap.store
E98. agreminj.com
E99. akaluij.com
E100. anidoz.com
E101. apeduze.com
E102. apokil.com
E103. arentuk.com
E104. axikok.com
E105. azimurs.com
E106. baidencult.com
E107. billiopa.com
E108. blinkij.com
E109. blopik.com
E110. borizhog.com
E111. britxec.com
E112. drimzis.com
E113. fluoxi.com
E114. shikjil.com
E115. shormanz.com
E116. verofes.com
E117. dezword.com
E118. Cherry Servers
E119. egihosting.com
E120. DigitalOcean [aka digitalocean.com]
E121. hetzner.com
E122. VPS.AG
E123. NameSilo [aka namesilo.com]
E124. DWService
E125. InfinityFree
E126. iroko.net
E127. Matrix Telecom Ltd
E128. HostZealot
E129. iFastNet
E130. iqhost.ru
E131. hostkey.com
E132. cherryservers.com
Mentions:
M1. "dezword.com" (Domain) — options: E1, E2, E3, E4
M2. "agreminj.com" (Domain) — options: E11, E12, E4, E13
M3. "akaluij.com" (Domain) — options: E19, E20, E4, E21
M4. "anidoz.com" (Domain) — options: E1, E11, E4, E26
M5. "apeduze.com" (Domain) — options: E30, E31, E4, E32
M6. "apokil.com" (Domain) — options: E37, E20, E4, E38
M7. "arentuk.com" (Domain) — options: E40, E33, E4, E41
M8. "axikok.com" (Domain) — options: E11, E44, E4, E45
M9. "azimurs.com" (Domain) — options: E1, E49, E50, E4
M10. "baidencult.com" (Domain) — options: E53, E4, E32, E25
M11. "billiopa.com" (Domain) — options: E39, E57, E58, E4
M12. "blinkij.com" (Domain) — options: E20, E4, E63, E64
M13. "blopik.com" (Domain) — options: E68, E20, E69, E4
M14. "borizhog.com" (Domain) — options: E20, E11, E74, E4
M15. "britxec.com" (Domain) — options: E76, E77, E78, E4
M16. "drimzis.com" (Domain) — options: E11, E51, E82, E4
M17. "fluoxi.com" (Domain) — options: E70, E71, E86, E4
M18. "shikjil.com" (Domain) — options: E37, E4, E20, E88
M19. "shormanz.com" (Domain) — options: E13, E90, E4, E11
M20. "verofes.com" (Domain) — options: E18, E94, E95, E4
M21. "cherryservers.com" (Organization) — options: E118, E119, E120, E121
M22. "hostkey.com" (Organization) — options: E120, E119, E126, E128

=== RESPONSE (35.5s, in 3102 / out 3641 tok, stop) ===
{"m":"dezword.com","id":"NEW","g":null}
{"m":"agreminj.com","id":"NEW","g":null}
{"m":"akaluij.com","id":"NEW","g":null}
{"m":"anidoz.com","id":"NEW","g":null}
{"m":"apeduze.com","id":"NEW","g":null}
{"m":"apokil.com","id":"NEW","g":null}
{"m":"arentuk.com","id":"NEW","g":null}
{"m":"axikok.com","id":"NEW","g":null}
{"m":"azimurs.com","id":"NEW","g":null}
{"m":"baidencult.com","id":"NEW","g":null}
{"m":"billiopa.com","id":"NEW","g":null}
{"m":"blinkij.com","id":"NEW","g":null}
{"m":"blopik.com","id":"NEW","g":null}
{"m":"borizhog.com","id":"NEW","g":null}
{"m":"britxec.com","id":"NEW","g":null}
{"m":"drimzis.com","id":"NEW","g":null}
{"m":"fluoxi.com","id":"NEW","g":null}
{"m":"shikjil.com","id":"NEW","g":null}
{"m":"shormanz.com","id":"NEW","g":null}
{"m":"verofes.com","id":"NEW","g":null}
{"m":"cherryservers.com","id":"E118","g":null}
{"m":"hostkey.com","id":"NEW","g":null}
