=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 1333 canonicals"
Entities:
E1. 67.199.248.11
E2. 7tt.me
E3. 192.198.87.130
E4. t-me.io
E5. 185.193.38.78
E6. t--t.me
E7. a0671524.xsph.ru
E8. 0-t.me
E9. kitten-268.frge.io
E10. 67.199.248.10
E11. i1t.me
E12. a0698649.xsph.ru
E13. robot-876.frge.io
E14. surname192.temp.swtest.ru
E15. as49447.net
E16. a0695487.xsph.ru
E17. 1833.site
E18. biengrandir37.com
E19. domthr.xyz
E20. ip-api.com
E21. ipapi.co
E22. mail.aet.in.ua
E23. www.hybrid-analysis.com
E24. www.dropbox.com
E25. prostotaknet.net
E26. protectraid.com
E27. www.michiganmastereltiempo.com
E28. www.ssl2.in
E29. adobeprotectcheck.com
E30. www.msftncsi.com
E31. www.authssl.in
E32. filebin.net
E33. agreminj.com
E34. ansaigon.com [aka sansaispa.com]
E35. blinkij.com
E36. zambeziz.com
E37. pas-ukr.net
E38. apokil.com [aka shikjil.com]
E39. uasettings.com
E40. fluoxi.com
E41. www.hsts.online
E42. ao3.hmgo.pw
E43. analytics.certifiedauth.in
E44. analytics.google.com.getssl.click
E45. devtools.bond
E46. blopik.com
E47. akaluij.com
E48. lo7h.com
E49. ghaniyu.com
E50. aluaadin.com
E51. apoxipodes.ru
E52. ryomy.ru
E53. abracodabugalimpopo.ru [aka superdadymster.ru]
E54. ligaspace.ru
E55. omyce.ru
E56. acteran.ru
E57. shopersport.ru
E58. infomalilopera.ru [aka infomailforyoumak.ru]
E59. erwini.ru
E60. drv2ms.com
E61. ns1.connectssl.in
E62. www.symantec.com
E63. www.ssl4.site
E64. hopentools.site
E65. hopentools.ru
E66. tg.cyou
E67. cerv-gos.top
E68. bourns.space [aka topibuzz.space]
E69. dezword.com
E70. steycools.pw
E71. tgeo.link
E72. hmgo.pw
E73. co-uah.top
E74. dnspod.com
E75. duhodown.fun
E76. ohsxy.com
E77. tme-id.com
E78. arentuk.com
E79. crmeds.com
E80. drimzis.com
E81. vdsina.ru
E82. sav.com
E83. expeditionabroad.com
E84. barnsertr.com
E85. poertrfinal.com
E86. tronogram.com
E87. deti.eu
E88. telegraom.me
E89. teiergam.com
E90. protonmail.com
E91. telegram.uk.net
E92. apitelegram.org
E93. apeduze.com
E94. funedunet.com
E95. zbignef.com
E96. webknives.com
E97. big-uah.top
E98. co-opros.top
E99. central-gos.top
E100. an-ukr.top
E101. topadm.top
E102. balletmasters.co
E103. alf-gos.top
E104. bow-gos.top
E105. ditinstvo-uah.pics [aka moe-ditinstvo-uah.pics]
E106. ua-compensations.xyz
E107. ec-compensation.xyz [aka uam-compensation.xyz]
E108. pay.uacompensation.xyz
E109. 1000020.xyz
E110. myua-compensations.xyz
E111. tax-compensation.xyz
E112. blakejones.xyz
E113. ua-taxes-compens.xyz
E114. vuxuancuong.com
E115. zaikadoctor.ru
E116. stormpredictor.host
E117. rmssrv.ru
E118. polinamailserverip.ru
E119. rmssrv2.ru
E120. emterox.ru
E121. rmssrv3.ru
E122. rmssrv4.ru
E123. agrikoz.com
E124. axikok.com
E125. anonvnc.com
E126. shormanz.com
E127. smart-vnc.com
E128. ereservices.com
E129. smartcloudflare.com
E130. uasetukr.com
E131. petition-presidentu.com
E132. arminext.com
E133. t.co
E134. uacompensation.xyz
E135. gir.network
E136. uatax-compens.xyz [aka uatax-compenses.xyz]
E137. beget.com
E138. petition-president.com
E139. benokij.com
E140. raidforums.com
E141. petitian-president.com
E142. azimurs.com
E143. ua-compensation.top
E144. compensation-ukr.com [aka compensationukr.com]
E145. borizhog.com
E146. gieannualconferenceinmunich.com
E147. cloue.link
E148. telegram.org-a0dk3dm91iu.tgeo.link
E149. meteolink.host
E150. ssl2.link
E151. authssl.link
E152. net.ssl2.link
E153. goaccount.link
E154. getssl.ink
E155. hsts.online
E156. syn.hiddenvnc.com
E157. sync.hiddenvnc.com
E158. ginaengg.com
E159. sync.anonvnc.com
E160. drive.google.com
E161. drive.google.com.getssl.click
E162. vinergil.com
E163. linedrv.com
E164. ukenlog.com
E165. sinergil.com
E166. uknetlogin.com
E167. plexbd.net
E168. ukr.net
