=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 1251 canonicals"
Entities:
E1. tinyurl.com
E2. aon.at
E3. docs.google.com.ssl2.site
E4. support-ukr.net
E5. pius-studio.at
E6. docs.google.com.ssl3.site
E7. score-ukr.net
E8. shopersport.ru
E9. everything-everywhere.at.ply.gg
E10. raw.githubusercontent.com
E11. dishsouq.com
E12. borizhog.com [aka shormanz.com]
E13. drive.google.com
E14. britxec.com
E15. easternexecutiveclub.com
E16. 3utilities.com
E17. telegram.org.t.me-cloud.link
E18. gobits3.com
E19. files.catbox.moe
E20. www.virustotal.com [aka virustotal.com]
E21. github.com
E22. content.certifiedauth.in
E23. static.personlog.in
E24. 4qzm.com
E25. myftp.org
E26. up-lnk.myftp.org
E27. optica-rd.myftp.biz [aka myftp.biz]
E28. up-dot.myftp.org
E29. myddns.me
E30. d-upl.ddns.net
E31. aviatorssm.bit
E32. serveftp.com
E33. ln-upl.ddns.net
E34. gotdns.ch
E35. blog.gocon.in
E36. ns2-dns.com [aka ns3-dns.com]
E37. bahouholdings.com
E38. ns.ns2-dns.com
E39. bank.gov.ua
E40. kitten-268.frge.io
E41. site-1.work
E42. api.dev-com.sc [aka dev-com.sc]
E43. czyrqdnvpujmmjkfhhvsclx05sfi23bfr.oast.fun
E44. net-certificate.services
E45. gir.network
E46. cloudflare-dns.com
E47. eopkne8kapj01xi.m.pipedream.net
E48. drive.google2.certifiedauth.in
E49. analytics.certifiedauth.in
E50. array.myftp.biz
E51. stats.certifiedauth.in
E52. data.certifiedauth.in
E53. blogger.google2.certifiedauth.in
E54. bom02.gotdns.ch
E55. dyndns.com
E56. cdn.certifiedauth.in
E57. numsecukr.net
E58. cdn.exmo.day
E59. cdn.live.com.getssl.click
E60. aneria.net
E61. cdn.discordapp.com
E62. alt-2cdn.net
E63. conf-ukr.net
E64. cs1.wpc-v0cdn.org
E65. dnspod.com
E66. e-nas.firstcloudit.com
E67. agreminj.com
E68. pas-ukr.net
E69. domtern.com
E70. rresteraftin.com
E71. czyrqdnvpujmmjkfhhvs4knf1av02demj.oast.fun
E72. czyrqdnvpujmmjkfhhvsvlaax17vd5r6v.oast.fun
E73. eoy7zvsvn6xfcmy.m.pipedream.net
E74. eos93vb2cwsu3xf.m.pipedream.net
E75. czyrqdnvpujmmjkfhhvsgapqr3hclnhhj.oast.fun
E76. aleimportadora.net
E77. eo9p1d2bfmioiot.m.pipedream.net [aka eoiw8lhjwuc3sh2.m.pipedream.net, eo2mxtqmeqzafqi.m.pipedream.net]
E78. ryomy.ru
E79. ukr.net
E80. outlook.live.com.getssl.click
E81. bluepablo.fun
E82. mouseoiet.fun
E83. telegram.org-a0dm91dk31i.cloue.link
E84. boddyshow.fun
E85. comperssw.fun
E86. login.live.com.getssl.click
E87. lt-ukr.net
E88. a3-ukr.net
E89. cdn.jsdelivr.net
E90. wpc-v0cdn.org
E91. acc-ukr.net
E92. ns2.authssl.site
E93. bounceme.net
E94. armpress.net
E95. ns2.authssl.online
E96. hopentools.ru
E97. ns1.authssl.site
E98. dwservice.net [aka www.dwservice.net]
E99. prostotaknet.net
E100. mockbin.org
E101. apitelegram.org
E102. ua-cip.org
E103. authssl.org
E104. ipv6-wpnc.net
E105. servemp3.com
E106. servebeer.com
E107. servehalflife.com
E108. serveblog.net
E109. servegame.com [aka serveminecraft.net]
E110. www.dropbox.com
E111. www.hsts.online
E112. 185.193.38.78
E113. www.facebook.com
E114. fex.net
E115. www.michiganmastereltiempo.com
E116. analyze.intezer.com
E117. shorturl.at
E118. sinergil.com
E119. vinergil.com
E120. minijusfil.com
E121. portal.msrc.microsoft.com
E122. economiquity.org
E123. cisa.gov
E124. mitraseo.hol.es
E125. misp.cert.gov.ua
E126. bitbucket.org
E127. notifications.certifiedauth.in
E128. sendmail.website
E129. product-reviews.website
E130. advanced-ip-scanner.website
E131. courtgova.site
E132. lamazone.site
E133. 8003659902.space
E134. domthr.xyz
E135. uatax-compens.xyz
E136. uacompensation.xyz
E137. 8003659902.site
E138. ec-compensation.xyz
E139. myua-compensations.xyz [aka ua-compensations.xyz]
E140. googledrive.com.ssl2.site
