=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 916 canonicals"
Entities:
E1. mivocloud.com
E2. abracodabugalimpopo.ru
E3. coudzoom.ru
E4. acteran.ru
E5. me-cloud.link
E6. hilr.ru
E7. apoxipodes.ru
E8. cloudlnk.org
E9. cloudflare-dns.com
E10. restmantra.by
E11. dublebomber.ru
E12. dipteran.online
E13. moyabelorussiya.by
E14. super777bomba.ru
E15. propertyminsk.by
E16. zasadacafe.by
E17. dis.gov.ua
E18. tbwelo.ru
E19. bubenci.ru
E20. dubl-ukr.net
E21. rubidiumo.ru
E22. maxteroper.ru
E23. tvoyaradostetoya.ru
E24. propertyiran.ir
E25. gov-ua.info
E26. hamnavard.sharif.ir
E27. mail-gov-ua.frge.io
E28. erwini.ru
E29. claud.in
E30. lover.printing82.detroito.ru
E31. popuasyfromua.ru
E32. ipodromlan.ru
E33. vdsina.ru
E34. specnaznachenie.ru
E35. candidar.ru
E36. stv-ukr.net
E37. kopratiso.ru
E38. qkcew.ru
E39. s8.h.mchost.ru
E40. ryomy.ru
E41. diplombar.by
E42. supermarioprohozhdenie.ru
E43. yavasponimayu.ru
E44. ganara.ru
E45. ipoluchayteudovolstvie.ru
E46. detroito.ru
E47. sindoproperty.org
E48. iloveua.ir
E49. napropertyhub.eu
E50. economiquity.org [aka europadonnaireland.org]
E51. filterfullproperty.ru
E52. sakentoshi.ru
E53. metanat.ru
E54. prostotaknet.net
E55. lopasts.ru
E56. pre-opros.top
E57. zaikaopentra.com.ru
E58. zaikaopentra.com.ug
E59. rresteraftin.com
E60. www.symantec.com
E61. hopentools.ru
E62. foundpomoshi.com
E63. ardeas.ru
E64. hopentools.site
E65. lnasfe.ru
E66. aspe.ro
E67. omyce.ru
E68. civh.ru
E69. superboler.com
E70. kozachok777.ru
E71. emterox.ru
E72. tortunas.ru
E73. prostosmeritesya.ru
E74. yandex.ru
E75. shopersport.ru [aka vljsport.eu.com]
E76. korrespondentnet.webflow.io
E77. zakolibal.online
E78. balkimotion.ru
E79. zallesman.ru
E80. windacarmelita.pw
E81. nxkad.ru
E82. zaikadoctor.ru
E83. freeusadatingxxx.online
E84. chinagrill.co
E85. dishsouq.com
E86. serveftp.com [aka servehttp.com]
E87. mitlubald.ru
E88. microsoft.com
E89. simplecloud.ru
E90. 3utilities.com
E91. dyndns.com
E92. xcqef.ru
E93. redport80.ru
E94. xsph.ru
E95. apitelegram.org
E96. combinedresidency.org
E97. up-lnk.myftp.org
E98. meteolink.host
E99. cloue.link
E100. nirsoft.me
E101. a0322810.xsph.ru
E102. a0695487.xsph.ru
E103. a0656203.xsph.ru
E104. a0671524.xsph.ru
E105. a0667987.xsph.ru
E106. tvpharm.ru
E107. kurapat.ru
E108. courtbox.online
E109. kilitro.ru
E110. hillespostelnm.eu
E111. dodortar.ru
E112. bilitora.ru
E113. viewdns.info
E114. ns2-dns.com
E115. ns3-dns.com
E116. ns.ns3-dns.com
E117. ns.ns2-dns.com
E118. aluaadin.com
E119. jokotras.ru
E120. tarlit.ru
E121. cooperi.ru
E122. mafirti.ru
E123. enterwords.ru
E124. domtern.com
E125. milotrad.ru
E126. global-news-world.com
E127. moolin.ru
E128. golos2023q.ru
E129. wicksl.ru
E130. rnbo.gov.ua
E131. ncscc.gov.ua
E132. gopoppers.com
E133. tiloraso.ru
E134. circulas.ru
E135. fishitor.ru
E136. internet.bs
E137. int-ukr.net
E138. inter-webservices.com
E139. mail.numina.md
E140. ruvds.com
E141. atlantar.ru
E142. golosdruga.ru
E143. internetcygane.ru
E144. criticalosl.tech
E145. aspx.io
E146. center-gos.top
E147. cs1.wpc-v0cdn.org
E148. file.io
E149. central-gos.top
E150. frge.io
E151. ceriossl.info
E152. 00-l.ru
E153. billyhot.ru
E154. milotraf.ru
E155. rncsq.ru
E156. zbignef.com
E157. xcasinobonuses.net
E158. telegram-mobile.ru
E159. telegram-wap.me
E160. advanced-ip-scanner.click
E161. telegram-wed.id
E162. varanasiclick.ru
E163. telegram.org.t.me-cloud.link
E164. it-develop.me
E165. tgeo.link
E166. telegram.org-a0dk3dm91iu.tgeo.link
E167. app.any.run
E168. potrakit.ru
E169. clipperso.ru
E170. pasamart.ru
E171. jslopasitmon.com
E172. lolifans.ru
E173. podologaneri.it
E174. infomalilopera.ru
E175. aneria.net
E176. fex.net
E177. ukr.net
E178. aleimportadora.net
E179. tools.nexcess.net
E180. pge-ukr.net
E181. dwservice.net [aka www.dwservice.net]
E182. 1-ukr.net
E183. mulleti.ru
E184. motoristo.ru
E185. mockbin.org
E186. nx0.ru
E187. cisa.gov
E188. paparat.ru
E189. id.court.gov.ua
E190. dod-upload.dodortar.ru
E191. lnk-upload.dodortar.ru
E192. nikotod.ru
E193. telegram-click.ru
E194. telegram.org-a0dm91dk31i.cloue.link
E195. t--t.me
E196. shormanz.com
E197. censys.io
E198. ip-api.com
E199. shorturl.at
E200. evil.server.com
E201. gondurasonline.ru
E202. farafauler.ru
E203. enlamentedeunasesor.com
E204. nitikora.ru
E205. tme-id.ru
E206. mail.arlingtonhousing.us
E207. hawksi.ru
E208. callsol.ru
E209. apokil.com
E210. modeselling.com
E211. servepics.com
E212. servemp3.com
E213. servegame.com
E214. 4qzm.com
E215. stormpredictor.host
E216. agreminj.com
E217. arelyevennot.top
E218. arminext.com
E219. blopik.com
E220. edisk.ukr.net
E221. bnt-ukr.net
E222. mayak.dp.ua
E223. in-ukr.net
E224. account-ukr.net
E225. 0-ukr.net
E226. meta.ua
E227. kt-ukr.net
E228. www.portcheckers.com
E229. troadsecow.com
E230. ritionalvalueon.top
E231. lingrevelat.com
E232. rivierafamily.com
E233. kissmafiabeforyoudied.eu
E234. droopily.eu
E235. zalamafiapopcultur.eu
E236. humanitarydp.ug
E237. military-ukraine.site
E238. military-ukraine.online
E239. phymateus.online
