=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Нарощування темпів UAC-0006, мільйонні збитки (CERT-UA#7648, CERT-UA#7688, CERT-UA#7699, CERT-UA#7705)" — evidence: S1. "8:47) використовується з другої декади вересня по теперішній час. Крім того, сервер управління шкідливою програмою розміщено на технічному майданчику ООО "Трейдер софт" (@simplecloud.ru, ОГРН:1089848043086, м.Санкт-Петербруг, Чекель Н.В.):</p><ul><li>85.143.216[.]129 (з 16.09.2023)</li><li>85.143.172[.]45 (з 01.10.2023)</li></ul><p>*<em>Слід зауважити, що використання інфраструктури О"
Entities:
E1. ЕОМ бухгалтерів
E2. Фінансові установи України
E3. державні та приватні установи, організації та підприємства [aka підприємства, установи та організації різної форми власності]
E4. державні організації України [aka Ukrainian government organizations, державна організація України]
E5. місцеві ЗМІ
E6. Державні фінансові установи України
E7. інформаційні та телекомунікаційні системи органів державної влади та місцевого самоврядування
E8. інформаційний простір України
E9. організації України [aka українські організації, Ukrainian organizations]
E10. вебсайти державних органів [aka сайти державних органів, вебсайти державних організацій, Веб-ресурси державних органів України, вебресурси державних організацій]
E11. Електронний суд
E12. Єдиний державний реєстр декларацій осіб, уповноважених на виконання функцій держави або місцевого самоврядування
E13. Єдина судова інформаційно-телекомунікаційна система (ЄСІТС)
E14. Система виявлення вразливостей і реагування на кіберінциденти та кібератаки
E15. об'єкт критичної енергетичної інфраструктури України
E16. високовольтні електричні підстанції
E17. DNS-сервери для зони gov.ua
E18. ботмережа (більше 1000 комп'ютерів)
E19. TOR
E20. LiteManagerTeam
E21. ООО "ХОСТИНГ-ТЕХНОЛОГИИ"
E22. Great C Technologies Inc
E23. ТОО "ИТ‑ГРАД"
E24. ООО "ГЛОБАЛ ИНТЕРНЕТ РЕШЕНИЯ"
E25. NirSoft
E26. Фонд "Альянс Демократій"
E27. ООН
E28. Avast
E29. Microsoft
E30. mivocloud.com
E31. abracodabugalimpopo.ru
E32. coudzoom.ru
E33. acteran.ru
E34. me-cloud.link
E35. hilr.ru
E36. apoxipodes.ru
E37. cloudlnk.org
E38. cloudflare-dns.com
E39. ardeas.ru
E40. dis.gov.ua
E41. kilomunara.com
E42. dipteran.online
E43. tbwelo.ru
E44. dodortar.ru
E45. lnk-upload.dodortar.ru
E46. balkimotion.ru
E47. domthr.xyz
E48. dod-upload.dodortar.ru
E49. mayak.dp.ua
E50. bubenci.ru
E51. dubl-ukr.net
E52. maxteroper.ru
E53. rubidiumo.ru
E54. hofsteder.ru
E55. mitlubald.ru
E56. gov-ua.info
E57. hamnavard.sharif.ir
E58. erwini.ru
E59. mail-gov-ua.frge.io
E60. mulleti.ru
E61. claud.in
E62. lover.printing82.detroito.ru
E63. file.io
E64. vdsina.ru
E65. ipodromlan.ru
E66. candidar.ru
E67. stv-ukr.net
E68. detroito.ru
E69. sytes.net
E70. qkcew.ru
E71. s8.h.mchost.ru
E72. kopratiso.ru
E73. agrikoz.com
E74. xcqef.ru
E75. ryomy.ru
E76. mail.numina.md
E77. session-ukr.net
E78. aviatorssm.bit
E79. kissmafiabeforyoudied.eu
E80. tiloraso.ru
E81. kissmafiabeforyoudied.ru
E82. supermarioprohozhdenie.ru
E83. ganara.ru
E84. sindoproperty.org
E85. napropertyhub.eu
E86. economiquity.org [aka europadonnaireland.org]
E87. metanat.ru
E88. cooperi.ru
E89. filterfullproperty.ru
E90. lopasts.ru
E91. kurapat.ru
E92. hopentools.ru
E93. prostotaknet.net
E94. pre-opros.top
E95. rresteraftin.com
E96. zaikaopentra.com.ru
E97. atlantar.ru
E98. zaikaopentra.com.ug
E99. www.symantec.com
E100. foundpomoshi.com
E101. hopentools.site
E102. fishitor.ru
E103. lnasfe.ru
E104. aspe.ro
E105. omyce.ru
E106. civh.ru
E107. superboler.com
E108. emterox.ru
E109. support-ukr.net
E110. tortunas.ru
E111. parodadoca.ru
E112. tvpharm.ru
E113. yandex.ru
E114. shopersport.ru [aka vljsport.eu.com]
E115. korrespondentnet.webflow.io
E116. zakolibal.online
E117. zallesman.ru
E118. nxkad.ru
E119. zaikadoctor.ru
E120. windacarmelita.pw
E121. chinagrill.co
E122. pasamart.ru
E123. freeusadatingxxx.online
E124. uatax-compens.xyz
E125. safe-ukr.net
E126. diplombar.by
E127. dublebomber.ru
E128. iloveua.ir
E129. ipoluchayteudovolstvie.ru
E130. kozachok777.ru
E131. moyabelorussiya.by
E132. nomnetozhedenyuzhkanuzhna.ru
E133. popuasyfromua.ru
E134. propertyiran.ir
E135. propertyminsk.by
E136. prostosmeritesya.ru
E137. restmantra.by
E138. sakentoshi.ru
E139. specnaznachenie.ru
E140. super777bomba.ru
E141. tvoyaradostetoya.ru
E142. yavasponimayu.ru
E143. zakrylki809.ru
E144. zasadacafe.by
E145. Dmytro Oleksiuk
E146. Микола Худинцев [aka Худинцев Микола Миколайович]
E147. Олександр Пучков
E148. Юрій Щиголь
E149. Андрій Кузміч
E150. Микола Кулешов
E151. Майкл Чертофф
E152. @BushidoToken
E153. cr4sh
E154. Трігубенко Сергій Георгійович
E155. simplecloud.ru
Mentions:
M1. "автоматизовані робочі місця бухгалтерів" (Sector) — options: E1, E2, E3, E4
M2. "системи дистанційного банківського обслуговування" (Infrastructure) — options: E11, E12, E13, E14
M3. "ООО "Трейдер софт"" (Organization) — options: E20, E21, E22, E23 — ctx: S1
M4. "simplecloud.ru" (Domain) — options: E30, E31, E32, E33 — ctx: S1
M5. "Чекель Н.В." (Individual) — options: E145, E146, E147, E148 — ctx: S1
M6. "diplombar.by" (Domain) — options: E40, E41, E42, E43
M7. "dublebomber.ru" (Domain) — options: E50, E31, E51, E43
M8. "iloveua.ir" (Domain) — options: E50, E56, E57, E58
M9. "ipoluchayteudovolstvie.ru" (Domain) — options: E64, E31, E65, E66
M10. "kozachok777.ru" (Domain) — options: E70, E31, E71, E32
M11. "moyabelorussiya.by" (Domain) — options: E75, E76, E77, E43
M12. "nomnetozhedenyuzhkanuzhna.ru" (Domain) — options: E50, E31, E64, E33
M13. "popuasyfromua.ru" (Domain) — options: E50, E31, E65, E64
M14. "propertyiran.ir" (Domain) — options: E84, E85, E57, E58
M15. "propertyminsk.by" (Domain) — options: E84, E85, E91, E88
M16. "prostosmeritesya.ru" (Domain) — options: E87, E31, E93, E90
M17. "restmantra.by" (Domain) — options: E90, E95, E96, E87
M18. "sakentoshi.ru" (Domain) — options: E33, E92, E100, E31
M19. "specnaznachenie.ru" (Domain) — options: E103, E31, E82, E64
M20. "super777bomba.ru" (Domain) — options: E107, E31, E108, E33
M21. "tvoyaradostetoya.ru" (Domain) — options: E75, E31, E83, E110
M22. "yavasponimayu.ru" (Domain) — options: E36, E31, E113, E75
M23. "zakrylki809.ru" (Domain) — options: E50, E31, E116, E75
M24. "zasadacafe.by" (Domain) — options: E118, E119, E120, E121

=== RESPONSE (31.9s, in 3734 / out 6155 tok, stop) ===
{"m":"автоматизовані робочі місця бухгалтерів","id":"E1","g":null}
{"m":"системи дистанційного банківського обслуговування","id":"NEW","g":"remote banking services systems"}
{"m":"ООО \"Трейдер софт\"","id":"NEW","g":"a hosting company"}
{"m":"simplecloud.ru","id":"NEW","g":"domain for malware control server"}
{"m":"Чекель Н.В.","id":"NEW","g":"person associated with ООО Трейдер софт"}
{"m":"diplombar.by","id":"NEW","g":null}
{"m":"dublebomber.ru","id":"NEW","g":null}
{"m":"iloveua.ir","id":"NEW","g":null}
{"m":"ipoluchayteudovolstvie.ru","id":"NEW","g":null}
{"m":"kozachok777.ru","id":"NEW","g":null}
{"m":"moyabelorussiya.by","id":"NEW","g":null}
