=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 1589 canonicals"
Entities:
E1. shopersport.ru
E2. empoweringparents.shop
E3. stage-ukr.net
E4. modeselling.com
E5. lauramcinerney.shop
E6. president-petitions.shop
E7. barnsertr.com
E8. rafraystore.ru
E9. badge-gos.top
E10. backstagemerch.shop
E11. gopoppers.com
E12. arentuk.com
E13. fori-opros.top
E14. apeduze.com
E15. erinekenney.com
E16. arminext.com
E17. yemmyusa.com
E18. coinerpay.top
E19. president-petitions.click
E20. president-petition.best
E21. familyvote.co
E22. president-petition6504.best
E23. familyvote.info
E24. aneria.net
E25. dcshost.net
E26. winscp.net
E27. aleimportadora.net
E28. webhop.me
E29. armpress.net
E30. as49447.net
E31. hopentools.ru
E32. shapurt.ru
E33. abracodabugalimpopo.ru
E34. vljsport.eu.com
E35. acteran.ru
E36. pasamart.ru
E37. againandagaingmorder.ru
E38. jokoloret.ru
E39. ns1.modeselling.com
E40. ns2.modeselling.com
E41. moskeet.com
E42. ddnsking.com
E43. 3utilities.com
E44. fluoxi.com
E45. olminx.com
E46. mod-ukr.net
E47. 4qzm.com
E48. detipoertry.com
E49. poertrfinal.com
E50. teiergam.com
E51. serveftp.com
E52. servebeer.com
E53. 3dstore.pro
E54. westafrance.com
E55. ardeas.ru
E56. store3.gofile.io
E57. golgba.com
E58. domtern.com
E59. clipperso.ru
E60. blopik.com
E61. iplogger.com
E62. googles.com.personlog.in
E63. dogiraftig.com
E64. servehttp.com
E65. verofes.com
E66. vertusupportjk.org
E67. lesrochersblancs.com
E68. everything-everywhere.at.ply.gg
E69. tortunas.ru
E70. paparat.ru
E71. pas-ukr.net
E72. kopratiso.ru
E73. ganara.ru
E74. nirsoft.me
E75. tg-me.pro
E76. balet-me.pro
E77. baletua.pro
E78. pro-gos.top
E79. aspe.ro
E80. balet-ua.pro
E81. amo-opros.top
E82. vibiru-uahudojnika.eu
E83. delta-storages.com
E84. baletki.eu
E85. deti-ball.eu
E86. poeuatryditieu.com
E87. baletme.eu
E88. zaditinu-golos-uah.eu
E89. barbatus.online
E90. smartideabusiness.com
E91. agreminj.com
E92. smart-kids-ua.eu
E93. mail.lebsack.de
E94. arcor.de
E95. sakentoshi.ru
E96. balletmasters.eu
E97. t-online.de
E98. golos-hudojniku.eu
E99. uacompensation.xyz
E100. alegoomaster.com
E101. golosa-hudojniku.eu
E102. super777bomba.ru
E103. superops.com
E104. superops.ai
E105. sinergil.com
E106. fast-mail.site
E107. mail-box.site
E108. advanced-ip-scanner.website
E109. yotsubasociety.website
E110. product-reviews.website
E111. email.cz
E112. eumr.site
E113. your-mail.press
E114. lamazone.site
E115. onthewifi.com
E116. sendmail.website
E117. product2020.mrbasic.com
E118. courtgova.site
E119. ndlestomak.top
E120. admru.top
E121. jevejosader.top [aka an-ukr.top]
E122. project2.top [aka project3.top]
E123. admukr.top
E124. reteredelete.top
E125. admus.top
E126. wers-gos.top
E127. topadm.top
E128. granitecsinks.ca
E129. balletmasters.co
E130. mill.co.ua
E131. barbacoalosmartinez.com
E132. balletworld.co
E133. agrikoz.com
E134. detikievakonkurs.co
E135. t.co
E136. hudojnik-ua.eu
E137. petition-presidentu.com
E138. ukr-golosovanie.site
E139. ukrahelpforall.ucraft.site
E140. 1833.site
E141. surname192.temp.swtest.ru
E142. premiumjeck.site [aka pomoshnikrbx.site]
E143. naffalno.site
E144. 8003659902.site
E145. ssl2.site
E146. graphiuma.online
E147. fex.net
E148. floorfix.com.au
E149. sv5206.xserver.jp
E150. mygraphbook.com
E151. gofile.io
E152. tronogram.com
E153. baidenfree.com
E154. sansaispa.com
E155. petition-president.com
E156. azimurs.com
E157. raidforums.com
E158. petitian-president.com
E159. timeandbright.com
E160. github.com
E161. geroiua.com
E162. lolifans.ru
E163. nais-gov.com
E164. an-gos.top
E165. ohsxy.com
E166. anidoz.com
E167. ereservices.com
E168. baidencult.com
E169. evil.server.com
E170. balerina.info
E171. nlightusa.com
E172. balet-me.us
E173. ye-gos.top
E174. tme-id.com
E175. zamesblack.fun
E176. kohhd.com
E177. rivierafamily.com
E178. motocheck.in
E179. vibiru-hudojnika.eu
