=== REQUEST (gemini gemini-3.7-flash) ===
--- sampling ---
{"temperature":0}
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Кібератака групи UAC-0010 (Armageddon) на державні організації України (CERT-UA#4434)" — evidence: S1. "UAC-0010 (Armageddon).</p><p>З метою забезпечення відмовостійкості своєї інфраструктури, члени групи, серед іншого, використовують Dynamic DNS сервіс NO-IP. Звертаємо увагу на доцільність моніторингу з'єднань з доменними іменами, що використовуються згаданим сервісом. Перелік безкоштовних доменних імен н"
Entities:
E1. Fortinet
E2. HostIQ
E3. 360Netlab
E4. Linux Team
E5. Usoris
E6. AS37148 (нігерійський оператор телекомунікацій)
E7. Google
E8. Mozilla
E9. Adobe
E10. тomhunter
E11. dyndns.com
E12. gmail.com
E13. nowpropitup.com
E14. airmauritiusticket.com
E15. ns.ns3-dns.com [aka ns3-dns.com]
E16. gobits3.com
E17. cdn.discordapp.com
E18. ansaigon.com
E19. ns.ns2-dns.com [aka ns2-dns.com]
E20. badpdf.com
E21. zuh3vcyskd4gipkm.onion
E22. fernandoherrera.me
E23. nirsoft.me
E24. mx-out-14.default-host.net
E25. product-reviews.website
E26. me.gov.ua
E27. cs1.wpc-v0cdn.org [aka wpc-v0cdn.org]
E28. gordon6.hopto.org
E29. eo9p1d2bfmioiot.m.pipedream.net
E30. acteran.ru
E31. nx0.ru
E32. enterwords.ru [aka emterox.ru]
E33. rmssrv2.ru [aka rmssrv4.ru]
E34. apoxipodes.ru
E35. erwini.ru [aka mulleti.ru]
E36. api.dev-com.sc
E37. candidar.ru
E38. dev-com.sc
E39. rmssrv3.ru
E40. 1000020.xyz
E41. tortunas.ru
E42. webknives.com
E43. ipv6-wpnc.net
E44. winscp.net
E45. arcor.de
E46. parodadoca.ru
E47. milotrad.ru
E48. expeditionabroad.com
E49. drive.google.com
E50. single-office.ddns.net
E51. alt-2cdn.net
E52. fex.net
E53. smm2021.net
E54. edisk.ukr.net
E55. ukr.net
E56. optica-rd.myftp.biz
E57. telsec.org
E58. cve.mitre.org
E59. nais-gov.org
E60. potrakit.ru
E61. mail.nais-gov.org
E62. tiloraso.ru
E63. tridiuma.ru
E64. jokotras.ru
E65. giraffe-tour.ru
E66. portal.nazk.gov.ua
E67. president.gov.ua.administration.vakansiyi.administration.president.gov-ua.info
E68. s8.h.mchost.ru
E69. chinagrill.co
E70. cuckoo.cert.ee
E71. biengrandir37.com
E72. ereservices.com
E73. melitaes.online
E74. www.hybrid-analysis.com
E75. ftp.thefoodplace.net
E76. app.any.run
E77. frge.io
E78. ohsxy.com
E79. chernilis.win
E80. myelectrive.com
E81. omyce.ru
E82. aviatorssm.bit
E83. graphiuma.online [aka phymateus.online, xbeta.online]
E84. www.symantec.com
E85. vuonorganic.com
E86. www.msftncsi.com
E87. thestoreroomnsw.com.au
E88. gangbang6.monster
E89. evil.server.com
E90. thaibbqculver.com
E91. toknowall.com
E92. www.dstruct.net
E93. sm.ukrtel.net
E94. www.virustotal.com [aka virustotal.com]
E95. email.cz
E96. m-vz.webhop.me
E97. a0656203.xsph.ru
E98. a0322810.xsph.ru
E99. webhop.me
E100. xsph.ru
E101. lnk-upload.dodortar.ru
E102. dod-upload.dodortar.ru
E103. ln-upl.ddns.net
E104. d-upl.ddns.net
E105. up-dot.myftp.org
E106. up-lnk.myftp.org
E107. nitikora.ru
E108. dodortar.ru
E109. kopratiso.ru
E110. billyhot.ru
E111. bilitora.ru
E112. ddns.net
E113. ddnsking.com
E114. 3utilities.com
E115. bounceme.net
E116. freedynamicdns.net
E117. freedynamicdns.org
E118. gotdns.ch
E119. hopto.org
E120. myddns.me
E121. myftp.biz
E122. myftp.org
E123. myvnc.com
E124. onthewifi.com
E125. redirectme.net
E126. servebeer.com
E127. serveblog.net
E128. servecounterstrike.com
E129. serveftp.com
E130. servegame.com
E131. servehalflife.com
E132. servehttp.com
E133. serveirc.com
E134. serveminecraft.net
E135. servemp3.com
E136. servepics.com
E137. servequake.com
E138. sytes.net
E139. viewdns.net
E140. zapto.org
E141. noip.com
Mentions:
M1. "NO-IP" (Organization) — options: E1, E2, E3, E4 — ctx: S1
M2. "noip.com" (Domain) — options: E11, E12, E13, E14
M3. "m-vz.webhop.me" (Domain) — options: E21, E22, E23, E11
M4. "a0656203.xsph.ru" (Domain) — options: E27, E30, E31, E32
M5. "a0322810.xsph.ru" (Domain) — options: E39, E30, E40, E32
M6. "webhop.me" (Domain) — options: E23, E22, E11, E42
M7. "xsph.ru" (Domain) — options: E41, E30, E31, E32
M8. "lnk-upload.dodortar.ru" (Domain) — options: E41, E46, E37, E32
M9. "dod-upload.dodortar.ru" (Domain) — options: E41, E46, E37, E32
M10. "ln-upl.ddns.net" (Domain) — options: E11, E50, E19, E51
M11. "d-upl.ddns.net" (Domain) — options: E11, E50, E19, E51
M12. "up-dot.myftp.org" (Domain) — options: E11, E28, E56, E49
M13. "up-lnk.myftp.org" (Domain) — options: E11, E56, E44, E28
M14. "nitikora.ru" (Domain) — options: E41, E62, E32, E33
M15. "dodortar.ru" (Domain) — options: E41, E64, E37, E32
M16. "kopratiso.ru" (Domain) — options: E41, E60, E62, E32
M17. "billyhot.ru" (Domain) — options: E41, E30, E60, E32
M18. "bilitora.ru" (Domain) — options: E41, E47, E62, E32
M19. "ddns.net" (Domain) — options: E11, E50, E15, E44
M20. "ddnsking.com" (Domain) — options: E11, E50, E14, E69
M21. "3utilities.com" (Domain) — options: E16, E14, E42, E15
M22. "bounceme.net" (Domain) — options: E23, E52, E55, E44
M23. "freedynamicdns.net" (Domain) — options: E11, E52, E15, E53
M24. "freedynamicdns.org" (Domain) — options: E11, E57, E15, E27
M25. "gotdns.ch" (Domain) — options: E15, E11, E19, E16
M26. "hopto.org" (Domain) — options: E28, E41, E57, E70
M27. "myddns.me" (Domain) — options: E11, E19, E22, E15
M28. "myftp.biz" (Domain) — options: E44, E56, E11, E82
M29. "myftp.org" (Domain) — options: E11, E57, E56, E44
M30. "myvnc.com" (Domain) — options: E11, E80, E14, E44
M31. "onthewifi.com" (Domain) — options: E11, E14, E86, E19
M32. "redirectme.net" (Domain) — options: E88, E54, E52, E23
M33. "servebeer.com" (Domain) — options: E69, E72, E89, E14
M34. "serveblog.net" (Domain) — options: E44, E52, E89, E11
M35. "servecounterstrike.com" (Domain) — options: E11, E14, E89, E69
M36. "serveftp.com" (Domain) — options: E11, E72, E89, E14
M37. "servegame.com" (Domain) — options: E11, E14, E89, E33
M38. "servehalflife.com" (Domain) — options: E11, E14, E89, E23
M39. "servehttp.com" (Domain) — options: E11, E14, E89, E15
M40. "serveirc.com" (Domain) — options: E11, E72, E89, E14
M41. "serveminecraft.net" (Domain) — options: E11, E52, E89, E44
M42. "servemp3.com" (Domain) — options: E49, E72, E89, E14
M43. "servepics.com" (Domain) — options: E33, E72, E89, E14
M44. "servequake.com" (Domain) — options: E11, E14, E89, E15
M45. "sytes.net" (Domain) — options: E44, E52, E55, E11
M46. "viewdns.net" (Domain) — options: E19, E43, E52, E15
M47. "zapto.org" (Domain) — options: E41, E59, E28, E57

=== RESPONSE (5.4s, in 4035 / out 745 tok, STOP) ===
{"m":"M1","id":"NEW","g":"Dynamic DNS service provider"}
{"m":"M2","id":"NEW","g":null}
{"m":"M3","id":"NEW","g":null}
{"m":"M4","id":"NEW","g":null}
{"m":"M5","id":"NEW","g":null}
{"m":"M6","id":"NEW","g":null}
{"m":"M7","id":"NEW","g":null}
{"m":"M8","id":"NEW","g":null}
{"m":"M9","id":"NEW","g":null}
{"m":"M10","id":"NEW","g":null}
{"m":"M11","id":"NEW","g":null}
{"m":"M12","id":"NEW","g":null}
{"m":"M13","id":"NEW","g":null}
{"m":"M14","id":"NEW","g":null}
{"m":"M15","id":"NEW","g":null}
{"m":"M16","id":"NEW","g":null}
{"m":"M17","id":"NEW","g":null}
{"m":"M18","id":"NEW","g":null}
{"m":"M19","id":"NEW","g":null}
{"m":"M20","id":"NEW","g":null}
{"m":"M21","id":"NEW","g":null}
{"m":"M22","id":"NEW","g":null}
{"m":"M23","id":"NEW","g":null}
{"m":"M24","id":"NEW","g":null}
{"m":"M25","id":"NEW","g":null}
{"m":"M26","id":"NEW","g":null}
{"m":"M27","id":"NEW","g":null}
{"m":"M28","id":"NEW","g":null}
