=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Групою APT28 застосовано три експлойти для Roundcube (CVE-2020-35730, CVE-2021-44026, CVE-2020-12641) під час чергової шпигунської кампанії (CERT-UA#6805)" — evidence: S1. "ектронний лист з темою "Новини України", отриманий 12.05.2023 з адреси "ukraine_news@meta[.]ua", що містив контент-приманку у вигляді статті видання "NV" (nv.ua), а також експлойт для вразливості в Roundcube CVE-2020-35730 (XSS) і відповідний JavaScript-код, призначений для завантаження і запуску додаткових JavaScript-файлів: "q.js" та "e.js".</p><p>Серед згаданих файлів, "e.js" забезпечує створення фільтру "default filter" для перенаправлення вхідних електронних листів на сторонню електр" S2. "итів: адресної книги, значень сесії (Cookie) та електронних повідомлень жертви.&nbsp;В свою чергу "q.js" містить експлойт для вразливості в Roundcube CVE-2021-44026 (SQLi), за допомогою якого здійснюється ексфільтрація інформації з бази даних Roundcube.</p><p>Додатково виявлено програмний код "c.js", що містить експлойт для вразливості CVE-2020-12641 та забезпечує виконання команд на поштовому сервері.</p><p>Загалом, подібні електронні листи відправлено на адреси більше ніж 40 українських організа"
Entities:
E1. організації України [aka українські організації, Ukrainian organizations]
E2. державні організації України [aka Ukrainian government organizations]
E3. Медійні організації України
E4. державні органи України
E5. Фінансові установи України
E6. українські органи державної влади [aka Ukrainian government bodies, Органи державної влади, органи державної влади України, Government bodies of Ukraine]
E7. державні установи [aka державні установи України]
E8. організації
E9. енергетичний сектор України
E10. інформаційний простір України
E11. Mozilla
E12. Thunderbird [aka Mozilla Thunderbird]
E13. RomCom
E14. nginx
E15. LOADJUMP
E16. RoarBat
E17. dnsmasq
E18. LONEPAGE
E19. rundll32.exe
E20. DOWNEX
E21. CVE-2020-3757 [aka CVE-2020-3759]
E22. CVE-2020-3760
E23. CVE-2020-3110
E24. CVE-2020-0601
E25. CVE-2020-3255
E26. CVE-2020-3120
E27. CVE-2020-3118
E28. CVE-2020-0609
E29. CVE-2020-3283
E30. CVE-2020-3179
E31. CVE-2021-44228
E32. CVE-2021-26855
E33. CVE-2021-40444
E34. CVE-2021-34523
E35. CVE-2021-26857
E36. CVE-2021-27065
E37. CVE-2021-31207
E38. CVE-2021-26858
E39. CVE-2021-34473
E40. CVE-2020-3125
E41. CVE-2020-3741
E42. CVE-2021-32648
E43. CVE-2020-0611
E44. CVE-2020-3254
E45. CVE-2020-3196
E46. Internet Explorer
E47. junit.js
E48. IIS [aka IIS (Internet Information Services)]
E49. Заявка.js
E50. Информация.js
E51. Meris
E52. documents (5).js
E53. nmap
E54. z.ps1
E55. cscript.exe
E56. CVE-2020-35730
E57. CVE-2021-44026
E58. CVE-2020-12641
E59. e.js
E60. q.js
E61. c.js
E62. Roundcube
E63. golgba.com
E64. ln-upl.ddns.net
E65. world-opros.top
E66. e-wwg.com
E67. star-cz.ddns.net
E68. ddns.net
E69. bounceme.net
E70. arentuk.com
E71. alt-2cdn.net
E72. tools.nexcess.net
E73. dezword.com
E74. baidencult.com
E75. 3utilities.com
E76. baidenfree.com
E77. mitlubald.ru
E78. 4qzm.com
E79. plexbd.net
E80. dwservice.net [aka www.dwservice.net]
E81. podologaneri.it
E82. sytes.net
E83. ukr.net
E84. brunoboys.net
E85. ryomy.ru
E86. dcshost.net
E87. serveirc.com
E88. stormpredictor.host
E89. shormanz.com
E90. info-cip.org
E91. telegrad.info
E92. sec-t.info
E93. criticalosl.tech
E94. teleqram.info
E95. viewdns.info
E96. gov-ua.info
E97. tzi.info-cip.org
E98. cerv-gos.top
E99. fluoxi.com
E100. fudupdate.com
E101. foundpomoshi.com
E102. rresteraftin.com
E103. fan-guy.com
E104. servecounterstrike.com
E105. agreminj.com
E106. lonelyatthetop.com
E107. apeduze.com
E108. servegame.com
E109. zaliphone.com
E110. toknowall.com
E111. onedrive.live.com
E112. moskeet.com
E113. ddnsking.com
E114. apoxipodes.ru
E115. vuxuancuong.com
E116. gopoppers.com
E117. tronogram.com
E118. noip.com
E119. online.ua
E120. ocspdep.com
E121. myelectrive.com
E122. onthewifi.com
E123. kohhd.com
E124. www.virustotal.com [aka virustotal.com]
E125. portal.msrc.microsoft.com
E126. texlidia.com
E127. portal.nazk.gov.ua
E128. civh.ru
E129. ns.ns2-dns.com
E130. ns2-dns.com
E131. ns.ns3-dns.com
E132. account.associates
E133. ns3-dns.com
E134. nirsoft.me
E135. superboler.com
E136. ftp.artrsllc.com
E137. agrikoz.com
E138. naffalno.site
E139. nowpropitup.com
E140. ssttekstil.com
E141. ukrainebayra.com
E142. atl.ua
E143. metanat.ru
E144. dis.gov.ua
E145. mega.nz
E146. xbeta.online
E147. gov.ua
E148. pbank.co.ua
E149. me.gov.ua
E150. i.ua
E151. ncscc.gov.ua
E152. cert.gov.ua
E153. bank.gov.ua
E154. mail.gov.ua
E155. global-news-world.com
E156. aneria.net
E157. armpress.net
E158. ceriossl.info
