=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 242 canonicals"
Entities:
E1. telegraom.me
E2. elyslink.online
E3. xbeta.online
E4. chimeramarket24.online
E5. swinj.online
E6. chimeramarketplace.online
E7. telegram.uk.net
E8. chimeramarketplace24.online
E9. telegrad.info
E10. telegram-wap.me
E11. teiegram1.me
E12. 7tt.me
E13. i1t.me
E14. telegram-mobile.ru
E15. nirsoft.me
E16. telegram-wed.id
E17. cloue.link
E18. telecomds.online
E19. grabify.link
E20. jimloamfilling.online
E21. truffa.online
E22. tg.cyou
E23. comperssw.fun
E24. duhodown.fun
E25. apitelegram.org
E26. aleimportadora.net
E27. telegram-click.ru
E28. krasavchikoleg.net
E29. nafillimonilini.net
E30. oon24opros.yolasite.com
E31. ukrainecenter.yolasite.com
E32. pomoshnikrbx.site
E33. anotepad.com
E34. aid.edopomoga.gov.ua
E35. ansaigon.com
E36. teleqram.info
E37. gov-ua.info
E38. sec-t.info
E39. president.gov.ua.administration.vakansiyi.administration.president.gov-ua.info
E40. tsecurity.sbs
E41. telsec.org
E42. telegram.org.security.ohsxy.com
E43. cloudlnk.org
E44. security-check.telegram.org.ohsxy.com
E45. teierqam.org
E46. iplogger.com
E47. freeusadatingxxx.online
E48. tg-me.pro
E49. tgeo.link
E50. teiergam.com
E51. unayt.ru
E52. kismamabeforyougo.ru
E53. t-me.io
E54. tronogram.com
E55. infomailforyoumak.ru
E56. telegram.account.associates
E57. webk-telegram.icu
E58. vljsport.eu.com
E59. protonmail.com
E60. bahouholdings.com
E61. hardingtwominuterule.com
E62. tme-id.com
E63. tme-id.ru
E64. id.court.gov.ua
E65. 0-t.me
E66. t--t.me
E67. 4-t.me
E68. golosdruga.ru
E69. abracodabugalimpopo.ru
E70. tiloraso.ru
E71. coudzoom.ru
E72. againandagaingmorder.ru
E73. jokoloret.ru
E74. cafeteriumups.ru
E75. edopomogaonline.yolasite.com
E76. vote-me.top
E77. uadop.webflow.io
E78. me-cloud.link
E79. telegram.org.t.me-cloud.link
E80. funedunet.com
E81. syncthing.net
E82. minijusfil.com
E83. webk-telegram.sbs
E84. webz-telegram.sbs
E85. crash.syncthing.net
E86. telesecurity.org
E87. vertusupportjk.org
E88. boddyshow.fun
E89. hillespostelnm.eu
E90. napropertyhub.eu
E91. zaikadoctor.ru
E92. mygraphbook.com
E93. telegram.org-a0dk3dm91iu.tgeo.link
E94. claud.in
E95. ns.ns2-dns.com [aka ns2-dns.com]
E96. star-cz.ddns.net
E97. single-office.ddns.net
E98. wpc-v0cdn.org
E99. ns.ns3-dns.com [aka ns3-dns.com]
E100. nais-gov.com
E101. barnsertr.com
E102. sansaispa.com
E103. e-nas.firstcloudit.com
E104. bloockflad.pw
E105. compensationukr.com
E106. plengreg.fun
E107. jokotras.ru
E108. milotrad.ru
E109. zaikaopentra.com.ru
E110. tvpharm.ru
E111. telegram.org-a0dm91dk31i.cloue.link
E112. chimera-shop24.online
E113. alt-2cdn.net
E114. data.syncthing.net
E115. ipv6-wpnc.net
E116. rozsenich.com
E117. tortunas.ru
E118. potrakit.ru
E119. ohsxy.com
E120. erinekenney.com
E121. 00-l.ru
E122. kissmafiabeforyoudied.ru
E123. steycools.pw
Mentions:
M1. "telecomds.online" (Domain) — options: E1, E2, E3, E4
M2. "telegraom.me" (Domain) — options: E10, E11, E12, E9
M3. "elyslink.online" (Domain) — options: E17, E5, E3, E4
M4. "xbeta.online" (Domain) — options: E2, E5, E21, E4
M5. "swinj.online" (Domain) — options: E2, E3, E4, E23
M6. "telegram.uk.net" (Domain) — options: E16, E11, E25, E26
M7. "edopomogaonline.yolasite.com" (Domain) — options: E2, E30, E31, E32
M8. "telegrad.info" (Domain) — options: E36, E16, E7, E37
M9. "telesecurity.org" (Domain) — options: E40, E41, E42, E25
M10. "jimloamfilling.online" (Domain) — options: E5, E2, E4, E3
M11. "tg.cyou" (Domain) — options: E48, E49, E50, E51
M12. "truffa.online" (Domain) — options: E5, E3, E4, E2
M13. "telegram-mobile.ru" (Domain) — options: E27, E10, E7, E16
M14. "eurotelle.com" (Domain) — options: E58, E33, E59, E50
