=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 168 canonicals"
Entities:
E1. ryomy.ru
E2. erwini.ru
E3. prefer.jokotras.ru
E4. tortunas.ru
E5. milotrad.ru
E6. acteran.ru
E7. tiloraso.ru
E8. potrakit.ru
E9. apoxipodes.ru
E10. jokotras.ru
E11. circulas.ru
E12. enterwords.ru
E13. candidar.ru
E14. mulleti.ru
E15. emterox.ru
E16. varanasiclick.ru
E17. omyce.ru
E18. app.any.run
E19. nx0.ru
E20. winscp.net
E21. dipteran.online
E22. email.cz
E23. proxylogon.com
E24. product2020.mrbasic.com
E25. ticket.cyberpolice.gov.ua
E26. graphiuma.online
E27. parodadoca.ru
E28. rmssrv2.ru
E29. rmssrv3.ru
E30. forkscenter.fr
E31. ns3-dns.com
E32. rmssrv4.ru
E33. docs.microsoft.com
E34. answers.microsoft.com
E35. surname192.temp.swtest.ru
E36. tridiuma.ru
E37. pastebin.com
E38. xbeta.online
E39. ukr.net
E40. smm2021.net
E41. alt-2cdn.net
E42. sm.ukrtel.net
E43. dyndns.com
E44. biengrandir37.com
E45. giraffe-tour.ru
E46. cert.gov.ua
E47. pbank.co.ua
E48. gov.ua
E49. bank.gov.ua
E50. antination.kherson.ua
E51. me.gov.ua
E52. edisk.ukr.net
E53. gov-ua.info
E54. dsszzi.gov.ua
E55. nirsoft.me
E56. api.dev-com.sc
E57. cuckoo.cert.ee
E58. scorpiones.online
E59. cdn.discordapp.com
E60. airmauritiusticket.com
E61. drive.google.com
E62. eumr.site
E63. ansaigon.com
E64. webknives.com
E65. badpdf.com
E66. motocheck.in
E67. fernandoherrera.me
E68. ereservices.com
E69. cautionphenomenon.co.kr
E70. chinagrill.co
E71. chernilis.win
E72. photobucket.com
E73. melitaeas.online
E74. ns2-dns.com
E75. zuh3vcyskd4gipkm.onion [aka cryptsen7fo43rr6.onion]
E76. gmail.com
E77. microsoft.com
E78. ns.ns2-dns.com
E79. ns.ns3-dns.com
E80. netbin.host
E81. cs1.wpc-v0cdn.org
E82. ao3.hmgo.pw
E83. 1000020.xyz
E84. 1833.site
E85. zp.ukrtel.net
E86. fex.net
E87. vuonorganic.com
E88. panelunregistertle-348.frge.io
E89. analyze.intezer.com
E90. ceronamtinclube.icu
E91. arcor.de
E92. toknowall.com
E93. www.virustotal.com [aka virustotal.com]
E94. i.ua
E95. 185.193.38.78
E96. melitaes.online
E97. social.technet.microsoft.com
E98. coagula.online
E99. military-ukraine.site
E100. ipv6-wpnc.net
E101. www.dstruct.net
E102. 8003659902.site
E103. product-reviews.website
E104. widget.forum-pokemon.com
E105. chubanomania.icu
E106. wpc-v0cdn.org
E107. dishsouq.com
E108. nais-gov.org
E109. gordon6.hopto.org
E110. mail.nais-gov.org
E111. myelectrive.com
E112. gobits3.com
E113. nais-gov.com
E114. www.hybrid-analysis.com
E115. www.symantec.com
E116. www.michiganmastereltiempo.com
E117. www.msftncsi.com
E118. site-1.work
E119. phymateus.online
E120. barbatus.online
E121. sardanal.online
E122. evil.server.com
E123. military-ukraine.online
E124. getmod.host
E125. cve.mitre.org
Mentions:
M1. "jokotras.ru" (Domain) — options: E1, E2, E3, E4
M2. "prefer.jokotras.ru" (Domain) — options: E4, E10, E11, E12
M3. "tiloraso.ru" (Domain) — options: E4, E1, E5, E6
M4. "milotrad.ru" (Domain) — options: E1, E14, E10, E6
M5. "potrakit.ru" (Domain) — options: E6, E1, E10, E15
M6. "tortunas.ru" (Domain) — options: E6, E11, E10, E2
M7. "ryomy.ru" (Domain) — options: E2, E6, E17, E9
M8. "erwini.ru" (Domain) — options: E1, E6, E14, E9
M9. "nx0.ru" (Domain) — options: E15, E1, E6, E17
M10. "acteran.ru" (Domain) — options: E2, E15, E21, E9
M11. "emterox.ru" (Domain) — options: E6, E12, E1, E9
M12. "circulas.ru" (Domain) — options: E4, E10, E6, E2
M13. "omyce.ru" (Domain) — options: E1, E6, E2, E9
M14. "apoxipodes.ru" (Domain) — options: E17, E6, E10, E2
M15. "mulleti.ru" (Domain) — options: E2, E6, E1, E9
M16. "varanasiclick.ru" (Domain) — options: E6, E4, E2, E9
