=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 612 canonicals"
Entities:
E1. githubusercontent.com
E2. filebin.net
E3. gbshost.org
E4. beget.com
E5. settusfree.org.uk
E6. afi-ukraine.org
E7. petition-president.org.ua
E8. raw.githubusercontent.com
E9. ukraine-geroi.org.ua
E10. nk.1qw.us
E11. us-west-1.ukrtelecom.cloud
E12. ukraero.space
E13. kew.1qw.us
E14. eu-central-1.ukrtelecom.cloud
E15. ret.6bc.us
E16. ukr-malvy.life
E17. reg.ru
E18. malvy-vote.life [aka vote-malvy.life]
E19. redirecl.com
E20. imgurl.ir
E21. malvy-ukraine.info [aka ukraine-malvy.info]
E22. balet-ua.info
E23. yemmyusa.com
E24. github.com
E25. odwebp.com [aka svc.odwebp.com]
E26. rafraystore.ru
E27. s3-nsa.cloud
E28. adobeprotectcheck.com
E29. s3-esa.cloud
E30. annualgieconferenceinmunich2024.com
E31. helpdesk.katolik.bydgoszcz.pl
E32. uaccsnet.com
E33. ukrstnet.com
E34. gov-pl.cloud
E35. unetset.com
E36. mil-pl.cloud
E37. trust-certificate.net
E38. 8161.uk
E39. petition-presidenta.org.ua
E40. bitbucket.org
E41. petition-presidenty.org.ua
E42. lauramcinerney.shop
E43. ndkgk.co.jp
E44. grassemenwji.shop
E45. god-le.net
E46. grandpri-malunki-ua.eu
E47. balet-ua.us
E48. balet-me.us
E49. rpc.1qw.us
E50. uasystnet.com
E51. ukrsets.com
E52. ukrsett.com
E53. miecznet.com.pl
E54. s3-spacex.cloud
E55. ukraine-barvy.life
E56. s3-rackspace.cloud
E57. ukraine-charu.life
E58. superops.ai
E59. milgov.site
E60. cancel-auth.site
E61. confirmphone.site
E62. qweasdzx.site
E63. teneta.site
E64. geroiukr.site
E65. get.sign-cert.com
E66. nlightusa.com
E67. get.god-le.com
E68. vikompalion.ru
E69. kew.8df.us
E70. cert.gov.ua
E71. drive.redirecl.com
E72. device.redirecl.com
E73. dhl.redirecl.com
E74. protectraid.com
E75. agentsuperpupervinil.ru
E76. konkurs-vesna24.ru
E77. ccbaminumpot.ru
E78. monopoliafromyou.ru
E79. picwalldoor.ru
E80. enrollmentdm.com
E81. let-me.life
E82. balerina.life
E83. newyorktlimes.life
E84. remala.id
E85. balet-ua.life
E86. primaballerina.life
E87. maluvani-ua.eu
E88. hudojnik-malunki-uah.eu [aka hudojnik-malunki.eu, malunki-hudojnik.eu, malunki-ua.eu, malunki-uah.eu]
E89. konkurs-maluvani-ua.eu [aka maluvani-konkurs-ua.eu]
E90. malunki-golos-uah.eu
E91. konkursi-uah.eu
E92. malunki-ditini-uah.eu
E93. malunki-uah-hudojnik.eu
E94. konkursy-uah.eu
E95. malunki-deti-uah.eu
E96. qaz.im
E97. qaz.is
E98. mails.support
E99. winupmirror.support
E100. maluvani-uah.eu
E101. malunki-golos-ua.eu
E102. malunki-ditin-ua.eu [aka malunki-ditini-ua.eu, malunki-ditin-uah.eu]
E103. malunki-deti-ua.eu
E104. balet-ua.eu
E105. baletki-ua.eu
E106. talanti-ua.mom
E107. cancel-action.site
E108. golos-ukr.info
E109. balerina.info
E110. ivanti.account-viewer.com
E111. filedn.eu
E112. documentreader.net
E113. mail-gov.net
E114. gbshost.net
E115. syncthing.net
E116. netman.servehttp.com
E117. qsrgh.site [aka www.qsrgh.site]
E118. kropyva.site
E119. minef.eu
E120. deti.eu
E121. hudojnik.eu [aka hudojniku.eu]
E122. baletki.eu
E123. deti-bi.eu
E124. i-like-hokku.co.ua
E125. hudojnik-diti.eu
E126. sc-hudojnik.eu
E127. hudojnik-dsm.eu
E128. hudojnik-ua.eu
E129. prozorro.online
E130. hudojnik-dst.eu
E131. golos-ua-hudojniku.eu [aka golosua-hudojniku.eu]
E132. golosa-hudojniku-ua.eu
E133. golos-hudojniku.eu
E134. golosa-hudojniku-uah.eu
E135. golosa-hudojnikuua.eu
E136. golosa-uahhudojniku.eu [aka golosa-uahugojniku.eu, golosa-uahudojniku.eu]
E137. grafix.ne.jp
E138. anotepad.com
E139. vote-telegram.eu
E140. shorturl.at
E141. vote-chary-telegram.info
E142. crash.syncthing.net
E143. baletkiev.pics
