=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 941 canonicals"
Entities:
E1. nbu.gov.ua
E2. dis.gov.ua
E3. gov.ua
E4. bank.gov.ua
E5. trnvk.gov.ua
E6. bdf.gov.ua
E7. ncscc.gov.ua
E8. me.gov.ua
E9. cert.gov.ua
E10. mail.aet.in.ua
E11. atl.ua
E12. autodoka.com.ua
E13. acteran.ru
E14. listen.servemp3.com
E15. i.ua
E16. mail.gov.ua
E17. dsszzi.gov.ua
E18. rnbo.gov.ua
E19. ndibk.gov.ua
E20. aten.ua
E21. mill.co.ua
E22. chinagrill.co
E23. dsns.com.ua
E24. ipapi.co
E25. nv.ua
E26. humanitarydp.ug
E27. marmaris.com.ua
E28. military-ukraine.online
E29. post.mil.gov.ua
E30. mta-ukr.net
E31. lamazone.site
E32. 1833.site
E33. client-ukr.net
E34. ukrainecenter.yolasite.com
E35. 8003659902.site
E36. military-ukraine.site
E37. 3utilities.com
E38. uabayrakua.com
E39. 4qzm.com
E40. agreminj.com
E41. t-online.de
E42. gondurasonline.ug
E43. melitaeas.online [aka melitaes.online]
E44. barbatus.online
E45. dipteran.online
E46. online.ua
E47. mil.ua.aspx.io
E48. elyslink.online
E49. edisk.ukr.net
E50. delta.mil.gov.ua.delta-storages.com
E51. metanat.ru
E52. mega.nz
E53. metallergroup.ru
E54. mail.numina.md
E55. mail-gov-ua.frge.io
E56. mayak.dp.ua
E57. mail-ukr.net
E58. claud.in
E59. supermarioprohozhdenie.ru
E60. admis.club
E61. zp.ukrtel.net
E62. 0-ukr.net
E63. ukr.net.frge.io
E64. ukr-net-downloadfile.su
E65. 1-ukr.net
E66. sm.ukrtel.net
E67. 2fa-ukr.net
E68. v-ukr.net
E69. outlook.com
E70. toloka.to
E71. dodortar.ru
E72. edopomogaonline.yolasite.com
E73. oon24opros.yolasite.com
E74. euro24dopomoga0.yolasite.com
E75. oon24oprosy.yolasite.com
E76. pbank.co.ua
E77. ukrainianworldcongress.info
E78. apitelegram.org
E79. ukrainebayra.com
E80. cloudlnk.org
E81. armpress.net
E82. combinedresidency.org
E83. meta.ua
E84. atlantar.ru
E85. telegram.uk.net
E86. arelyevennot.top
E87. arminext.com
E88. blopik.com
E89. nx0.ru
E90. compensationukr.com
E91. ec-compensation.xyz
E92. compensations-ukrain.bar
E93. ua-compensation.top
E94. tax-compensation.xyz
E95. arentuk.com
E96. uacompensation.xyz
E97. lnk.ukr-compens.xyz
E98. uam-compensation.xyz
E99. www.msp.gov.ua [aka msp.gov.ua]
E100. dwservice.net [aka www.dwservice.net]
E101. www.dropbox.com
E102. www.dstruct.net
E103. cmx-ukr.net
E104. m1-ukr.net
E105. accounts.cm1-ukr.net
E106. ukr.net
E107. droopily.eu
E108. zalamafiapopcultur.eu
E109. kissmafiabeforyoudied.eu
E110. hillespostelnm.eu
E111. napropertyhub.eu
E112. varanasiclick.ru
E113. vdsina.ru
E114. advanced-ip-scanners.com
E115. ticket.cyberpolice.gov.ua
E116. private-ukr.net
E117. africathrillthes.pw
E118. wasabiwallet.online
E119. bloockflad.pw
E120. next24.gg-pay.me
E121. mulleti.ru
E122. off.ukr-compens.xyz
E123. compensation-ukr.com
E124. uatax-compens.xyz [aka uatax-compenses.xyz]
E125. pay.uacompensation.xyz
E126. ua-taxes-compens.xyz
E127. ua-compensations.xyz
E128. nais-gov.com
E129. mail.nais-gov.org
E130. ais-gos.top
E131. cisa.gov
E132. tg.cyou
E133. chis-gos.top
E134. civh.ru
E135. jokoloret.ru
E136. kopratiso.ru
E137. aleimportadora.net
E138. serveblog.net
E139. aneria.net
E140. shikjil.com
E141. pomoshnikrbx.site
E142. cm1-ukr.net
E143. btx-ukr.net
E144. dx-ukr.net
E145. cca-ukr.net
E146. pay.ukr-compens.xyz
E147. tax-compenses.xyz
E148. sb-ukr.net
E149. se-ukr.net
E150. mst-ukr.net
E151. hilr.ru
E152. xsph.ru
E153. abracodabugalimpopo.ru
E154. circulas.ru
E155. humanitarydp.ru
E156. againandagaingmorder.ru
E157. dublebomber.ru
E158. moyabelorussiya.by
E159. super777bomba.ru
E160. propertyminsk.by
E161. restmantra.by
E162. teleqram.info
E163. ceriossl.info
E164. telegram-wed.id
E165. telegra.ph
E166. telegraom.me
E167. viewdns.info
E168. myua-compensations.xyz
E169. ddns.net
E170. nabufixservice.name
E171. ser-ukr.net
E172. finformservice.com
E173. serveirc.com
E174. ereservices.com
E175. tortunas.ru
E176. milotrad.ru
E177. nitikora.ru
E178. ardeas.ru
E179. nxkad.ru
E180. jokotras.ru
E181. blinkij.com
E182. akaluij.com
E183. apokil.com
E184. baidencult.com
E185. email.cz
E186. fast-mail.site
E187. infomailforyoumak.ru
E188. mail-box.site
E189. gmail.com
