=== REQUEST (gemini gemini-3.7-flash) ===
--- sampling ---
{"temperature":0}
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Кібератака групи UAC-0010 (Armageddon) на державні організації України (CERT-UA#4434)" — evidence: S1. "UAC-0010 (Armageddon).</p><p>З метою забезпечення відмовостійкості своєї інфраструктури, члени групи, серед іншого, використовують Dynamic DNS сервіс NO-IP. Звертаємо увагу на доцільність моніторингу з'єднань з доменними іменами, що використовуються згаданим сервісом. Перелік безкоштовних доменних імен н"
Entities:
E1. Cloudflare Inc. [aka Cloudflare]
E2. HostIQ
E3. 360Netlab
E4. Usoris
E5. AS37148 (нігерійський оператор телекомунікацій)
E6. Rapid7
E7. Mozilla
E8. Adobe
E9. WordFence
E10. Fortinet
E11. dyndns.com
E12. gmail.com
E13. nowpropitup.com
E14. airmauritiusticket.com
E15. ns2-dns.com
E16. gobits3.com
E17. cdn.discordapp.com
E18. ansaigon.com
E19. ns.ns2-dns.com
E20. badpdf.com
E21. eoiw8lhjwuc3sh2.m.pipedream.net
E22. fernandoherrera.me
E23. nirsoft.me
E24. eo9p1d2bfmioiot.m.pipedream.net
E25. eoy7zvsvn6xfcmy.m.pipedream.net
E26. mx-out-14.default-host.net
E27. product-reviews.website
E28. me.gov.ua
E29. ao3.hmgo.pw
E30. gordon6.hopto.org
E31. co87972.tmweb.ru
E32. acteran.ru
E33. nx0.ru
E34. surname192.temp.swtest.ru
E35. apoxipodes.ru
E36. omyce.ru
E37. rmssrv3.ru
E38. candidar.ru
E39. ryomy.ru
E40. rmssrv2.ru
E41. 1000020.xyz
E42. cryptsen7fo43rr6.onion.cab
E43. cryptsen7fo43rr6.onion.to
E44. webknives.com
E45. winscp.net
E46. rmssrv4.ru
E47. parodadoca.ru
E48. milotrad.ru
E49. expeditionabroad.com
E50. single-office.ddns.net
E51. alt-2cdn.net
E52. fex.net
E53. ns.ns3-dns.com
E54. smm2021.net
E55. edisk.ukr.net
E56. optica-rd.myftp.biz
E57. drive.google.com
E58. telsec.org
E59. cve.mitre.org
E60. nais-gov.org
E61. potrakit.ru
E62. mail.nais-gov.org
E63. wpc-v0cdn.org
E64. tiloraso.ru
E65. giraffe-tour.ru
E66. tridiuma.ru
E67. tortunas.ru
E68. jokotras.ru
E69. portal.nazk.gov.ua
E70. portal.nazk.org.ua
E71. president.gov.ua.administration.vakansiyi.administration.president.gov-ua.info
E72. s8.h.mchost.ru
E73. photobucket.com
E74. ukr.net
E75. ns3-dns.com
E76. biengrandir37.com
E77. ereservices.com
E78. docs.microsoft.com
E79. melitaes.online
E80. www.hybrid-analysis.com
E81. ftp.thefoodplace.net
E82. cs1.wpc-v0cdn.org
E83. nais-gov.com [aka nais-gov.org]
E84. gov.ua
E85. dipteran.online
E86. aviatorssm.bit
E87. melitaeas.online [aka melitaes.online]
E88. myelectrive.com
E89. phymateus.online
E90. www.symantec.com
E91. vuonorganic.com
E92. www.msftncsi.com
E93. thestoreroomnsw.com.au
E94. api.dev-com.sc
E95. gangbang6.monster
E96. evil.server.com
E97. product2020.mrbasic.com
E98. thaibbqculver.com
E99. erwini.ru
E100. panelunregistertle-348.frge.io
E101. www.dstruct.net
E102. security-check.telegram.org.ohsxy.com
E103. sm.ukrtel.net [aka zp.ukrtel.net]
E104. ipv6-wpnc.net
E105. m-vz.webhop.me
E106. a0656203.xsph.ru
E107. a0322810.xsph.ru
E108. webhop.me
E109. xsph.ru
E110. lnk-upload.dodortar.ru
E111. dod-upload.dodortar.ru
E112. ln-upl.ddns.net
E113. d-upl.ddns.net
E114. up-dot.myftp.org
E115. up-lnk.myftp.org
E116. nitikora.ru
E117. dodortar.ru
E118. kopratiso.ru
E119. billyhot.ru
E120. bilitora.ru
E121. ddns.net
E122. ddnsking.com
E123. 3utilities.com
E124. bounceme.net
E125. freedynamicdns.net
E126. freedynamicdns.org
E127. gotdns.ch
E128. hopto.org
E129. myddns.me
E130. myftp.biz
E131. myftp.org
E132. myvnc.com
E133. onthewifi.com
E134. redirectme.net
E135. servebeer.com
E136. serveblog.net
E137. servecounterstrike.com
E138. serveftp.com
E139. servegame.com
E140. servehalflife.com
E141. servehttp.com
E142. serveirc.com
E143. serveminecraft.net
E144. servemp3.com
E145. servepics.com
E146. servequake.com
E147. sytes.net
E148. viewdns.net
E149. zapto.org
E150. noip.com
Mentions:
M1. "NO-IP" (Organization) — options: E1, E2, E3, E4 — ctx: S1
M2. "noip.com" (Domain) — options: E11, E12, E13, E14
M3. "m-vz.webhop.me" (Domain) — options: E21, E22, E23, E24
M4. "a0656203.xsph.ru" (Domain) — options: E31, E32, E33, E34
M5. "a0322810.xsph.ru" (Domain) — options: E31, E32, E41, E34
M6. "webhop.me" (Domain) — options: E42, E22, E23, E43
M7. "xsph.ru" (Domain) — options: E46, E32, E33, E37
M8. "lnk-upload.dodortar.ru" (Domain) — options: E31, E47, E38, E32
M9. "dod-upload.dodortar.ru" (Domain) — options: E34, E47, E38, E32
M10. "ln-upl.ddns.net" (Domain) — options: E21, E50, E51, E19
M11. "d-upl.ddns.net" (Domain) — options: E50, E11, E51, E19
M12. "up-dot.myftp.org" (Domain) — options: E24, E30, E56, E57
M13. "up-lnk.myftp.org" (Domain) — options: E56, E57, E30, E58
M14. "nitikora.ru" (Domain) — options: E31, E64, E32, E65
M15. "dodortar.ru" (Domain) — options: E67, E68, E38, E32
M16. "kopratiso.ru" (Domain) — options: E31, E61, E64, E32
M17. "billyhot.ru" (Domain) — options: E31, E32, E61, E40
M18. "bilitora.ru" (Domain) — options: E31, E48, E64, E32
M19. "ddns.net" (Domain) — options: E11, E50, E45, E19
M20. "ddnsking.com" (Domain) — options: E11, E50, E14, E15
M21. "3utilities.com" (Domain) — options: E16, E14, E44, E34
M22. "bounceme.net" (Domain) — options: E24, E52, E74, E21
M23. "freedynamicdns.net" (Domain) — options: E11, E52, E50, E54
M24. "freedynamicdns.org" (Domain) — options: E11, E58, E15, E59
M25. "gotdns.ch" (Domain) — options: E11, E19, E15, E16
M26. "hopto.org" (Domain) — options: E30, E35, E58, E39
M27. "myddns.me" (Domain) — options: E11, E23, E22, E50
M28. "myftp.biz" (Domain) — options: E56, E11, E86, E81
M29. "myftp.org" (Domain) — options: E56, E58, E11, E59
M30. "myvnc.com" (Domain) — options: E11, E88, E14, E46
M31. "onthewifi.com" (Domain) — options: E34, E14, E92, E31
M32. "redirectme.net" (Domain) — options: E95, E55, E52, E21
M33. "servebeer.com" (Domain) — options: E34, E77, E96, E14
M34. "serveblog.net" (Domain) — options: E78, E52, E96, E32
M35. "servecounterstrike.com" (Domain) — options: E80, E14, E96, E34
M36. "serveftp.com" (Domain) — options: E11, E77, E96, E14
M37. "servegame.com" (Domain) — options: E100, E14, E96, E36
M38. "servehalflife.com" (Domain) — options: E34, E14, E96, E31
M39. "servehttp.com" (Domain) — options: E57, E14, E96, E21
M40. "serveirc.com" (Domain) — options: E40, E77, E96, E14
M41. "serveminecraft.net" (Domain) — options: E36, E52, E96, E100
M42. "servemp3.com" (Domain) — options: E57, E77, E96, E14
M43. "servepics.com" (Domain) — options: E73, E77, E96, E14
M44. "servequake.com" (Domain) — options: E46, E14, E96, E40
M45. "sytes.net" (Domain) — options: E11, E52, E74, E80
M46. "viewdns.net" (Domain) — options: E15, E104, E19, E52
M47. "zapto.org" (Domain) — options: E30, E83, E58, E11

=== RESPONSE (4.7s, in 4171 / out 744 tok, STOP) ===
{"m":"M1","id":"NEW","g":"Dynamic DNS service"}
{"m":"M2","id":"NEW","g":null}
{"m":"M3","id":"NEW","g":null}
{"m":"M4","id":"NEW","g":null}
{"m":"M5","id":"NEW","g":null}
{"m":"M6","id":"NEW","g":null}
{"m":"M7","id":"NEW","g":null}
{"m":"M8","id":"NEW","g":null}
{"m":"M9","id":"NEW","g":null}
{"m":"M10","id":"NEW","g":null}
{"m":"M11","id":"NEW","g":null}
{"m":"M12","id":"NEW","g":null}
{"m":"M13","id":"NEW","g":null}
{"m":"M14","id":"NEW","g":null}
{"m":"M15","id":"NEW","g":null}
{"m":"M16","id":"NEW","g":null}
{"m":"M17","id":"NEW","g":null}
{"m":"M18","id":"NEW","g":null}
{"m":"M19","id":"NEW","g":null}
{"m":"M20","id":"NEW","g":null}
{"m":"M21","id":"NEW","g":null}
{"m":"M22","id":"NEW","g":null}
{"m":"M23","id":"NEW","g":null}
{"m":"M24","id":"NEW","g":null}
{"m":"M25","id":"NEW","g":null}
{"m":"M26","id":"NEW","g":null}
{"m":"M27","id":"NEW","g":null}
{"m":"M28","id":"NEW","g":null}
{"m":"M29","id":"NEW","g":null}
{"m":"M30","id":"NEW","g":null}
{"m":"M31","id":"NEW","g":null}
{"m":"M32","id":"NEW","g":null}
{"m":"M33","id":"NEW","g":null}
{"m":"M34","id":"NEW","g":null}
{"m":"M35","id":"NEW","g":null}
{"m":"M36","id":"NEW","g":null}
{"m":"M37","id":"NEW","g":null}
{"m":"M38","id":"NEW","g":null}
{"m":"M39","id":"NEW","g":null}
{"m":"M40","id":"NEW","g":null}
{"m":"M41","id":"NEW","g":null}
{"m":"M42","id":"NEW","g":null}
{"m":"M43","id":"NEW","g":null}
{"m":"M44","id":"NEW","g":null}
{"m":"M45","id":"NEW","g":null}
{"m":"M46","id":"NEW","g":null}
{"m":"M47","id":"NEW","g":null}
