=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 708 canonicals"
Entities:
E1. ICYWELL
E2. KNUCKLETOUCH
E3. AWFULSHRED
E4. python-requests
E5. WRONGSENS
E6. LUMMASTEALER
E7. Invoke-WebRequest
E8. KAPEKA
E9. OUTSTEEL
E10. CLOGFLAG
E11. rfusclient.exe
E12. SDelete
E13. GraphSteel
E14. ARGUEPATCH
E15. HijackLoader
E16. LightRope_v2
E17. AutoIt [aka AutoIt3]
E18. STILLARCH
E19. IcedID
E20. MAGICSPELL
E21. Log4Shell
E22. Icloud.exe
E23. P0wnyShell
E24. ProxyShell
E25. Windows_Security_Update_HxW
E26. SPECTR.Shell
E27. WHITECAT
E28. ROTTENPOTATONG
E29. pfSense
E30. MerlinAgent
E31. write.exe
E32. DWAgent
E33. OpenSSH
E34. DOWNEX
E35. CAPIBAR
E36. KAZUAR
E37. Kometa Browser
E38. GAMEDAY
E39. HoaxApe
E40. DolphinCape
E41. FateGrab
E42. APERETIF
E43. LOADSHORT
E44. LoadEdge
E45. LOADERX3
E46. loader.exe
E47. LOADJUMP
E48. LOADNEST
E49. HeaderTip
E50. GammaLoad [aka GammaLoad.PS1]
E51. LOGPIE
E52. OCEANMAP
E53. BankBot
E54. Bisonal
E55. BinDiff
E56. BZIP
E57. Hashcat
E58. IDAT
E59. GreyEnergy
E60. REVERSESSH
E61. PIVOTNACCI
E62. PowerShell [aka powershell.exe, PowerShell (powershell.exe)]
E63. Webmin
E64. QUEUESEED
E65. SmartAssembly [aka SmartAssembly .NET]
E66. regsvr32.exe
E67. RegAsm.exe
E68. Rclone
E69. EdgeOS
E70. sgegkseg23mjl.exe
E71. GammaSteel.NET
E72. BIASBOAT
E73. hostname
E74. BootPatch
E75. PIEJET
E76. ViottoKeylogger
E77. PicassoLoader
E78. SourSnack
E79. GHOSTPULSE
E80. SEAGLOW
E81. POSEIDON
E82. GOST (Go Simple Tunnel)
E83. Gozi
E84. TALESHOT
E85. news.bat
E86. DELTA
E87. Meterpreter
E88. icacls.exe
E89. Skype.exe
E90. ZeroWipe
E91. StealDeal
E92. Telegram
E93. NTDSDumpEx
E94. THUMBCHOP
E95. WhisperKill
E96. Chipset Device Software
E97. TUSC
E98. MS Excel [aka Microsoft Excel]
E99. GZIP
E100. SPECTR.PluginLoader
E101. AppLocker
E102. Processor Graphics
E103. Burp Suite
E104. Indy Library
E105. SPECTR.Installer
E106. FTP Commander
E107. IceDragon
E108. QUOTATION N0AB.doc
E109. SPECTR.Spectator2
E110. SMB протокол
E111. junit.js
E112. JUICYPOTATONG
E113. Microsoft Authenticator
E114. c.js
E115. documents (5).js
E116. e.js
E117. Заявка.js
E118. QuickMute
E119. Информация.js
E120. BrownFlood
E121. QuasarRAT [aka QUASAR RAT]
E122. Snort
E123. Propagate
E124. 966449.exe
E125. CyBOX
E126. ./decpded_page.html
E127. TRYxaEbX [aka TRYxaEbX.ps1]
E128. Linux
E129. ./перевірити діяльність.html
E130. Windows_Security_Update_xBQ
E131. Outlook [aka Microsoft Outlook]
E132. ./рахунки ООО Спецстрой.xls.js
E133. LightRope
E134. GoDownloader
E135. Troldesh/Shade [aka Troldesh, Shade, XTBL, Trojan.Encoder.858]
E136. jDownloader
E137. shahed.ppsx
E138. Microsoft Defender [aka Windows Defender]
E139. Adobe Acrobat Reader [aka Adobe Reader DC]
E140. LOADGRIP
E141. TAILJUMP
E142. CredPump
E143. Trillian
E144. takeown
E145. MeduzaStealer
E146. JesterStealer
E147. MarsStealer
E148. STEELHOOK
E149. LiteManager
E150. OpenPGP [aka PGP]
E151. PhpMyAdmin
E152. Apache
E153. PhotoMetadataHandler.dll
E154. REGEORG.NEO
E155. Python
E156. SRP
E157. Dante
E158. Nuclear Terrorism A Very Real Threat.rtf
E159. ORCSHRED
E160. Microsoft Exchange Server [aka MS Exchange]
E161. CVE-2018-0854
E162. CVE-2017-14491
E163. CVE-2017-17688
E164. CVE-2017-0144
E165. CVE-2018-0958
E166. CVE-2017-11882
E167. CVE-2017-0199
E168. CVE-2018-8129
E169. CVE-2017-8759
E170. Propagate/Unwaders
E171. POEMGATE
E172. FortiGate
