=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 804 canonicals"
Entities:
E1. product-reviews.website
E2. hmgo.pw
E3. a0695487.xsph.ru
E4. ao3.hmgo.pw
E5. chimeramarket24.online
E6. xcqef.ru
E7. farafauler.ru
E8. chimeramarketplace.online
E9. privat24.ua-wallet.pw
E10. eoiw8lhjwuc3sh2.m.pipedream.net
E11. fernandoherrera.me
E12. lingrevelat.com
E13. aon.at
E14. eoy7zvsvn6xfcmy.m.pipedream.net
E15. fikasterwer.top
E16. verycheap.store
E17. pius-studio.at
E18. eo9p1d2bfmioiot.m.pipedream.net
E19. acteran.ru
E20. sindoproperty.org
E21. a0698649.xsph.ru
E22. apoxipodes.ru
E23. cooperi.ru
E24. rubidiumo.ru
E25. ardeas.ru
E26. rmssrv4.ru
E27. a0698262.xsph.ru
E28. kjhgdj99fuller.ru
E29. anniversarygiftsforcouples.com
E30. yotsubasociety.website
E31. sendmail.website
E32. smartideabusiness.com
E33. product2020.mrbasic.com
E34. project3.top
E35. courtgova.site
E36. advanced-ip-scanner.website
E37. project2.top
E38. milotraf.ru
E39. zbignef.com
E40. qkcew.ru
E41. xcasinobonuses.net
E42. chimeramarketplace24.online
E43. melitaeas.online [aka melitaes.online]
E44. surname192.temp.swtest.ru
E45. barbatus.online
E46. chimera-shop24.online
E47. mulleti.ru
E48. evil.server.com
E49. moolin.ru
E50. center-gos.top
E51. admru.top
E52. rea-gos.top
E53. admukr.club [aka admukr.top]
E54. vote-me.top
E55. admus.top
E56. cerv-gos.top
E57. meteolink.host
E58. pro-gos.top
E59. co-opros.top
E60. pre-opros.top
E61. arelyevennot.top
E62. brand-gos.top
E63. skreatortemp.site
E64. co87972.tmweb.ru
E65. survefuz.com
E66. s8.h.mchost.ru
E67. central-gos.top
E68. ev-gos.top
E69. alf-gos.top [aka alfa-gos.top]
E70. wers-gos.top
E71. ais-gos.top
E72. chis-gos.top
E73. an-gos.top
E74. 1833.site
E75. site-1.work
E76. 8003659902.site
E77. eumr.site
E78. mail-box.site
E79. an-ukr.top
E80. alegoomaster.com
E81. nxkad.ru
E82. tme-id.ru
E83. ye-gos.top
E84. peer-gos.top
E85. tense-gos.top
E86. coudzoom.ru
E87. dipteran.online
E88. co-uah.top
E89. ao-opros.top
E90. jo-opros.top
E91. top-opros.top
E92. apps-opros.top
E93. amo-opros.top
E94. aff-opros.top [aka afi-opros.top]
E95. cels-opros.top
E96. dodortar.ru
E97. nx0.ru
E98. shopersport.ru
E99. 3utilities.com
E100. webknives.com
E101. agreminj.com [aka agrikoz.com]
E102. staystrongjewels.com
E103. 4qzm.com
E104. verofes.com
E105. timeandbright.com
E106. rivertimad.com
E107. ew-gos.top
E108. jar-gos.top
E109. for-gos.top
E110. admis.club
E111. posish.club
E112. wicksl.ru
E113. arentuk.com
E114. lamazone.site
E115. ws-gos.top
E116. badge-gos.top
E117. ceriossl.info
E118. chubanomania.icu
E119. webk-telegram.icu
E120. districoperav.icu
E121. varanasiclick.ru
E122. foundpomoshi.com
E123. ukrahelpforall.ucraft.site
E124. compensation-ukr.com [aka compensationukr.com]
E125. leonardis.ru
E126. kivanclardokum.com.tr
E127. accept-pay.top
E128. topadm.top
E129. advanced-ip-scaner.com
E130. advanced-ip-scanner.site
E131. advanced-ip-scanner.click
E132. advanced-ip-scaner.com.vuxuancuong.com
E133. diagnostic-resolver.com
E134. ip-api.com
E135. gopoppers.com
E136. programasparapc.net
E137. graphiuma.online
E138. www.facebook.com
E139. outlook.com
E140. axikok.com
E141. telegram-click.ru
E142. ganara.ru
E143. jel-gos.top
E144. bul-opros.top
E145. wi-opros.top
E146. fori-opros.top
E147. session-ukr.net
E148. ua-compens.top [aka ua-compensation.top]
E149. polinamailserverip.ru
E150. servebeer.com
E151. a0656203.xsph.ru
E152. serveftp.com
E153. tridiuma.ru
E154. kilitro.ru
E155. tbwelo.ru
E156. britxec.com
E157. integramultimedia.com.mx
E158. fountainrate.com
E159. tinyurl.com
E160. uacompensation.xyz
E161. pay.uacompensation.xyz
E162. uatax-compenses.xyz
E163. ua-taxes-compens.xyz
E164. tax-compenses.xyz
