=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 811 canonicals"
Entities:
E1. t-me.io
E2. frge.io
E3. tg.cyou
E4. net.frge.io
E5. _.ukr.net.frge.io
E6. ukr.net.frge.io
E7. nx0.ru
E8. kitten-268.frge.io
E9. panelunregistertle-348.frge.io
E10. setnewcred.ukr.net.frge.io
E11. edisk.ukr.net
E12. zp.ukrtel.net
E13. ukr.net
E14. mail-gov-ua.frge.io
E15. setnewcreds.ukr.net.frge.io
E16. freedynamicdns.net
E17. mail.gov.ua
E18. gov.mil.ua.aspx.io
E19. mail.nais-gov.org
E20. gov.ua
E21. telegram.uk.net
E22. tgeo.link
E23. eo9p1d2bfmioiot.m.pipedream.net
E24. eo2mxtqmeqzafqi.m.pipedream.net
E25. eoiw8lhjwuc3sh2.m.pipedream.net
E26. eopkne8kapj01xi.m.pipedream.net
E27. eoy7zvsvn6xfcmy.m.pipedream.net
E28. 3utilities.com
E29. pomoshnikrbx.site
E30. aneria.net
E31. combinedresidency.org
E32. eos93vb2cwsu3xf.m.pipedream.net
E33. kopratiso.ru
E34. prostotaknet.net
E35. in-ukr.net
E36. vn-ukr.net
E37. 0-ukr.net
E38. notify-ukr.net
E39. 1-ukr.net
E40. accounts---ukr.net
E41. changepassword-ukr.net
E42. pas-ukr.net
E43. td-ukr.net
E44. score-ukr.net
E45. mod-ukr.net
E46. p-ukr.net
E47. site-ukr.net
E48. int-ukr.net
E49. sm.ukrtel.net
E50. 2fa-ukr.net
E51. v-ukr.net
E52. settingsukr.net
E53. regs-ukr.net
E54. details-ukr.net
E55. se-ukr.net
E56. cca-ukr.net
E57. mta-ukr.net
E58. military-ukraine.online
E59. f3-ukr.net
E60. mf-ukr.net
E61. verify-ukr.net
E62. conf-ukr.net
E63. reply-ukr.net
E64. settings-ukr.net
E65. armpress.net
E66. session-ukr.net
E67. client-ukr.net
E68. accounts-ukr.net
E69. accounts-s-ukr.net
E70. clients-ukr.net
E71. bnt-ukr.net
E72. account-ukr.net
E73. accounts.cm1-ukr.net
E74. accounts.regs-ukr.net
E75. k1-ukr.net
E76. m1-ukr.net
E77. om-ukr.net
E78. 0-t.me
E79. 5-ukr.net
E80. 8-ukr.net
E81. serv1-ukr.net
E82. k1v-ukr.net
E83. pm-kv-ukr.net
E84. k-ukr.net
E85. portal.nazk.gov.ua
E86. accounts--ukr.net
E87. bank.gov.ua
E88. dis.gov.ua
E89. ck-ukr.net
E90. military-ukraine.site
E91. confirm-ukr.net
E92. edisk-ukr.net
E93. ukrainebayra.com
E94. stage-ukr.net
E95. 4e-ukr.net
E96. vh-ukr.net
E97. bld-ukr.net
E98. pgh-ukr.net
E99. account.associates
E100. telegram.account.associates
E101. pge-ukr.net
E102. reg-ukr.net
E103. el-ukr.net
E104. l-ukr.net
E105. mill.co.ua
E106. news-ukr.net
E107. password-ukr.net
E108. btx-ukr.net
E109. cmx-ukr.net
E110. msx-ukr.net
E111. autodoka.com.ua
E112. cck-ukr.net
E113. kv-ukr.net
E114. 109x194x3x7.static-customer.bryansk.ertelecom.ru
E115. lc-ukr.net
E116. acc-ukr.net
E117. tc-ukr.net
E118. lt-ukr.net
E119. kt-ukr.net
E120. mail-ukr.net
E121. ml-ukr.net
E122. fast-mail.site
E123. mail-box.site
E124. ser-ukr.net
E125. v1-ukr.net
E126. crv-ukr.net
E127. rew-ukr.net
E128. mx3-ukr.net
E129. step-ukr.net
E130. bh-ukr.net
E131. dx-ukr.net
E132. cm1-ukr.net
E133. a3-ukr.net
E134. ub-ukr.net
E135. webk-telegram.sbs
E136. kb-ukr.net
E137. s9-ukr.net
E138. p3-ukr.net
E139. freedynamicdns.org
E140. ddns.net
E141. viewdns.net
E142. d-upl.ddns.net
E143. as49447.net
E144. dyndns.com
E145. gotdns.ch
E146. tt-ukr.net
E147. o1-ukr.net
E148. mst-ukr.net
E149. arentuk.com
E150. t--t.me
E151. 7tt.me
E152. stv-ukr.net
E153. xsph.ru
E154. plexbd.net
E155. yandex.ru
E156. sytes.net
E157. nxkad.ru
E158. acteran.ru
E159. civh.ru
E160. redport80.ru
E161. apoxipodes.ru
E162. ardeas.ru
E163. hilr.ru
E164. mxukr.net
E165. m-vz.webhop.me
E166. i1t.me
E167. e-wwg.com
E168. zuh3vcyskd4gipkm.onion [aka lightnogu5owjjllyo4tj2sfos6fchnmcidlgo6c7e6fz2hgryhfhoyd.onion]
E169. 4qzm.com
Mentions:
M1. "robot-876.frge.io" (Domain) — options: E1, E2, E3, E4
