=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 336 canonicals"
Entities:
E1. vljsport.eu.com
E2. empoweringparents.shop
E3. lauramcinerney.shop
E4. chimera-shop24.online
E5. arentuk.com
E6. object-storage-service.com
E7. baidencult.com
E8. barnsertr.com
E9. www.pierreagencement.fr
E10. apeduze.com
E11. backstagemerch.shop
E12. konkurs-events.top
E13. yemmyusa.com
E14. superdadymster.ru
E15. erinekenney.com
E16. agreminj.com
E17. keewoolas.pw
E18. furqaanenergy.com
E19. chimeramarketplace.online
E20. billiopa.com
E21. shormanz.com
E22. upportteam.lingrevelat.com
E23. hillespostelnm.eu
E24. lolifans.ru
E25. verofes.com
E26. napropertyhub.eu
E27. fluoxi.com
E28. adobeprotectcheck.com
E29. chimeramarketplace24.online
E30. chimeramarket24.online
E31. truffa.online
E32. confirm-agent.online
E33. xbeta.online
E34. courtbox.online
E35. teiergam.com
E36. swinj.online
E37. telegram.uk.net
E38. axikok.com
E39. blopik.com
E40. pomoshnikrbx.site
E41. 1833.site
E42. eumr.site
E43. steycools.pw
E44. courtgova.site
E45. grabify.link
E46. goodlenuxilam.site
E47. sansaispa.com
E48. zalamafiapopcultur.ru
E49. azimurs.com
E50. protectraid.com
E51. akaluij.com
E52. apokil.com
E53. anidoz.com
E54. dezword.com
E55. funedunet.com
E56. eurotelle.com
E57. tme-id.com
E58. tax-gov-ua.com
E59. golosdruga.ru
E60. abracodabugalimpopo.ru
E61. superops.com
E62. supermarioprohozhdenie.ru
E63. againandagaingmorder.ru
E64. maxteroper.ru
E65. cafeteriumups.ru
E66. superops.ai
E67. coudzoom.ru
E68. telegram-click.ru
E69. edopomogaonline.yolasite.com
E70. dublebomber.ru
E71. ansaigon.com
E72. anotepad.com
E73. telegram.org-a0dm91dk31i.cloue.link
E74. blinkij.com
E75. ohsxy.com
E76. iplogger.com
E77. compensationukr.com
E78. kismamabeforyougo.su
E79. kissmafiabeforyoudied.ru
E80. infomailforyoumak.ru
E81. sismasterhome.ru
E82. zaikadoctor.ru
E83. cs1.wpc-v0cdn.org
E84. cdnauthsoft.com
E85. afi-ukraine.org
E86. telsec.org
E87. apitelegram.org
E88. ipv6-wpnc.net
E89. cloudlnk.org
E90. teierqam.org
E91. unayt.ru
E92. tvoyaradostetoya.ru
E93. jokoloret.ru
E94. oon24opros.yolasite.com
E95. sakentoshi.ru
E96. shikjil.com
E97. specnaznachenie.ru
E98. tme-id.ru
E99. elyslink.online
E100. ukrainecenter.yolasite.com
E101. aid.edopomoga.gov.ua
E102. courtgova.online
E103. davincigroup.online
E104. jslopasitmon.com
E105. lingrevelat.com
E106. drv2ms.com
E107. vertusupportjk.org
E108. kismamabeforyougo.ru
E109. linedrv.com
E110. ertel-audit.com
E111. filetransrediremin.com
E112. drimzis.com
E113. agro-sk.com.ua
E114. olminx.com
E115. africathrillthes.pw
E116. moskhoods.pw
E117. revivalsecularas.pw
E118. bloockflad.pw
E119. dayzilons.pw
E120. bookgames.pw
E121. carpetmarker.pw
E122. killredls.pw
Mentions:
M1. "backstagemerch.shop" (Domain) — options: E1, E2, E3, E4
M2. "empoweringparents.shop" (Domain) — options: E10, E11, E5, E3
M3. "lauramcinerney.shop" (Domain) — options: E13, E11, E15, E16
M4. "vljsport.eu.com" (Domain) — options: E20, E21, E22, E23
M5. "chimera-shop24.online" (Domain) — options: E29, E30, E19, E31
M6. "arentuk.com" (Domain) — options: E37, E16, E2, E28
M7. "skreatortemp.site" (Domain) — options: E40, E35, E41, E42
M8. "baidencult.com" (Domain) — options: E47, E5, E48, E28
M9. "apeduze.com" (Domain) — options: E52, E53, E28, E54
M10. "yemmyusa.com" (Domain) — options: E57, E28, E20, E27
M11. "superdadymster.ru" (Domain) — options: E59, E60, E61, E62
M12. "pomoshnikrbx.site" (Domain) — options: E42, E41, E5, E44
M13. "sansaispa.com" (Domain) — options: E7, E71, E28, E5
M14. "fluoxi.com" (Domain) — options: E39, E73, E28, E51
M15. "kismamabeforyougo.ru" (Domain) — options: E68, E78, E59, E79
M16. "zarabovannyok.eu" (Domain) — options: E5, E23, E26, E40
M17. "wpc-v0cdn.org" (Domain) — options: E83, E84, E85, E86
M18. "prostosmeritesya.ru" (Domain) — options: E91, E60, E92, E93
M19. "akaluij.com" (Domain) — options: E38, E16, E74, E28
M20. "supermarioprohozhdenie.ru" (Domain) — options: E14, E60, E61, E93
M21. "edopomogaonline.yolasite.com" (Domain) — options: E99, E94, E100, E40
M22. "chimeramarketplace.online" (Domain) — options: E29, E30, E4, E34
M23. "ansaigon.com" (Domain) — options: E47, E5, E28, E7
M24. "verofes.com" (Domain) — options: E55, E61, E28, E105
M25. "kissmafiabeforyoudied.ru" (Domain) — options: E93, E108, E60, E67
M26. "erinekenney.com" (Domain) — options: E7, E55, E3, E28
M27. "agreminj.com" (Domain) — options: E51, E111, E28, E112
M28. "keewoolas.pw" (Domain) — options: E43, E115, E116, E117

=== RESPONSE (22.5s, in 3750 / out 6596 tok, stop) ===
{"v":[{"m":"backstagemerch.shop","id":"NEW","g":"a domain","p":null,"r":null},{"m":"empoweringparents.shop","id":"NEW","g":"a domain","p":null,"r":null},{"m":"lauramcinerney.shop","id":"NEW","g":"a domain","p":null,"r":null},{"m":"vljsport.eu.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"chimera-shop24.online","id":"NEW","g":"a domain","p":null,"r":null},{"m":"arentuk.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"skreatortemp.site","id":"NEW","g":"a domain","p":null,"r":null},{"m":"baidencult.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"apeduze.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"yemmyusa.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"superdadymster.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"pomoshnikrbx.site","id":"NEW","g":"a domain","p":null,"r":null},{"m":"sansaispa.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"fluoxi.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"kismamabeforyougo.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"zarabovannyok.eu","id":"NEW","g":"a domain","p":null,"r":null},{"m":"wpc-v0cdn.org","id":"NEW","g":"a domain","p":"E83","r":"b"},{"m":"prostosmeritesya.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"akaluij.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"supermarioprohozhdenie.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"edopomogaonline.yolasite.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"chimeramarketplace.online","id":"NEW","g":"a domain","p":null,"r":null},{"m":"ansaigon.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"verofes.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"kissmafiabeforyoudied.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"erinekenney.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"agreminj.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"keewoolas.pw","id":"NEW","g":"a domain","p":null,"r":null}]}
