=== REQUEST (gemini gemini-3.7-flash) ===
--- sampling ---
{"temperature":0}
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Кібератака групи UAC-0010 (Armageddon) на державні організації України (CERT-UA#4434)" — evidence: S1. "UAC-0010 (Armageddon).</p><p>З метою забезпечення відмовостійкості своєї інфраструктури, члени групи, серед іншого, використовують Dynamic DNS сервіс NO-IP. Звертаємо увагу на доцільність моніторингу з'єднань з доменними іменами, що використовуються згаданим сервісом. Перелік безкоштовних доменних імен н"
Entities:
E1. NirSoft
E2. HostIQ
E3. 360Netlab
E4. OptiData
E5. Usoris
E6. AS37148 (нігерійський оператор телекомунікацій)
E7. Linux Team
E8. Mozilla
E9. Adobe
E10. Google
E11. dyndns.com
E12. gmail.com
E13. nowpropitup.com
E14. airmauritiusticket.com
E15. ns.ns3-dns.com
E16. gobits3.com
E17. cdn.discordapp.com
E18. ansaigon.com
E19. ns.ns2-dns.com
E20. badpdf.com
E21. zuh3vcyskd4gipkm.onion
E22. fernandoherrera.me
E23. nirsoft.me
E24. mx-out-14.default-host.net
E25. product-reviews.website
E26. me.gov.ua
E27. wpc-v0cdn.org
E28. gordon6.hopto.org
E29. eo9p1d2bfmioiot.m.pipedream.net
E30. cs1.wpc-v0cdn.org
E31. acteran.ru
E32. nx0.ru
E33. rmssrv2.ru
E34. apoxipodes.ru
E35. omyce.ru
E36. api.dev-com.sc
E37. candidar.ru
E38. ryomy.ru
E39. rmssrv4.ru
E40. rmssrv3.ru
E41. 1000020.xyz
E42. tortunas.ru
E43. webknives.com
E44. ipv6-wpnc.net
E45. winscp.net
E46. arcor.de
E47. parodadoca.ru
E48. milotrad.ru
E49. expeditionabroad.com
E50. cuckoo.cert.ee
E51. drive.google.com
E52. single-office.ddns.net
E53. alt-2cdn.net
E54. fex.net
E55. smm2021.net
E56. ns2-dns.com
E57. edisk.ukr.net
E58. ukr.net
E59. optica-rd.myftp.biz
E60. telsec.org
E61. cve.mitre.org
E62. nais-gov.org
E63. virustotal.com
E64. potrakit.ru
E65. mail.nais-gov.org
E66. tiloraso.ru
E67. tridiuma.ru
E68. jokotras.ru
E69. raidforums.com
E70. giraffe-tour.ru
E71. portal.nazk.gov.ua
E72. portal.nazk.org.ua
E73. president.gov.ua.administration.vakansiyi.administration.president.gov-ua.info
E74. s8.h.mchost.ru
E75. photobucket.com
E76. chinagrill.co
E77. ns3-dns.com
E78. ereservices.com
E79. melitaes.online
E80. ftp.thefoodplace.net
E81. app.any.run
E82. gov.ua
E83. myelectrive.com
E84. aviatorssm.bit
E85. www.symantec.com
E86. vuonorganic.com
E87. www.msftncsi.com
E88. thestoreroomnsw.com.au
E89. evil.server.com
E90. thaibbqculver.com
E91. toknowall.com
E92. docs.microsoft.com
E93. phymateus.online
E94. www.dstruct.net
E95. sm.ukrtel.net
E96. email.cz
E97. m-vz.webhop.me
E98. a0656203.xsph.ru
E99. a0322810.xsph.ru
E100. webhop.me
E101. xsph.ru
E102. lnk-upload.dodortar.ru
E103. dod-upload.dodortar.ru
E104. ln-upl.ddns.net
E105. d-upl.ddns.net
E106. up-dot.myftp.org
E107. up-lnk.myftp.org
E108. nitikora.ru
E109. dodortar.ru
E110. kopratiso.ru
E111. billyhot.ru
E112. bilitora.ru
E113. ddns.net
E114. ddnsking.com
E115. 3utilities.com
E116. bounceme.net
E117. freedynamicdns.net
E118. freedynamicdns.org
E119. gotdns.ch
E120. hopto.org
E121. myddns.me
E122. myftp.biz
E123. myftp.org
E124. myvnc.com
E125. onthewifi.com
E126. redirectme.net
E127. servebeer.com
E128. serveblog.net
E129. servecounterstrike.com
E130. serveftp.com
E131. servegame.com
E132. servehalflife.com
E133. servehttp.com
E134. serveirc.com
E135. serveminecraft.net
E136. servemp3.com
E137. servepics.com
E138. servequake.com
E139. sytes.net
E140. viewdns.net
E141. zapto.org
E142. noip.com
Mentions:
M1. "NO-IP" (Organization) — options: E1, E2, E3, E4 — ctx: S1
M2. "noip.com" (Domain) — options: E11, E12, E13, E14
M3. "m-vz.webhop.me" (Domain) — options: E21, E22, E23, E11
M4. "a0656203.xsph.ru" (Domain) — options: E30, E31, E32, E33
M5. "a0322810.xsph.ru" (Domain) — options: E40, E31, E41, E39
M6. "webhop.me" (Domain) — options: E23, E22, E11, E43
M7. "xsph.ru" (Domain) — options: E42, E31, E32, E39
M8. "lnk-upload.dodortar.ru" (Domain) — options: E42, E47, E37, E31
M9. "dod-upload.dodortar.ru" (Domain) — options: E42, E47, E37, E31
M10. "ln-upl.ddns.net" (Domain) — options: E11, E52, E19, E53
M11. "d-upl.ddns.net" (Domain) — options: E11, E52, E19, E53
M12. "up-dot.myftp.org" (Domain) — options: E11, E28, E59, E51
M13. "up-lnk.myftp.org" (Domain) — options: E11, E59, E45, E28
M14. "nitikora.ru" (Domain) — options: E42, E66, E31, E39
M15. "dodortar.ru" (Domain) — options: E42, E68, E37, E31
M16. "kopratiso.ru" (Domain) — options: E42, E64, E66, E31
M17. "billyhot.ru" (Domain) — options: E42, E31, E64, E39
M18. "bilitora.ru" (Domain) — options: E42, E48, E66, E31
M19. "ddns.net" (Domain) — options: E11, E52, E15, E45
M20. "ddnsking.com" (Domain) — options: E11, E52, E14, E76
M21. "3utilities.com" (Domain) — options: E16, E14, E43, E77
M22. "bounceme.net" (Domain) — options: E23, E54, E58, E45
M23. "freedynamicdns.net" (Domain) — options: E11, E54, E15, E55
M24. "freedynamicdns.org" (Domain) — options: E11, E60, E15, E61
M25. "gotdns.ch" (Domain) — options: E15, E11, E19, E16
M26. "hopto.org" (Domain) — options: E42, E28, E50, E60
M27. "myddns.me" (Domain) — options: E11, E23, E22, E19
M28. "myftp.biz" (Domain) — options: E45, E59, E11, E84
M29. "myftp.org" (Domain) — options: E11, E60, E59, E45
M30. "myvnc.com" (Domain) — options: E11, E83, E14, E45
M31. "onthewifi.com" (Domain) — options: E11, E14, E87, E75
M32. "redirectme.net" (Domain) — options: E23, E57, E54, E11
M33. "servebeer.com" (Domain) — options: E76, E78, E89, E14
M34. "serveblog.net" (Domain) — options: E45, E54, E89, E11
M35. "servecounterstrike.com" (Domain) — options: E69, E14, E89, E11
M36. "serveftp.com" (Domain) — options: E11, E78, E89, E14
M37. "servegame.com" (Domain) — options: E11, E14, E89, E39
M38. "servehalflife.com" (Domain) — options: E11, E14, E89, E23
M39. "servehttp.com" (Domain) — options: E11, E14, E89, E77
M40. "serveirc.com" (Domain) — options: E11, E78, E89, E14
M41. "serveminecraft.net" (Domain) — options: E11, E54, E89, E45
M42. "servemp3.com" (Domain) — options: E51, E78, E89, E14
M43. "servepics.com" (Domain) — options: E75, E78, E89, E14
M44. "servequake.com" (Domain) — options: E11, E14, E89, E15
M45. "sytes.net" (Domain) — options: E45, E54, E58, E11
M46. "viewdns.net" (Domain) — options: E19, E44, E54, E15
M47. "zapto.org" (Domain) — options: E42, E62, E28, E60

=== RESPONSE (22.2s, in 3973 / out 744 tok, STOP) ===
{"m":"M1","id":"NEW","g":"Dynamic DNS service"}
{"m":"M2","id":"NEW","g":null}
{"m":"M3","id":"NEW","g":null}
{"m":"M4","id":"NEW","g":null}
{"m":"M5","id":"NEW","g":null}
{"m":"M6","id":"NEW","g":null}
{"m":"M7","id":"NEW","g":null}
{"m":"M8","id":"NEW","g":null}
{"m":"M9","id":"NEW","g":null}
{"m":"M10","id":"NEW","g":null}
{"m":"M11","id":"NEW","g":null}
{"m":"M12","id":"NEW","g":null}
{"m":"M13","id":"NEW","g":null}
{"m":"M14","id":"NEW","g":null}
{"m":"M15","id":"NEW","g":null}
{"m":"M16","id":"NEW","g":null}
{"m":"M17","id":"NEW","g":null}
{"m":"M18","id":"NEW","g":null}
{"m":"M19","id":"NEW","g":null}
{"m":"M20","id":"NEW","g":null}
{"m":"M21","id":"NEW","g":null}
{"m":"M22","id":"NEW","g":null}
{"m":"M23","id":"NEW","g":null}
{"m":"M24","id":"NEW","g":null}
{"m":"M25","id":"NEW","g":null}
{"m":"M26","id":"NEW","g":null}
{"m":"M27","id":"NEW","g":null}
{"m":"M28","id":"NEW","g":null}
{"m":"M29","id":"NEW","g":null}
{"m":"M30","id":"NEW","g":null}
{"m":"M31","id":"NEW","g":null}
{"m":"M32","id":"NEW","g":null}
