=== REQUEST (gemini gemini-3.7-flash) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 405 canonicals"
Entities:
E1. 1833.site
E2. 8003659902.site
E3. eumr.site
E4. helpzzfound.site
E5. naffalno.site
E6. skreatortemp.site
E7. military-ukraine.site
E8. site-1.work
E9. sendmail.website
E10. chinagrill.co
E11. gopoppers.com
E12. pastebin.com
E13. tinyurl.com
E14. toknowall.com
E15. airmauritiusticket.com
E16. 3utilities.com
E17. agreminj.com
E18. akaluij.com
E19. onyangdol.site
E20. sardanal.online
E21. ukr.net
E22. eu-opros.top
E23. jorgava.com
E24. gobits3.com
E25. anidoz.com
E26. anniversarygiftsforcouples.com
E27. ansaigon.com
E28. kmtacn.com
E29. dezword.com
E30. domthr.xyz
E31. moskeet.com
E32. domtern.com
E33. 1000020.xyz
E34. uacompensation.xyz
E35. pay.uacompensation.xyz
E36. dodortar.ru
E37. foundpomoshi.com
E38. admukr.top
E39. email.cz
E40. emterox.ru
E41. ginaengg.com
E42. rresteraftin.com
E43. rivierafamily.com
E44. aviatorssm.bit
E45. surname192.temp.swtest.ru
E46. gmail.com
E47. fan-guy.com
E48. ohsxy.com
E49. dod-upload.dodortar.ru
E50. lnk-upload.dodortar.ru
E51. jokotras.ru
E52. acteran.ru
E53. apoxipodes.ru
E54. bilitora.ru
E55. billyhot.ru
E56. candidar.ru
E57. circulas.ru
E58. noip.com
E59. axikok.com
E60. nais-gov.com
E61. ais-gos.top
E62. alfa-gos.top
E63. azimurs.com
E64. github.com
E65. baidencult.com
E66. apeduze.com
E67. servehttp.com
E68. ns2-dns.com
E69. ns3-dns.com
E70. myvnc.com
E71. ddnsking.com
E72. ns.ns2-dns.com
E73. ns.ns3-dns.com
E74. drimzis.com
E75. sytes.net
E76. apokil.com
E77. shikjil.com
E78. blopik.com
E79. blinkij.com
E80. hotmail.com
E81. ghaniyu.com
E82. plexbd.net
E83. bounceme.net
E84. brunoboys.net
E85. dcshost.net
E86. ddns.net
E87. freedynamicdns.net
E88. igshop.net
E89. dogiraftig.com
E90. m-vz.webhop.me
E91. fernandoherrera.me
E92. myddns.me
E93. nirsoft.me
E94. me.gov.ua
E95. winscp.net
E96. serveblog.net
E97. enterwords.ru
E98. ye-gos.top
E99. tio-gos.top
E100. an-gos.top
E101. ev-gos.top
E102. ew-gos.top
E103. uz-gos.top
E104. wm-gos.top
E105. ws-gos.top
E106. dyndns.com
E107. kohhd.com
E108. icanhazip.com
E109. nowpropitup.com
E110. ritionalvalueon.top
E111. autodoka.com.ua
E112. baidenfree.com
E113. co-opros.top
E114. co-uah.top
E115. pbank.co.ua
E116. product-reviews.website
E117. syncapp.host
E118. sea-dobbiaco.bz.it
E119. datagroup.ddns.net
E120. d-upl.ddns.net
E121. ln-upl.ddns.net
E122. single-office.ddns.net
E123. star-cz.ddns.net
E124. viewdns.net
E125. verofes.com
E126. ereservices.com
E127. www.msftncsi.com
E128. edisk.ukr.net
E129. fex.net
E130. webhop.me
E131. gotdns.ch
E132. ip-api.com
E133. servegame.com
E134. arentuk.com
E135. microsoft.com
E136. arcor.de
E137. docs.microsoft.com
E138. answers.microsoft.com
E139. programasparapc.net
E140. redirectme.net
E141. yi-gos.top
E142. jel-gos.top
E143. rea-gos.top
E144. milotrad.ru
E145. milotraf.ru
E146. nitikora.ru
E147. britxec.com
E148. fluoxi.com
E149. telegram.org.security.ohsxy.com
E150. dishsouq.com
E151. raidforums.com
E152. thaibbqculver.com
E153. potrakit.ru
E154. myftp.biz
E155. up-dot.myftp.org
E156. up-lnk.myftp.org
E157. hopto.org
E158. zapto.org
E159. economiquity.org
E160. europadonnaireland.org
E161. freedynamicdns.org
E162. karunadana.org
E163. ipv6-wpnc.net
E164. serveirc.com
E165. servemp3.com
E166. servebeer.com
E167. servepics.com
E168. servequake.com
E169. servehalflife.com
E170. myftp.org
E171. optica-rd.myftp.biz
E172. serveftp.com
E173. melitaes.online
E174. jar-gos.top
E175. qiwardos.ru
E176. cuckoo.cert.ee
E177. alt-2cdn.net
E178. ao-opros.top
E179. cmtheodor.be
E180. marmaris.com.ua
E181. inter-webservices.com
E182. evil.server.com
E183. rivertimad.com
E184. www.facebook.com
