=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 540 canonicals"
Entities:
E1. delta-storages.com
E2. dis.gov.ua
E3. gov.mil.ua.aspx.io
E4. mail.gov.ua
E5. misp.cert.gov.ua
E6. gov.ua
E7. mil.ua.aspx.io
E8. mill.co.ua
E9. autodoka.com.ua
E10. delta.mil.gov.ua.delta-storages.com
E11. www.portcheckers.com
E12. hexactor.com
E13. bilitora.ru
E14. serveftp.com [aka servehttp.com]
E15. golgba.com
E16. westafrance.com
E17. verofes.com
E18. 3utilities.com
E19. acteran.ru
E20. vuxuancuong.com
E21. stormpredictor.host
E22. domtern.com
E23. fishitor.ru
E24. emterox.ru
E25. 4qzm.com
E26. military-ukraine.online
E27. fast-mail.site
E28. ukrainecenter.yolasite.com
E29. 1833.site
E30. ukrainebayra.com
E31. 8003659902.site
E32. bank.gov.ua
E33. military-ukraine.site
E34. melitaeas.online
E35. melitaes.online
E36. barbatus.online
E37. dipteran.online
E38. coagula.online
E39. cert.gov.ua
E40. pbank.co.ua
E41. chinagrill.co
E42. dsns.com.ua
E43. t.co
E44. edisk.ukr.net
E45. marmaris.com.ua
E46. anidoz.com
E47. axikok.com
E48. online.ua
E49. me.gov.ua
E50. antination.kherson.ua
E51. uabayrakua.com
E52. agreminj.com
E53. ncscc.gov.ua
E54. dsszzi.gov.ua
E55. ns.ns2-dns.com
E56. edopomogaonline.yolasite.com
E57. oon24opros.yolasite.com
E58. euro24dopomoga0.yolasite.com
E59. oon24oprosy.yolasite.com
E60. admis.club
E61. kilitro.ru
E62. hilr.ru
E63. milotraf.ru
E64. ryomy.ru
E65. nxkad.ru
E66. apoxipodes.ru
E67. civh.ru
E68. t-online.de
E69. xbeta.online
E70. detroito.ru
E71. arelyevennot.top
E72. kurapat.ru
E73. arminext.com
E74. winuvinnosluk.club
E75. ardeas.ru
E76. next24.gg-pay.me
E77. wasabiwallet.online
E78. hmgo.pw
E79. ticket.cyberpolice.gov.ua
E80. ao3.hmgo.pw
E81. mulleti.ru
E82. admukr.top
E83. an-gos.top
E84. ukr.net
E85. admus.top
E86. compensation-ukr.com
E87. an-ukr.top
E88. fex.net
E89. whoer.net
E90. zp.ukrtel.net
E91. ddns.net
E92. sm.ukrtel.net
E93. cdn.jsdelivr.net
E94. mitlubald.ru
E95. milotrad.ru
E96. jokotras.ru
E97. moolin.ru
E98. dyndns.com
E99. enterwords.ru
E100. e-wwg.com
E101. kohhd.com
E102. winscp.net
E103. www.dstruct.net
E104. ua-compensations.xyz
E105. gobits3.com
E106. ns3-dns.com
E107. ns.ns3-dns.com
E108. agrikoz.com
E109. hofsteder.ru
E110. drive.google.com
E111. mail-box.site
E112. www.facebook.com
E113. photobucket.com
E114. www.michiganmastereltiempo.com
E115. www.symantec.com
E116. gmail.com
E117. www.msftncsi.com
E118. billiopa.com
E119. integramultimedia.com.mx
E120. ertimadifa.com
E121. jorgava.com
E122. ritionalvalueon.top
E123. lingrevelat.com
E124. rivertimad.com
E125. flayga.ru
E126. blopik.com
E127. ip-api.com
E128. cloudflare-dns.com
E129. aluaadin.com
E130. onthewifi.com
E131. dnslookup.seowebchecker.com
E132. www.dropbox.com
E133. advanced-ip-scanners.com
E134. motocheck.in
E135. gopoppers.com
E136. onedrive.live.com
E137. eumr.site
E138. admru.top
E139. rea-gos.top
E140. meteolink.host
E141. redirectme.net
E142. top-opros.top
E143. azimurs.com
E144. taximadridclass.com
E145. noip.com
E146. dezword.com
E147. ohsxy.com
E148. notfiled.com
E149. qkcew.ru
E150. www.hybrid-analysis.com
E151. winchconstruction.com
E152. tools.nexcess.net
E153. wicksl.ru
E154. barbacoalosmartinez.com
E155. toknowall.com
E156. billyhot.ru
E157. tbwelo.ru
E158. texlidia.com
E159. clipperso.ru
E160. icanhazip.com
E161. inter-webservices.com
E162. servepics.com
E163. nais-gov.com
E164. rresteraftin.com
E165. benokij.com
E166. star-cz.ddns.net
E167. single-office.ddns.net
E168. netbin.host
E169. igshop.net
E170. mx-out-14.default-host.net
E171. bounceme.net
E172. brunoboys.net
E173. serveirc.com
E174. servemp3.com
E175. myftp.org
E176. survefuz.com
E177. servebeer.com
