=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 936 canonicals"
Entities:
E1. filebin.net
E2. authssl.org
E3. mocky.io
E4. githubusercontent.com
E5. bitbucket.org
E6. run.mocky.io
E7. gbshost.org
E8. ns1.authssl.org
E9. afi-ukraine.org
E10. mouseoiet.fun
E11. file.io
E12. mockbin.org
E13. golos-ukr.info
E14. mo-gov.cloud
E15. comperssw.fun
E16. imgurl.ir
E17. malvy-ukraine.info [aka ukraine-malvy.info]
E18. array.myftp.biz
E19. balet-ua.mom
E20. geroiukr.site
E21. web.telegramm-account.site
E22. qsrgh.site [aka www.qsrgh.site]
E23. iplogger.com
E24. qweasdzx.site
E25. net.ssl2.site [aka ssl2.site]
E26. authssl.site
E27. grabify.link
E28. filedn.eu
E29. drive.google.com
E30. familyvote.info
E31. files.ukr.net.ssl2.in
E32. object-storage-service.com
E33. steycools.pw
E34. balletmasters.co
E35. api.personlog.in
E36. balletworld.co
E37. api.binance.com.exmo.day
E38. bluepablo.fun
E39. detikievakonkurs.co
E40. api.binance.com.personlog.in
E41. prozorro.online
E42. bookgames.pw
E43. portret-ua.eu
E44. mil-pt.cloud [aka s3-pt.cloud]
E45. eurotelle.com
E46. mails.support
E47. trust-certificate.net
E48. mail.certifiedauth.in
E49. femundengerdal.no
E50. plengreg.fun
E51. xeontime.com
E52. telegram.check-active.site
E53. rmssrv.ru
E54. s3-nato.cloud
E55. dynamic.exmo.day
E56. dayzilons.pw
E57. uasettings.com
E58. spam.web-telegram.host
E59. documentreader.net
E60. crash.syncthing.net [aka syncthing.net]
E61. gbshost.net
E62. raw.githubusercontent.com
E63. geroiua.com
E64. derzhposluhy.com [aka uspp.derzhposluhy.com]
E65. in-touc.com
E66. mirotrent.com [aka plntr.mirotrent.com]
E67. nlightusa.com
E68. calendar.stib.com.ua
E69. beget.com
E70. settusfree.org.uk
E71. duhodown.fun
E72. god-le.net
E73. mail-gov.net
E74. cdnauthsoft.com
E75. geolocation.authcheck.in
E76. ns1.authcheck.in
E77. adobeprotectcheck.com
E78. ns2.authcheck.in
E79. authssl.in
E80. certifiedauth.in
E81. check-active.site
E82. connectssl.in
E83. minef.eu
E84. deti.eu
E85. hudojnik.eu [aka hudojniku.eu]
E86. baletki.eu
E87. deti-bi.eu
E88. kowersize.fun
E89. boddyshow.fun
E90. funedunet.com
E91. howlcars.fun
E92. zamesblack.fun
E93. baletme.eu
E94. images.exmo.day
E95. baletnet.eu
E96. smartcloudflare.com [aka sync.smartcloudflare.com]
E97. god-le.com
E98. townoflakelure.com
E99. account-saver.com
E100. nk.1qw.us
E101. kew.1qw.us
E102. keewoolas.pw
E103. ret.6bc.us
E104. balet-ua.us
E105. balet-me.us
E106. kew.8df.us
E107. cdn.exmo.day
E108. com.exmo.day
E109. exceptions.exmo.day
E110. coinbase.exmo.day
E111. res.exmo.day
E112. ws.exmo.day
E113. authssl.link
E114. ssl2.link
E115. goaccount.link
E116. net.ssl2.link
E117. groupdavinci.online
E118. ns2.authssl.org
E119. authssl.online
E120. net.ssl1.site [aka ssl1.site]
E121. cancel-auth.site
E122. confirmphone.site
E123. ssl3.site
E124. smart-vnc.com
E125. geroisavenko.com
E126. protectraid.com
E127. ualogaccs.com
E128. blogger.certifiedauth.in
E129. bloockflad.pw
E130. blogger.google.com.getssl.click
E131. coudzoom.ru
E132. s3-de.cloud
E133. restmantra.by
E134. unayt.ru
E135. servicedesk.atera.com
E136. group.kropyva.site [aka kropyva.site]
E137. com.ssl2.site
E138. rpc.1qw.us
E139. ndibk.gov.ua
E140. trnvk.gov.ua
E141. griselda.biz.ua
E142. malvy-vote.life [aka vote-malvy.life]
E143. my-gov.cloud
E144. sync.anonvnc.com
E145. hiddenvnc.com
E146. sync.hiddenvnc.com
E147. netman.servehttp.com
E148. anotepad.com
E149. syn.hiddenvnc.com
E150. net.ssl4.site
E151. www.ssl4.site
E152. ukr.net.ssl4.site
E153. docs.ukr.net.ssl4.site
E154. shared.drive.googie.com.ssl4.site
E155. cert.gov.ua
E156. odwebp.com [aka svc.odwebp.com]
E157. sav.com
E158. hudojnik-diti.eu
E159. sc-hudojnik.eu
