=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 1823 canonicals"
Entities:
E1. olminx.com
E2. outloolc.com
E3. golgba.com
E4. mail.outloolc.com
E5. beget.com
E6. onedrive.live.com
E7. outlook.outlook.live.com.exmo.day
E8. linedrv.com
E9. outlook.com
E10. diagnostic-resolver.com
E11. drive.redirecl.com
E12. redirecl.com
E13. killredls.pw
E14. dhl.redirecl.com
E15. nlightusa.com
E16. redport80.ru
E17. evil.server.com
E18. redirectme.net
E19. mail.zhblz.com
E20. your-mail.press
E21. mail-box.site
E22. live.outloolc.com
E23. fast-mail.site
E24. mail-gov.com
E25. email.cz
E26. dwservice.net [aka www.dwservice.net]
E27. cs1.wpc-v0cdn.org [aka wpc-v0cdn.org]
E28. odwebp.com
E29. filebin.net
E30. ocspdep.com
E31. noip.com
E32. dyndns.com [aka domtern.com]
E33. vdsina.ru
E34. sync.hiddenvnc.com
E35. dpsu-gov-ua.com
E36. shapurt.ru
E37. derzhposluhy.com
E38. prostosmeritesya.ru
E39. superboler.com
E40. winuvinnosluk.club
E41. lopasts.ru
E42. superops.com
E43. svc.odwebp.com
E44. moskeet.com
E45. serveftp.com [aka servehttp.com]
E46. lthhc-zm.com
E47. device.redirecl.com
E48. drv2ms.com
E49. detroito.ru
E50. hofsteder.ru
E51. uspp.derzhposluhy.com
E52. detipoertry.com
E53. 3utilities.com
E54. account-guard.site
E55. i.ua
E56. account-ukr.net [aka accounts-ukr.net]
E57. telegramm-account.site
E58. i-like-hokku.co.ua
E59. courtgova.site
E60. cloud.account-viewer.com
E61. defender-bot.site
E62. telegram-confirm.site
E63. telegram.token-defender.cloud
E64. telegram-wap.me
E65. telegram.qweasdzx.site
E66. telegram-auth.website
E67. token-defender.cloud
E68. cloudflare-dns.com
E69. telegram.defender-bot.site
E70. telegram.org.t.me-cloud.link
E71. telegram-wed.id
E72. mivocloud.com
E73. telegram.org-a0dm91dk31i.cloue.link
E74. telegram.uk.net
E75. i-ua.account-guard.site
E76. lamazone.site
E77. account-saver.com
E78. web.telegramm-account.site
E79. cancel-auth.site
E80. delta.milgov.site
E81. ssl4.site [aka www.ssl4.site]
E82. aws-meet.cloud
E83. aws-online.cloud
E84. tools.nexcess.net
E85. aws-secure.cloud
E86. mitlubald.ru
E87. plntr.mirotrent.com
E88. ryomy.ru
E89. microsoft.com
E90. arentuk.com
E91. plengreg.fun
E92. mirotrent.com
E93. plntr.account-viewer.com
E94. portal.msrc.microsoft.com
E95. tarlit.ru
E96. viewdns.info
E97. account-viewer.com
E98. confirm.account-viewer.com
E99. ivanti.account-viewer.com
E100. stellar.account-viewer.com
E101. e-nas.firstcloudit.com
E102. god-le.com
E103. get.sign-cert.com
E104. god-le.net
E105. cloud.god-le.net
E106. drive.google.com
E107. account.google.com.getssl.ink
E108. get.in-touc.com
E109. whoer.net
E110. ns.ns2-dns.com
E111. advanced-ip-scanners.com
E112. advanced-ip-scaner.com
E113. get.god-le.com
E114. lingrevelat.com
E115. gmail.com
E116. gobits3.com
E117. gofile.io
E118. aneria.net
E119. gir.network
E120. mod-ukr.net
E121. civh.ru
E122. bubenci.ru
E123. omyce.ru
E124. com.connectssl.in
E125. in-ukr.net
E126. info-cip.org
E127. com.personlog.in
E128. giraffe-tour.ru
E129. mail.nais-gov.org
E130. get.mail-gov.com
E131. mail-gov.net
E132. nais-gov.com
E133. my.mail-gov.net
E134. mail.gov.ua
E135. mail-ukr.net
E136. nais-gov.org
E137. cuckoo.cert.ee
E138. check.sign-cert.com
E139. net-certificate.services
E140. barnsertr.com
E141. signup-ukr.net
E142. cert.gov.ua
E143. hilr.ru
E144. farafauler.ru
E145. atlantar.ru
E146. talanti-ua.mom
E147. getssl.ink
E148. com.getssl.ink
E149. bloockflad.pw
E150. www.getssl.ink
E151. cloudflare.com
E152. let-me.world
E153. chari-konkursua.world
E154. cloudlnk.org
E155. world-opros.top
E156. balerina.info
E157. finformservice.com
E158. gov-ua.info
E159. ceriossl.info
E160. ereservices.com
E161. familyvote.info
E162. rmssrv.ru
E163. sav.com
E164. accounts-s-ukr.net
E165. winupmirror.support
E166. mail.kzp.bg
